Team,Year,Player,Pos,Off_Num,Off_Pct,Def_Num,Def_Pct,ST_Num,ST_Pct,Note
Giants,2024,Tommy DeVito,QB,91,8.09%,0,0%,0,0%,Tommy DeVito 2024 game-by-game snap counts
Giants,2024,Tim Boyle,QB,36,3.20%,0,0%,0,0%,Tim Boyle 2024 game-by-game snap counts
Giants,2024,Drew Lock,QB,321,28.53%,0,0%,1,.23%,Drew Lock 2024 game-by-game snap counts
Giants,2024,Devin Singletary,RB,380,33.78%,0,0%,0,0%,Devin Singletary 2024 game-by-game snap counts
Giants,2024,Tyrone Tracy Jr.,RB,651,57.87%,0,0%,26,5.87%,Tyrone Tracy Jr. 2024 game-by-game snap counts
Giants,2024,Eric Gray,RB,108,9.60%,0,0%,106,23.93%,Eric Gray 2024 game-by-game snap counts
Giants,2024,Dante Miller,RB,1,.09%,0,0%,7,1.58%,Dante Miller 2024 game-by-game snap counts
Giants,2024,Jakob Johnson,FB,12,1.07%,0,0%,39,8.80%,Jakob Johnson 2024 game-by-game snap counts
Giants,2024,Malik Nabers,WR,886,78.76%,0,0%,0,0%,Malik Nabers 2024 game-by-game snap counts
Giants,2024,Darius Slayton,WR,872,77.51%,0,0%,4,.90%,Darius Slayton 2024 game-by-game snap counts
Giants,2024,Wan'Dale Robinson,WR,857,76.18%,0,0%,0,0%,Wan'Dale Robinson 2024 game-by-game snap counts
Giants,2024,Isaiah Hodgins,WR,63,5.60%,0,0%,0,0%,Isaiah Hodgins 2024 game-by-game snap counts
Giants,2024,Bryce Ford-Wheaton,WR,2,.18%,0,0%,286,64.56%,Bryce Ford-Wheaton 2024 game-by-game snap counts
Giants,2024,Jalin Hyatt,WR,346,30.76%,0,0%,0,0%,Jalin Hyatt 2024 game-by-game snap counts
Giants,2024,Ihmir Smith-Marsette,WR,7,.62%,0,0%,137,30.93%,Ihmir Smith-Marsette 2024 game-by-game snap counts
Giants,2024,Dee Williams,WR,0,0%,0,0%,6,1.35%,Dee Williams 2024 game-by-game snap counts
Giants,2024,Theo Johnson,TE,683,60.71%,0,0%,81,18.28%,Theo Johnson 2024 game-by-game snap counts
Giants,2024,Chris Manhertz,TE,342,30.40%,0,0%,165,37.25%,Chris Manhertz 2024 game-by-game snap counts
Giants,2024,Daniel Bellinger,TE,365,32.44%,0,0%,200,45.15%,Daniel Bellinger 2024 game-by-game snap counts
Giants,2024,Greg Dulcich,TE,27,2.40%,0,0%,20,4.51%,Greg Dulcich 2024 game-by-game snap counts
Giants,2024,Jermaine Eluemunor,T,929,82.58%,0,0%,44,9.93%,Jermaine Eluemunor 2024 game-by-game snap counts
Giants,2024,Chris Hubbard,T,257,22.84%,0,0%,22,4.97%,Chris Hubbard 2024 game-by-game snap counts
Giants,2024,Andrew Thomas,T,419,37.24%,0,0%,0,0%,Andrew Thomas 2024 game-by-game snap counts
Giants,2024,Tyre Phillips,T,53,4.71%,0,0%,4,.90%,Tyre Phillips 2024 game-by-game snap counts
Giants,2024,Joshua Miles,T,0,0%,0,0%,3,.68%,Joshua Miles 2024 game-by-game snap counts
Giants,2024,Evan Neal,T,460,40.89%,0,0%,10,2.26%,Evan Neal 2024 game-by-game snap counts
Giants,2024,Greg Van Roten,G,1125,100.00%,0,0%,36,8.13%,Greg Van Roten 2024 game-by-game snap counts
