Team,Year,Player,Pos,Off_Num,Off_Pct,Def_Num,Def_Pct,ST_Num,ST_Pct,Note
Jaguars,2024,Mac Jones,QB,497,48.11%,0,0%,0,0%,Mac Jones 2024 game-by-game snap counts
Jaguars,2024,Travis Etienne,RB,494,47.82%,0,0%,0,0%,Travis Etienne 2024 game-by-game snap counts
Jaguars,2024,Tank Bigsby,RB,351,33.98%,0,0%,46,10.38%,Tank Bigsby 2024 game-by-game snap counts
Jaguars,2024,Keilan Robinson,RB,5,.48%,0,0%,51,11.51%,Keilan Robinson 2024 game-by-game snap counts
Jaguars,2024,D'Ernest Johnson,RB,192,18.59%,0,0%,55,12.42%,D'Ernest Johnson 2024 game-by-game snap counts
Jaguars,2024,Gabriel Davis,WR,410,39.69%,0,0%,0,0%,Gabriel Davis 2024 game-by-game snap counts
Jaguars,2024,Brian Thomas,WR,821,79.48%,0,0%,0,0%,Brian Thomas 2024 game-by-game snap counts
Jaguars,2024,Christian Kirk,WR,337,32.62%,0,0%,0,0%,Christian Kirk 2024 game-by-game snap counts
Jaguars,2024,Austin Trammell,WR,33,3.19%,0,0%,2,.45%,Austin Trammell 2024 game-by-game snap counts
Jaguars,2024,Josh Reynolds,WR,125,12.10%,0,0%,0,0%,Josh Reynolds 2024 game-by-game snap counts
Jaguars,2024,Tim Jones,WR,169,16.36%,0,0%,300,67.72%,Tim Jones 2024 game-by-game snap counts
Jaguars,2024,Devin Duvernay,WR,190,18.39%,0,0%,118,26.64%,Devin Duvernay 2024 game-by-game snap counts
Jaguars,2024,Parker Washington,WR,584,56.53%,0,0%,31,7.00%,Parker Washington 2024 game-by-game snap counts
Jaguars,2024,Joshua Cephus,WR,6,.58%,0,0%,0,0%,Joshua Cephus 2024 game-by-game snap counts
Jaguars,2024,Elijah Cooks,WR,10,.97%,0,0%,4,.90%,Elijah Cooks 2024 game-by-game snap counts
Jaguars,2024,Evan Engram,TE,363,35.14%,0,0%,1,.23%,Evan Engram 2024 game-by-game snap counts
Jaguars,2024,Brenton Strange,TE,575,55.66%,0,0%,210,47.40%,Brenton Strange 2024 game-by-game snap counts
Jaguars,2024,Josiah Deguara,TE,87,8.42%,0,0%,243,54.85%,Josiah Deguara 2024 game-by-game snap counts
Jaguars,2024,Luke Farrell,TE,390,37.75%,0,0%,119,26.86%,Luke Farrell 2024 game-by-game snap counts
Jaguars,2024,Cam Robinson,T,367,35.53%,0,0%,22,4.97%,Cam Robinson 2024 game-by-game snap counts
Jaguars,2024,Anton Harrison,T,943,91.29%,0,0%,53,11.96%,Anton Harrison 2024 game-by-game snap counts
Jaguars,2024,Cole Van Lanen,T,252,24.39%,0,0%,25,5.64%,Cole Van Lanen 2024 game-by-game snap counts
Jaguars,2024,Walker Little,T,508,49.18%,0,0%,45,10.16%,Walker Little 2024 game-by-game snap counts
Jaguars,2024,Javon Foster,T,0,0%,0,0%,12,2.71%,Javon Foster 2024 game-by-game snap counts
Jaguars,2024,Ezra Cleveland,G,911,88.19%,0,0%,52,11.74%,Ezra Cleveland 2024 game-by-game snap counts
Jaguars,2024,Brandon Scherff,G,1013,98.06%,0,0%,11,2.48%,Brandon Scherff 2024 game-by-game snap counts
Jaguars,2024,Blake Hance,G,97,9.39%,0,0%,25,5.64%,Blake Hance 2024 game-by-game snap counts
Jaguars,2024,Cooper Hodges,G,63,6.10%,0,0%,31,7.00%,Cooper Hodges 2024 game-by-game snap counts
Jaguars,2024,Mitch Morse,C,1021,98.84%,0,0%,4,.90%,Mitch Morse 2024 game-by-game snap counts
Jaguars,2024,Luke Fortner,C,13,1.26%,0,0%,56,12.64%,Luke Fortner 2024 game-by-game snap counts
Jaguars,2024,Josh Hines-Allen,DE,0,0%,821,68.65%,78,17.61%,Josh Hines-Allen 2024 game-by-game snap counts
Jaguars,2024,Travon Walker,DE,0,0%,911,76.17%,86,19.41%,Travon Walker 2024 game-by-game snap counts
Jaguars,2024,Arik Armstead,DE,0,0%,569,47.58%,13,2.93%,Arik Armstead 2024 game-by-game snap counts
Jaguars,2024,Esezi Otomewo,DE,0,0%,90,7.53%,43,9.71%,Esezi Otomewo 2024 game-by-game snap counts
Jaguars,2024,Joe Gaziano,DE,0,0%,38,3.18%,18,4.06%,Joe Gaziano 2024 game-by-game snap counts
Jaguars,2024,DJ Coleman,DE,0,0%,11,.92%,4,.90%,DJ Coleman 2024 game-by-game snap counts
Jaguars,2024,Myles Cole,DE,0,0%,135,11.29%,1,.23%,Myles Cole 2024 game-by-game snap counts
Jaguars,2024,Roy Robertson-Harris,DT,0,0%,210,17.56%,34,7.67%,Roy Robertson-Harris 2024 game-by-game snap counts
Jaguars,2024,DaVon Hamilton,DT,0,0%,626,52.34%,83,18.74%,DaVon Hamilton 2024 game-by-game snap counts
Jaguars,2024,Jeremiah Ledbetter,DT,0,0%,441,36.87%,72,16.25%,Jeremiah Ledbetter 2024 game-by-game snap counts
Jaguars,2024,Maason Smith,DT,0,0%,384,32.11%,11,2.48%,Maason Smith 2024 game-by-game snap counts
Jaguars,2024,Tyler Lacy,DT,0,0%,340,28.43%,48,10.84%,Tyler Lacy 2024 game-by-game snap counts
