Team,Year,Player,Pos,Off_Num,Off_Pct,Def_Num,Def_Pct,ST_Num,ST_Pct,Note
Packers,2024,Malik Willis,QB,217,20.02%,0,0%,0,0%,Malik Willis 2024 game-by-game snap counts
Packers,2024,Josh Jacobs,RB,678,62.55%,0,0%,2,.45%,Josh Jacobs 2024 game-by-game snap counts
Packers,2024,Emanuel Wilson,RB,263,24.26%,0,0%,0,0%,Emanuel Wilson 2024 game-by-game snap counts
Packers,2024,MarShawn Lloyd,RB,10,.92%,0,0%,0,0%,MarShawn Lloyd 2024 game-by-game snap counts
Packers,2024,Chris Brooks,RB,184,16.97%,0,0%,124,28.05%,Chris Brooks 2024 game-by-game snap counts
Packers,2024,Andrew Beck,FB,15,1.38%,0,0%,17,3.85%,Andrew Beck 2024 game-by-game snap counts
Packers,2024,Romeo Doubs,WR,660,60.89%,0,0%,1,.23%,Romeo Doubs 2024 game-by-game snap counts
Packers,2024,Jayden Reed,WR,685,63.19%,0,0%,62,14.03%,Jayden Reed 2024 game-by-game snap counts
Packers,2024,Christian Watson,WR,555,51.20%,0,0%,0,0%,Christian Watson 2024 game-by-game snap counts
Packers,2024,Dontayvion Wicks,WR,586,54.06%,0,0%,1,.23%,Dontayvion Wicks 2024 game-by-game snap counts
Packers,2024,Bo Melton,WR,251,23.15%,0,0%,142,32.13%,Bo Melton 2024 game-by-game snap counts
Packers,2024,Malik Heath,WR,164,15.13%,0,0%,59,13.35%,Malik Heath 2024 game-by-game snap counts
Packers,2024,Tucker Kraft,TE,925,85.33%,0,0%,130,29.41%,Tucker Kraft 2024 game-by-game snap counts
Packers,2024,Luke Musgrave,TE,145,13.38%,0,0%,22,4.98%,Luke Musgrave 2024 game-by-game snap counts
Packers,2024,John FitzPatrick,TE,73,6.73%,0,0%,50,11.31%,John FitzPatrick 2024 game-by-game snap counts
Packers,2024,Ben Sims,TE,224,20.66%,0,0%,76,17.19%,Ben Sims 2024 game-by-game snap counts
Packers,2024,Rasheed Walker,T,1075,99.17%,0,0%,86,19.46%,Rasheed Walker 2024 game-by-game snap counts
Packers,2024,Zach Tom,T,1070,98.71%,0,0%,86,19.46%,Zach Tom 2024 game-by-game snap counts
Packers,2024,Jordan Morgan,T,186,17.16%,0,0%,29,6.56%,Jordan Morgan 2024 game-by-game snap counts
