Team,Year,Player,Pos,Off_Num,Off_Pct,Def_Num,Def_Pct,ST_Num,ST_Pct,Note
Patriots,2024,Joe Milton,QB,61,5.58%,0,0%,0,0%,Joe Milton 2024 game-by-game snap counts
Patriots,2024,Drake Maye,QB,681,62.31%,0,0%,0,0%,Drake Maye 2024 game-by-game snap counts
Patriots,2024,Rhamondre Stevenson,RB,599,54.80%,0,0%,0,0%,Rhamondre Stevenson 2024 game-by-game snap counts
Patriots,2024,Terrell Jennings,RB,38,3.48%,0,0%,18,4.12%,Terrell Jennings 2024 game-by-game snap counts
Patriots,2024,Antonio Gibson,RB,359,32.85%,0,0%,73,16.70%,Antonio Gibson 2024 game-by-game snap counts
Patriots,2024,Jamycal Hasty,RB,107,9.79%,0,0%,131,29.98%,Jamycal Hasty 2024 game-by-game snap counts
Patriots,2024,K.J. Osborn,WR,232,21.23%,0,0%,0,0%,K.J. Osborn 2024 game-by-game snap counts
Patriots,2024,Demario Douglas,WR,679,62.12%,0,0%,1,.23%,Demario Douglas 2024 game-by-game snap counts
Patriots,2024,Tyquan Thornton,WR,112,10.25%,0,0%,0,0%,Tyquan Thornton 2024 game-by-game snap counts
Patriots,2024,Ja'Lynn Polk,WR,436,39.89%,0,0%,9,2.06%,Ja'Lynn Polk 2024 game-by-game snap counts
Patriots,2024,Kayshon Boutte,WR,760,69.53%,0,0%,26,5.95%,Kayshon Boutte 2024 game-by-game snap counts
Patriots,2024,Kendrick Bourne,WR,456,41.72%,0,0%,0,0%,Kendrick Bourne 2024 game-by-game snap counts
Patriots,2024,Javon Baker,WR,90,8.23%,0,0%,28,6.41%,Javon Baker 2024 game-by-game snap counts
Patriots,2024,Alex Erickson,WR,14,1.28%,0,0%,26,5.95%,Alex Erickson 2024 game-by-game snap counts
Patriots,2024,Hunter Henry,TE,835,76.40%,0,0%,0,0%,Hunter Henry 2024 game-by-game snap counts
Patriots,2024,Austin Hooper,TE,575,52.61%,0,0%,64,14.65%,Austin Hooper 2024 game-by-game snap counts
Patriots,2024,Mitchell Wilcox,TE,1,.09%,0,0%,28,6.41%,Mitchell Wilcox 2024 game-by-game snap counts
Patriots,2024,Jack Westover,TE,9,.82%,0,0%,26,5.95%,Jack Westover 2024 game-by-game snap counts
Patriots,2024,Jaheim Bell,TE,83,7.59%,0,0%,176,40.27%,Jaheim Bell 2024 game-by-game snap counts
Patriots,2024,Vederian Lowe,T,804,73.56%,0,0%,4,.92%,Vederian Lowe 2024 game-by-game snap counts
Patriots,2024,Caedan Wallace,T,129,11.80%,0,0%,16,3.66%,Caedan Wallace 2024 game-by-game snap counts
Patriots,2024,Demontrey Jacobs,T,867,79.32%,0,0%,49,11.21%,Demontrey Jacobs 2024 game-by-game snap counts
Patriots,2024,Chukwuma Okorafor,T,12,1.10%,0,0%,0,0%,Chukwuma Okorafor 2024 game-by-game snap counts
Patriots,2024,Zachary Thomas,T,84,7.69%,0,0%,24,5.49%,Zachary Thomas 2024 game-by-game snap counts
Patriots,2024,Layden Robinson,G,603,55.17%,0,0%,29,6.64%,Layden Robinson 2024 game-by-game snap counts
Patriots,2024,Michael Onwenu,G,1021,93.41%,0,0%,59,13.50%,Michael Onwenu 2024 game-by-game snap counts
Patriots,2024,Ben Brown,G,667,61.02%,0,0%,37,8.47%,Ben Brown 2024 game-by-game snap counts
Patriots,2024,Michael Jordan,G,685,62.67%,0,0%,42,9.61%,Michael Jordan 2024 game-by-game snap counts
Patriots,2024,Sidy Sow,G,155,14.18%,0,0%,43,9.84%,Sidy Sow 2024 game-by-game snap counts
Patriots,2024,Tyrese Robinson,G,61,5.58%,0,0%,0,0%,Tyrese Robinson 2024 game-by-game snap counts
Patriots,2024,Nick Leverett,G,117,10.70%,0,0%,13,2.97%,Nick Leverett 2024 game-by-game snap counts
Patriots,2024,Lecitus Smith,G,5,.46%,0,0%,28,6.41%,Lecitus Smith 2024 game-by-game snap counts
Patriots,2024,Lester Cotton,G,19,1.74%,0,0%,1,.23%,Lester Cotton 2024 game-by-game snap counts
Patriots,2024,Cole Strange,G,117,10.70%,0,0%,8,1.83%,Cole Strange 2024 game-by-game snap counts
Patriots,2024,David Andrews,C,194,17.75%,0,0%,0,0%,David Andrews 2024 game-by-game snap counts
Patriots,2024,Keion White,DE,0,0%,829,74.15%,123,28.15%,Keion White 2024 game-by-game snap counts
Patriots,2024,Truman Jones,DE,0,0%,19,1.70%,7,1.60%,Truman Jones 2024 game-by-game snap counts
Patriots,2024,Deatrich Wise Jr.,DE,0,0%,408,36.49%,85,19.45%,Deatrich Wise Jr. 2024 game-by-game snap counts
Patriots,2024,Keshawn Banks,DE,0,0%,0,0%,61,13.96%,Keshawn Banks 2024 game-by-game snap counts
Patriots,2024,Yannick Ngakoue,DE,0,0%,152,13.60%,0,0%,Yannick Ngakoue 2024 game-by-game snap counts
Patriots,2024,Titus Leo,DE,0,0%,9,.81%,77,17.62%,Titus Leo 2024 game-by-game snap counts
Patriots,2024,Jeremiah Pharms,DE,0,0%,457,40.88%,101,23.11%,Jeremiah Pharms 2024 game-by-game snap counts
