Team,Year,Player,Pos,Off_Num,Off_Pct,Def_Num,Def_Pct,ST_Num,ST_Pct,Note
Raiders,2024,Aidan O'Connell,QB,427,38.02%,0,0%,0,0%,Aidan O'Connell 2024 game-by-game snap counts
Raiders,2024,Desmond Ridder,QB,132,11.75%,0,0%,0,0%,Desmond Ridder 2024 game-by-game snap counts
Raiders,2024,Alexander Mattison,RB,444,39.54%,0,0%,2,.42%,Alexander Mattison 2024 game-by-game snap counts
Raiders,2024,Zamir White,RB,154,13.71%,0,0%,6,1.26%,Zamir White 2024 game-by-game snap counts
Raiders,2024,Ameer Abdullah,RB,410,36.51%,0,0%,192,40.34%,Ameer Abdullah 2024 game-by-game snap counts
Raiders,2024,Dylan Laube,RB,2,.18%,0,0%,116,24.37%,Dylan Laube 2024 game-by-game snap counts
Raiders,2024,Sincere McCormick,RB,89,7.93%,0,0%,21,4.41%,Sincere McCormick 2024 game-by-game snap counts
Raiders,2024,Tyreik McAllister,RB,4,.36%,0,0%,16,3.36%,Tyreik McAllister 2024 game-by-game snap counts
Raiders,2024,Chris Collier,RB,16,1.42%,0,0%,30,6.30%,Chris Collier 2024 game-by-game snap counts
Raiders,2024,Davante Adams,WR,178,15.85%,0,0%,0,0%,Davante Adams 2024 game-by-game snap counts
Raiders,2024,Tre Tucker,WR,984,87.62%,0,0%,22,4.62%,Tre Tucker 2024 game-by-game snap counts
Raiders,2024,Jakobi Meyers,WR,898,79.96%,0,0%,0,0%,Jakobi Meyers 2024 game-by-game snap counts
Raiders,2024,DJ Turner,WR,358,31.88%,0,0%,165,34.66%,DJ Turner 2024 game-by-game snap counts
Raiders,2024,Kristian Wilkerson,WR,45,4.01%,0,0%,15,3.15%,Kristian Wilkerson 2024 game-by-game snap counts
Raiders,2024,Ramel Keyton,WR,44,3.92%,0,0%,64,13.45%,Ramel Keyton 2024 game-by-game snap counts
Raiders,2024,Alex Bachman,WR,71,6.32%,0,0%,69,14.50%,Alex Bachman 2024 game-by-game snap counts
Raiders,2024,Terrace Marshall Jr.,WR,140,12.47%,0,0%,0,0%,Terrace Marshall Jr. 2024 game-by-game snap counts
Raiders,2024,Brock Bowers,TE,956,85.13%,0,0%,0,0%,Brock Bowers 2024 game-by-game snap counts
Raiders,2024,Michael Mayer,TE,460,40.96%,0,0%,45,9.45%,Michael Mayer 2024 game-by-game snap counts
Raiders,2024,John Samuel Shenker,TE,65,5.79%,0,0%,111,23.32%,John Samuel Shenker 2024 game-by-game snap counts
Raiders,2024,Justin Shorter,TE,25,2.23%,0,0%,126,26.47%,Justin Shorter 2024 game-by-game snap counts
Raiders,2024,Harrison Bryant,TE,213,18.97%,0,0%,96,20.17%,Harrison Bryant 2024 game-by-game snap counts
Raiders,2024,Thayer Munford,T,201,17.90%,0,0%,54,11.34%,Thayer Munford 2024 game-by-game snap counts
Raiders,2024,Kolton Miller,T,1075,95.73%,0,0%,53,11.13%,Kolton Miller 2024 game-by-game snap counts
Raiders,2024,Delmar Glaze,T,998,88.87%,0,0%,65,13.66%,Delmar Glaze 2024 game-by-game snap counts
Raiders,2024,Cody Whitehair,G,221,19.68%,0,0%,40,8.40%,Cody Whitehair 2024 game-by-game snap counts
Raiders,2024,Dylan Parham,G,882,78.54%,0,0%,56,11.76%,Dylan Parham 2024 game-by-game snap counts
Raiders,2024,Jackson Powers-Johnson,G,956,85.13%,0,0%,48,10.08%,Jackson Powers-Johnson 2024 game-by-game snap counts
Raiders,2024,Jordan Meredith,G,574,51.11%,0,0%,51,10.71%,Jordan Meredith 2024 game-by-game snap counts
Raiders,2024,Andrus Peat,G,57,5.08%,0,0%,58,12.18%,Andrus Peat 2024 game-by-game snap counts
Raiders,2024,Andre James,C,702,62.51%,0,0%,10,2.10%,Andre James 2024 game-by-game snap counts
Raiders,2024,Maxx Crosby,DE,0,0%,768,68.88%,44,9.24%,Maxx Crosby 2024 game-by-game snap counts
Raiders,2024,Charles Snowden,DE,0,0%,406,36.41%,119,25.00%,Charles Snowden 2024 game-by-game snap counts
Raiders,2024,Janarius Robinson,DE,0,0%,109,9.78%,43,9.03%,Janarius Robinson 2024 game-by-game snap counts
Raiders,2024,Tyree Wilson,DE,0,0%,525,47.09%,70,14.71%,Tyree Wilson 2024 game-by-game snap counts
Raiders,2024,Christian Wilkins,DT,0,0%,247,22.15%,31,6.51%,Christian Wilkins 2024 game-by-game snap counts
Raiders,2024,Adam Butler,DT,0,0%,858,76.95%,63,13.24%,Adam Butler 2024 game-by-game snap counts
Raiders,2024,John Jenkins,DT,0,0%,609,54.62%,103,21.64%,John Jenkins 2024 game-by-game snap counts
Raiders,2024,Matthew Butler,DT,0,0%,101,9.06%,27,5.67%,Matthew Butler 2024 game-by-game snap counts
Raiders,2024,Nesta Jade Silvera,DT,0,0%,70,6.28%,46,9.66%,Nesta Jade Silvera 2024 game-by-game snap counts
Raiders,2024,Zachary Carter,DT,0,0%,112,10.04%,11,2.31%,Zachary Carter 2024 game-by-game snap counts
Raiders,2024,Jonah Laulu,DT,0,0%,475,42.60%,96,20.17%,Jonah Laulu 2024 game-by-game snap counts
Raiders,2024,Robert Spillane,LB,0,0%,1095,98.21%,0,0%,Robert Spillane 2024 game-by-game snap counts
Raiders,2024,Divine Deablo,LB,0,0%,689,61.79%,55,11.55%,Divine Deablo 2024 game-by-game snap counts
Raiders,2024,Luke Masterson,LB,0,0%,102,9.15%,87,18.28%,Luke Masterson 2024 game-by-game snap counts
Raiders,2024,Kana'i Mauga,LB,8,.71%,0,0%,251,52.73%,Kana'i Mauga 2024 game-by-game snap counts
Raiders,2024,Amari Burney,LB,0,0%,101,9.06%,384,80.67%,Amari Burney 2024 game-by-game snap counts
Raiders,2024,Tommy Eichenberg,LB,0,0%,80,7.17%,313,65.76%,Tommy Eichenberg 2024 game-by-game snap counts
Raiders,2024,Amari Gainer,LB,0,0%,12,1.08%,380,79.83%,Amari Gainer 2024 game-by-game snap counts
