Team,Year,Player,Pos,Off_Num,Off_Pct,Def_Num,Def_Pct,ST_Num,ST_Pct,Note
Saints,2024,Derek Carr,QB,604,55.51%,0,0%,0,0%,Derek Carr 2024 game-by-game snap counts
Saints,2024,Jake Haener,QB,82,7.54%,0,0%,0,0%,Jake Haener 2024 game-by-game snap counts
Saints,2024,Alvin Kamara,RB,641,58.92%,0,0%,0,0%,Alvin Kamara 2024 game-by-game snap counts
Saints,2024,Clyde Edwards-Helaire,RB,44,4.04%,0,0%,0,0%,Clyde Edwards-Helaire 2024 game-by-game snap counts
Saints,2024,Jamaal Williams,RB,178,16.36%,0,0%,103,22.44%,Jamaal Williams 2024 game-by-game snap counts
Saints,2024,Kendre Miller,RB,104,9.56%,0,0%,14,3.05%,Kendre Miller 2024 game-by-game snap counts
Saints,2024,Jordan Mims,RB,105,9.65%,0,0%,49,10.68%,Jordan Mims 2024 game-by-game snap counts
Saints,2024,Adam Prentice,FB,272,25.00%,0,0%,218,47.49%,Adam Prentice 2024 game-by-game snap counts
Saints,2024,Chris Olave,WR,315,28.95%,0,0%,0,0%,Chris Olave 2024 game-by-game snap counts
Saints,2024,Rashid Shaheed,WR,286,26.29%,0,0%,46,10.02%,Rashid Shaheed 2024 game-by-game snap counts
Saints,2024,Cedrick Wilson Jr.,WR,384,35.29%,0,0%,138,30.07%,Cedrick Wilson Jr. 2024 game-by-game snap counts
Saints,2024,Marquez Valdes-Scantling,WR,337,30.97%,0,0%,0,0%,Marquez Valdes-Scantling 2024 game-by-game snap counts
Saints,2024,Kevin Austin,WR,323,29.69%,0,0%,41,8.93%,Kevin Austin 2024 game-by-game snap counts
Saints,2024,Mason Tipton,WR,358,32.90%,0,0%,19,4.14%,Mason Tipton 2024 game-by-game snap counts
Saints,2024,Dante Pettis,WR,148,13.60%,0,0%,53,11.55%,Dante Pettis 2024 game-by-game snap counts
Saints,2024,Jermaine Jackson,WR,4,.37%,0,0%,43,9.37%,Jermaine Jackson 2024 game-by-game snap counts
Saints,2024,Equanimeous St. Brown,WR,35,3.22%,0,0%,9,1.96%,Equanimeous St. Brown 2024 game-by-game snap counts
Saints,2024,Bub Means,WR,145,13.33%,0,0%,15,3.27%,Bub Means 2024 game-by-game snap counts
Saints,2024,Foster Moreau,TE,752,69.12%,0,0%,68,14.81%,Foster Moreau 2024 game-by-game snap counts
Saints,2024,Taysom Hill,TE,225,20.68%,0,0%,73,15.90%,Taysom Hill 2024 game-by-game snap counts
Saints,2024,Juwan Johnson,TE,697,64.06%,0,0%,52,11.33%,Juwan Johnson 2024 game-by-game snap counts
Saints,2024,Dallin Holker,TE,73,6.71%,0,0%,31,6.75%,Dallin Holker 2024 game-by-game snap counts
Saints,2024,Taliese Fuaga,T,1071,98.44%,0,0%,63,13.73%,Taliese Fuaga 2024 game-by-game snap counts
Saints,2024,Trevor Penning,T,1082,99.45%,0,0%,64,13.94%,Trevor Penning 2024 game-by-game snap counts
Saints,2024,Landon Young,T,393,36.12%,0,0%,64,13.94%,Landon Young 2024 game-by-game snap counts
Saints,2024,Shane Lemieux,G,338,31.07%,0,0%,19,4.14%,Shane Lemieux 2024 game-by-game snap counts
Saints,2024,Cesar Ruiz,"C,G",814,74.82%,0,0%,51,11.11%,Cesar Ruiz 2024 game-by-game snap counts
Saints,2024,Nick Saldiveri,G,344,31.62%,0,0%,46,10.02%,Nick Saldiveri 2024 game-by-game snap counts
