Team,Year,Player,Pos,Off_Num,Off_Pct,Def_Num,Def_Pct,ST_Num,ST_Pct,Note
Steelers,2024,Justin Fields,QB,408,36.14%,0,0%,0,0%,Justin Fields 2024 game-by-game snap counts
Steelers,2024,Kyle Allen,QB,2,.18%,0,0%,0,0%,Kyle Allen 2024 game-by-game snap counts
Steelers,2024,Najee Harris,RB,569,50.40%,0,0%,2,.44%,Najee Harris 2024 game-by-game snap counts
Steelers,2024,Jaylen Warren,RB,447,39.59%,0,0%,69,15.10%,Jaylen Warren 2024 game-by-game snap counts
Steelers,2024,Aaron Shampklin,RB,28,2.48%,0,0%,13,2.84%,Aaron Shampklin 2024 game-by-game snap counts
Steelers,2024,Jonathan Ward,RB,10,.89%,0,0%,59,12.91%,Jonathan Ward 2024 game-by-game snap counts
Steelers,2024,Cordarrelle Patterson,RB,110,9.74%,0,0%,64,14.00%,Cordarrelle Patterson 2024 game-by-game snap counts
Steelers,2024,Van Jefferson,WR,721,63.86%,0,0%,2,.44%,Van Jefferson 2024 game-by-game snap counts
Steelers,2024,George Pickens,WR,774,68.56%,0,0%,2,.44%,George Pickens 2024 game-by-game snap counts
Steelers,2024,Calvin Austin III,WR,593,52.52%,0,0%,68,14.88%,Calvin Austin III 2024 game-by-game snap counts
Steelers,2024,Scott Miller,WR,210,18.60%,0,0%,10,2.19%,Scott Miller 2024 game-by-game snap counts
Steelers,2024,Ben Skowronek,WR,101,8.95%,0,0%,149,32.60%,Ben Skowronek 2024 game-by-game snap counts
Steelers,2024,Mike Williams,WR,171,15.15%,0,0%,0,0%,Mike Williams 2024 game-by-game snap counts
Steelers,2024,Roman Wilson,WR,5,.44%,0,0%,0,0%,Roman Wilson 2024 game-by-game snap counts
Steelers,2024,Brandon Johnson,WR,19,1.68%,0,0%,0,0%,Brandon Johnson 2024 game-by-game snap counts
Steelers,2024,Pat Freiermuth,TE,776,68.73%,0,0%,81,17.72%,Pat Freiermuth 2024 game-by-game snap counts
Steelers,2024,MyCole Pruitt,TE,271,24.00%,0,0%,15,3.28%,MyCole Pruitt 2024 game-by-game snap counts
Steelers,2024,Darnell Washington,TE,584,51.73%,0,0%,85,18.60%,Darnell Washington 2024 game-by-game snap counts
Steelers,2024,Connor Heyward,TE,207,18.33%,0,0%,303,66.30%,Connor Heyward 2024 game-by-game snap counts
Steelers,2024,Rodney Williams,TE,5,.44%,0,0%,105,22.98%,Rodney Williams 2024 game-by-game snap counts
Steelers,2024,Dan Moore,T,1113,98.58%,0,0%,19,4.16%,Dan Moore 2024 game-by-game snap counts
Steelers,2024,Broderick Jones,T,1073,95.04%,0,0%,78,17.07%,Broderick Jones 2024 game-by-game snap counts
Steelers,2024,Spencer Anderson,T,310,27.46%,0,0%,78,17.07%,Spencer Anderson 2024 game-by-game snap counts
Steelers,2024,Troy Fautanu,T,55,4.87%,0,0%,0,0%,Troy Fautanu 2024 game-by-game snap counts
Steelers,2024,Calvin Anderson,T,11,.97%,0,0%,1,.22%,Calvin Anderson 2024 game-by-game snap counts
Steelers,2024,James Daniels,G,208,18.42%,0,0%,0,0%,James Daniels 2024 game-by-game snap counts
Steelers,2024,Isaac Seumalo,G,829,73.43%,0,0%,1,.22%,Isaac Seumalo 2024 game-by-game snap counts
Steelers,2024,Mason McCormick,G,939,83.17%,0,0%,72,15.75%,Mason McCormick 2024 game-by-game snap counts
Steelers,2024,Max Scharping,G,7,.62%,0,0%,1,.22%,Max Scharping 2024 game-by-game snap counts
Steelers,2024,Zach Frazier,C,976,86.45%,0,0%,0,0%,Zach Frazier 2024 game-by-game snap counts
