Team,Year,Player,Pos,Off_Num,Off_Pct,Def_Num,Def_Pct,ST_Num,ST_Pct,Note
Titans,2024,Mason Rudolph,QB,473,43.24%,0,0%,0,0%,Mason Rudolph 2024 game-by-game snap counts
Titans,2024,Tony Pollard,RB,701,64.08%,0,0%,0,0%,Tony Pollard 2024 game-by-game snap counts
Titans,2024,Tyjae Spears,RB,320,29.25%,0,0%,29,6.36%,Tyjae Spears 2024 game-by-game snap counts
Titans,2024,Julius Chestnut,RB,84,7.68%,0,0%,226,49.56%,Julius Chestnut 2024 game-by-game snap counts
Titans,2024,Joshua Kelley,RB,4,.37%,0,0%,3,.66%,Joshua Kelley 2024 game-by-game snap counts
Titans,2024,Calvin Ridley,WR,888,81.17%,0,0%,3,.66%,Calvin Ridley 2024 game-by-game snap counts
Titans,2024,Tyler Boyd,WR,635,58.04%,0,0%,3,.66%,Tyler Boyd 2024 game-by-game snap counts
Titans,2024,Treylon Burks,WR,147,13.44%,0,0%,13,2.85%,Treylon Burks 2024 game-by-game snap counts
Titans,2024,Nick Westbrook-Ikhine,WR,771,70.48%,0,0%,121,26.54%,Nick Westbrook-Ikhine 2024 game-by-game snap counts
Titans,2024,Mason Kinsey,WR,71,6.49%,0,0%,41,8.99%,Mason Kinsey 2024 game-by-game snap counts
Titans,2024,DeAndre Hopkins,WR,177,16.18%,0,0%,0,0%,DeAndre Hopkins 2024 game-by-game snap counts
Titans,2024,Jha'Quan Jackson,WR,46,4.20%,0,0%,125,27.41%,Jha'Quan Jackson 2024 game-by-game snap counts
Titans,2024,Bryce Oliver,WR,67,6.12%,0,0%,51,11.18%,Bryce Oliver 2024 game-by-game snap counts
Titans,2024,Tay Martin,WR,4,.37%,0,0%,3,.66%,Tay Martin 2024 game-by-game snap counts
Titans,2024,Chigoziem Okonkwo,TE,665,60.79%,0,0%,168,36.84%,Chigoziem Okonkwo 2024 game-by-game snap counts
Titans,2024,Nick Vannett,TE,399,36.47%,0,0%,171,37.50%,Nick Vannett 2024 game-by-game snap counts
Titans,2024,Josh Whyle,TE,345,31.54%,0,0%,92,20.18%,Josh Whyle 2024 game-by-game snap counts
Titans,2024,Thomas Odukoya,TE,1,.09%,0,0%,36,7.89%,Thomas Odukoya 2024 game-by-game snap counts
Titans,2024,David Martin-Robinson,TE,46,4.20%,0,0%,55,12.06%,David Martin-Robinson 2024 game-by-game snap counts
Titans,2024,JC Latham,T,1094,100.00%,0,0%,55,12.06%,JC Latham 2024 game-by-game snap counts
Titans,2024,Peter Skoronski,"G,T",1094,100.00%,0,0%,55,12.06%,Peter Skoronski 2024 game-by-game snap counts
Titans,2024,Nicholas Petit-Frere,T,621,56.76%,0,0%,50,10.96%,Nicholas Petit-Frere 2024 game-by-game snap counts
Titans,2024,Leroy Watson,T,190,17.37%,0,0%,13,2.85%,Leroy Watson 2024 game-by-game snap counts
Titans,2024,Dillon Radunz,T,902,82.45%,0,0%,41,8.99%,Dillon Radunz 2024 game-by-game snap counts
Titans,2024,Isaiah Prince,T,29,2.65%,0,0%,0,0%,Isaiah Prince 2024 game-by-game snap counts
Titans,2024,Andrew Rupcich,T,16,1.46%,0,0%,22,4.82%,Andrew Rupcich 2024 game-by-game snap counts
Titans,2024,John Ojukwu,T,264,24.13%,0,0%,23,5.04%,John Ojukwu 2024 game-by-game snap counts
Titans,2024,Jaelyn Duncan,T,39,3.56%,0,0%,8,1.75%,Jaelyn Duncan 2024 game-by-game snap counts
Titans,2024,Chandler Brewer,T,0,0%,0,0%,3,.66%,Chandler Brewer 2024 game-by-game snap counts
Titans,2024,Logan Bruss,G,0,0%,0,0%,12,2.63%,Logan Bruss 2024 game-by-game snap counts
Titans,2024,Arlington Hambright,G,0,0%,0,0%,13,2.85%,Arlington Hambright 2024 game-by-game snap counts
Titans,2024,Lloyd Cushenberry III,C,499,45.61%,0,0%,1,.22%,Lloyd Cushenberry III 2024 game-by-game snap counts
Titans,2024,Corey Levin,C,133,12.16%,0,0%,32,7.02%,Corey Levin 2024 game-by-game snap counts
Titans,2024,Daniel Brunskill,C,683,62.43%,0,0%,55,12.06%,Daniel Brunskill 2024 game-by-game snap counts
Titans,2024,Ali Gaye,DE,0,0%,178,16.84%,43,9.43%,Ali Gaye 2024 game-by-game snap counts
Titans,2024,Khalid Duke,DE,0,0%,12,1.14%,10,2.19%,Khalid Duke 2024 game-by-game snap counts
Titans,2024,Jeffery Simmons,DT,5,.46%,807,76.35%,73,16.01%,Jeffery Simmons 2024 game-by-game snap counts
Titans,2024,Abdullah Anderson,DT,0,0%,38,3.60%,0,0%,Abdullah Anderson 2024 game-by-game snap counts
Titans,2024,Sebastian Joseph-Day,DT,0,0%,486,45.98%,86,18.86%,Sebastian Joseph-Day 2024 game-by-game snap counts
Titans,2024,T'Vondre Sweat,NT,0,0%,699,66.13%,66,14.47%,T'Vondre Sweat 2024 game-by-game snap counts
Titans,2024,Keondre Coburn,NT,0,0%,126,11.92%,18,3.95%,Keondre Coburn 2024 game-by-game snap counts
Titans,2024,James Lynch,NT,0,0%,245,23.18%,33,7.24%,James Lynch 2024 game-by-game snap counts
Titans,2024,Jerome Baker,LB,0,0%,275,26.02%,11,2.41%,Jerome Baker 2024 game-by-game snap counts
Titans,2024,Kenneth Murray,LB,0,0%,817,77.29%,3,.66%,Kenneth Murray 2024 game-by-game snap counts
Titans,2024,Harold Landry,LB,0,0%,880,83.25%,3,.66%,Harold Landry 2024 game-by-game snap counts
Titans,2024,Arden Key,LB,0,0%,735,69.54%,81,17.76%,Arden Key 2024 game-by-game snap counts
Titans,2024,Jack Gibbens,LB,0,0%,235,22.23%,180,39.47%,Jack Gibbens 2024 game-by-game snap counts
Titans,2024,Jaylen Harrell,LB,0,0%,287,27.15%,200,43.86%,Jaylen Harrell 2024 game-by-game snap counts
Titans,2024,Ernest Jones,LB,0,0%,328,31.03%,1,.22%,Ernest Jones 2024 game-by-game snap counts
Titans,2024,Luke Gifford,LB,0,0%,203,19.21%,329,72.15%,Luke Gifford 2024 game-by-game snap counts
Titans,2024,James Williams,LB,0,0%,111,10.50%,264,57.89%,James Williams 2024 game-by-game snap counts
Titans,2024,Caleb Murphy,LB,0,0%,19,1.80%,22,4.82%,Caleb Murphy 2024 game-by-game snap counts
Titans,2024,Otis Reese,LB,0,0%,89,8.42%,228,50.00%,Otis Reese 2024 game-by-game snap counts
Titans,2024,Cedric Gray,LB,0,0%,48,4.54%,126,27.63%,Cedric Gray 2024 game-by-game snap counts
Titans,2024,Raekwon McMillan,LB,0,0%,0,0%,10,2.19%,Raekwon McMillan 2024 game-by-game snap counts
Titans,2024,L'Jarius Sneed,CB,0,0%,301,28.48%,2,.44%,L'Jarius Sneed 2024 game-by-game snap counts
Titans,2024,Roger McCreary,CB,0,0%,653,61.78%,88,19.30%,Roger McCreary 2024 game-by-game snap counts
Titans,2024,Chidobe Awuzie,CB,0,0%,373,35.29%,4,.88%,Chidobe Awuzie 2024 game-by-game snap counts
Titans,2024,Justin Hardee,CB,0,0%,0,0%,185,40.57%,Justin Hardee 2024 game-by-game snap counts
Titans,2024,Tre Avery,CB,0,0%,2,.19%,101,22.15%,Tre Avery 2024 game-by-game snap counts
Titans,2024,Darrell Baker,CB,0,0%,628,59.41%,160,35.09%,Darrell Baker 2024 game-by-game snap counts
Titans,2024,Gabe Jeudy-Lally,CB,0,0%,0,0%,22,4.82%,Gabe Jeudy-Lally 2024 game-by-game snap counts
Titans,2024,Jamal Adams,SS,0,0%,20,1.89%,0,0%,Jamal Adams 2024 game-by-game snap counts
Titans,2024,Amani Hooker,FS,0,0%,850,80.42%,75,16.45%,Amani Hooker 2024 game-by-game snap counts
