GameNum,Gtm,Week,Game_Date,Day,Opp,Result,Team_Points,Opponent_Points,OT,Cmp,Att,Cmp%,Penalty_Yards,TD,Y/A,AY/A,Rate,Sk,Penalty_Yards.1,Att.1,Penalty_Yards.2,TD.1,Y/A.1,Ply,Tot,Y/P,FGA,FGM,XPA,XPM,Pnt,Penalty_Yards.3,Pass,Rsh,Pen,1stD,ThirdDown_Conversions,ThirdDown_Attempts,FourthDown_Conversions,FourthDown_Attempts,Pen.1,Penalty_Yards.4,Fumbles_Lost,Interceptions_Thrown,Total_Turnovers,Time_of_Possession
1.0,1.0,1.0,9/6/24,Fri,PHI,L,29,34,,17,35,48.6,251,2,7.2,7.03,79.6,2,9,21,163,1,7.8,58,414,7.14,4,3,2,2,2,74,9,7,3,19,3,11,1,1,10,71,0,1,1,27:13:00
2.0,2.0,2.0,9/15/24,Sun,IND,W,16,10,,12,14,85.7,122,1,8.7,10.14,126.8,0,0,53,261,0,4.9,67,383,5.72,4,3,1,1,3,139,6,13,0,19,10,17,0,0,6,50,1,0,1,40:11:00
3.0,3.0,3.0,9/22/24,Sun,TEN,W,30,14,,13,19,68.4,190,1,10.0,11.05,118.3,3,12,37,188,1,5.1,59,378,6.41,3,3,3,3,5,244,6,9,1,16,5,14,0,0,10,75,0,0,0,32:28:00
4.0,4.0,4.0,9/29/24,Sun,MIN,L,29,31,,32,54,59.3,379,4,7.0,6.0,82.3,1,10,19,86,0,4.5,74,465,6.28,2,0,3,3,3,180,19,3,2,24,4,12,0,2,8,68,1,3,4,27:45:00
5.0,5.0,5.0,10/6/24,Sun,LAR,W,24,19,,15,26,57.7,202,2,7.8,7.58,92.1,2,22,30,126,1,4.2,58,328,5.66,1,1,3,3,5,186,8,9,2,19,1,8,0,0,7,39,0,1,1,27:19:00
6.0,6.0,6.0,10/13/24,Sun,ARI,W,34,13,,22,32,68.8,258,4,8.1,9.16,119.5,0,0,38,179,0,4.7,70,437,6.24,3,2,4,4,1,46,15,9,3,27,7,12,1,1,5,40,0,1,1,36:35:00
7.0,7.0,7.0,10/20/24,Sun,HOU,W,24,22,,24,33,72.7,195,3,5.9,5.0,92.4,3,25,20,82,0,4.1,56,277,4.95,1,1,3,3,5,284,12,4,2,18,4,10,0,0,8,55,1,2,3,28:43:00
8.0,8.0,8.0,10/27/24,Sun,JAX,W,30,27,,18,27,66.7,252,1,9.3,8.41,93.4,1,0,39,170,2,4.4,67,422,6.3,3,3,3,3,5,241,11,8,3,22,3,11,0,0,3,20,0,1,1,34:09:00
9.0,9.0,9.0,11/3/24,Sun,DET,L,14,24,,23,39,59.0,273,0,7.0,5.85,69.7,0,0,23,138,1,6.0,62,411,6.63,3,2,0,0,2,84,10,7,3,20,3,12,2,3,10,67,0,1,1,28:49:00
10.0,10.0,11.0,11/17/24,Sun,CHI,W,20,19,,13,17,76.5,260,1,15.3,13.82,113.0,1,1,25,106,2,4.2,43,366,8.51,0,0,2,2,1,47,10,8,1,19,1,5,0,1,3,25,0,1,1,23:39
11.0,11.0,12.0,11/24/24,Sun,SFO,W,38,10,,13,23,56.5,156,2,6.8,8.52,106.4,2,7,42,169,3,4.0,67,325,4.85,1,1,5,5,4,195,9,12,1,22,6,13,1,2,5,40,0,0,0,36:43:00
12.0,12.0,13.0,11/28/24,Thu,MIA,W,30,17,,21,28,75.0,274,2,9.8,11.21,129.2,0,0,25,114,1,4.6,53,388,7.32,3,3,3,3,4,172,11,7,1,19,5,11,0,0,7,44,0,0,0,26:56:00
13.0,13.0,14.0,12/5/24,Thu,DET,L,31,34,,12,20,60.0,199,1,10.0,10.95,110.2,1,7,24,99,3,4.1,45,298,6.62,1,1,4,4,3,125,7,7,3,17,1,5,0,0,7,59,1,0,1,23:54
14.0,14.0,15.0,12/15/24,Sun,SEA,W,30,13,,20,27,74.1,229,2,8.5,9.96,123.8,0,0,34,140,1,4.1,61,369,6.05,3,3,3,3,4,170,10,8,3,21,5,12,0,1,5,27,1,0,1,32:58:00
15.0,15.0,16.0,12/23/24,Mon,NOR,W,34,0,,17,30,56.7,216,1,7.2,7.87,90.4,0,0,39,188,3,4.8,69,404,5.86,2,2,4,4,2,93,10,14,0,24,6,13,3,3,6,60,0,0,0,37:13:00
16.0,16.0,17.0,12/29/24,Sun,MIN,L,25,27,,19,30,63.3,167,1,5.6,6.23,89.2,3,18,24,104,2,4.3,57,271,4.75,1,1,2,2,4,169,11,4,2,17,8,14,0,1,7,51,1,0,1,24:30:00
17.0,17.0,18.0,1/5/25,Sun,CHI,L,22,24,,17,25,68.0,184,0,7.4,7.36,89.4,3,21,33,183,2,5.5,61,367,6.02,3,3,1,1,3,133,7,13,0,20,3,10,0,1,5,45,2,0,2,30:56:00
,,,,,,6-Nov,460,338,,308,479,64.3,3807,28,7.9,8.08,98.7,22,132,526,2496,23,4.7,1027,6303,6.14,38,32,46,46,56,2582,171,142,30,343,75,190,8,16,112,836,8,11,19,520:01:00
