GameNum,Gtm,Week,Game_Date,Day,Opponent,Result,Team_Points,Opponent_Points,OT,Cmp,Att,Cmp%,Penalty_Yards,TD,Y/A,AY/A,Rate,Sk,Penalty_Yards.1,Att.1,Penalty_Yards.2,TD.1,Y/A.1,Ply,Tot,Y/P,FGA,FGM,XPA,XPM,Pnt,Penalty_Yards.3,Pass,Rsh,Pen,1stD,ThirdDown_Conversions,ThirdDown_Attempts,FourthDown_Conversions,FourthDown_Attempts,Pen.1,Penalty_Yards.4,Fumbles_Lost,Interceptions_Thrown,Total_Turnovers,Time_of_Possession
1.0,1.0,1.0,9/8/24,Sun,DEN,W,26,20,,18,25,72.0,158,1,6.3,5.32,85.1,2,13,33,146,2,4.4,60,304,5.07,2,2,2,2,5,241,11,5,3,19,4,12,0,0,6,41,1,1,2,28:46:00
2.0,2.0,2.0,9/15/24,Sun,NWE,W,23,20,OT,33,44,75.0,312,1,7.1,7.55,101.7,3,15,19,46,1,2.4,66,358,5.42,3,3,2,2,5,269,11,5,2,18,7,15,1,2,6,50,0,0,0,29:41:00
3.0,3.0,3.0,9/22/24,Sun,MIA,W,24,3,,26,34,76.5,270,1,7.9,5.88,84.2,3,19,23,100,2,4.3,60,370,6.17,2,1,3,3,4,195,13,7,1,21,3,11,0,0,11,92,0,2,2,31:28:00
4.0,4.0,4.0,9/30/24,Mon,DET,L,29,42,,38,56,67.9,383,1,6.8,6.39,85.6,3,12,19,133,3,7.0,78,516,6.62,1,0,3,3,3,133,22,10,6,38,5,10,1,2,8,70,1,1,2,34:04:00
5.0,5.0,5.0,10/6/24,Sun,NYG,L,20,29,,28,40,70.0,231,1,5.8,6.28,92.8,7,53,11,102,0,9.3,58,333,5.74,3,2,2,2,4,193,14,3,0,17,3,11,0,2,6,30,1,0,1,22:38
6.0,6.0,6.0,10/10/24,Thu,SFO,L,24,36,,30,52,57.7,306,1,5.9,4.54,65.1,1,6,20,52,1,2.6,73,358,4.9,1,1,3,3,4,216,18,3,1,22,7,16,2,3,9,69,1,2,3,26:57:00
7.0,7.0,7.0,10/20/24,Sun,ATL,W,34,14,,19,29,65.5,236,2,8.1,9.52,113.6,1,6,26,103,1,4.0,56,339,6.05,2,2,4,4,4,156,12,5,3,20,4,11,1,1,5,42,0,0,0,28:52:00
8.0,8.0,8.0,10/27/24,Sun,BUF,L,10,31,,21,29,72.4,201,0,6.9,5.38,76.9,1,11,17,32,1,1.9,47,233,4.96,1,1,1,1,4,245,13,2,2,17,1,7,0,1,11,82,1,1,2,21:57
9.0,9.0,9.0,11/3/24,Sun,LAR,L,20,26,OT,21,34,61.8,317,3,9.3,7.12,85.0,7,46,33,107,0,3.2,74,424,5.73,0,0,3,2,7,330,14,4,2,20,4,15,2,3,12,95,0,3,3,32:53:00
10.0,10.0,11.0,11/17/24,Sun,SFO,W,20,17,,25,32,78.1,195,0,6.1,4.69,79.0,4,26,23,94,2,4.1,59,289,4.9,2,2,2,2,2,97,10,8,1,19,6,13,1,2,4,20,0,1,1,26:35:00
11.0,11.0,12.0,11/24/24,Sun,ARI,W,16,6,,22,31,71.0,220,1,7.1,6.29,88.1,5,34,25,65,0,2.6,61,285,4.67,1,1,2,1,5,218,12,4,1,17,7,14,0,0,5,51,0,1,1,33:13:00
12.0,12.0,13.0,12/1/24,Sun,NYJ,W,26,21,,20,31,64.5,175,1,5.6,6.29,90.1,3,31,23,84,1,3.7,57,259,4.54,2,2,3,2,3,141,7,5,4,16,4,13,1,2,5,50,2,0,2,31:21:00
13.0,13.0,14.0,12/8/24,Sun,ARI,W,30,18,,24,30,80.0,233,1,7.8,8.43,110.1,0,0,31,176,2,5.7,61,409,6.7,3,3,3,3,5,265,10,8,0,18,7,15,0,0,9,62,0,0,0,33:02:00
14.0,14.0,15.0,12/15/24,Sun,GNB,L,13,30,,20,33,60.6,128,0,3.9,1.15,43.5,7,45,16,80,1,5.0,56,208,3.71,2,2,1,1,6,279,7,5,2,14,4,13,0,0,5,108,0,2,2,27:02:00
15.0,15.0,16.0,12/22/24,Sun,MIN,L,24,27,,31,43,72.1,302,3,7.0,6.33,95.3,2,12,15,59,0,3.9,60,361,6.02,2,1,3,3,5,262,17,4,2,23,2,10,1,1,11,77,0,2,2,29:19:00
16.0,16.0,17.0,12/26/24,Thu,CHI,W,6,3,,17,23,73.9,143,0,6.2,6.22,89.6,3,17,25,122,0,4.9,51,265,5.2,2,2,0,0,6,288,7,5,0,12,5,13,0,0,3,25,1,0,1,29:40:00
17.0,17.0,18.0,1/5/25,Sun,LAR,W,30,25,,20,27,74.1,210,4,7.8,10.74,135.8,2,13,24,126,0,5.3,53,336,6.34,1,1,3,3,4,228,13,5,0,18,6,11,0,0,3,23,0,0,0,28:50:00
,,,,,,7-Oct,375,368,,413,593,69.6,4020,21,6.8,6.27,88.9,54,359,383,1627,17,4.2,1030,5647,5.48,30,26,40,37,76,3756,211,88,30,329,79,210,10,19,119,987,8,16,24,496:18:00
