GameNum,Gtm,Week,Game_Date,Day,Opponent,Result,Team_Points,Opponent_Points,OT,Cmp,Att,Cmp%,Penalty_Yards,TD,Y/A,AY/A,Rate,Sk,Penalty_Yards.1,Att.1,Penalty_Yards.2,TD.1,Y/A.1,Ply,Tot,Y/P,FGA,FGM,XPA,XPM,Pnt,Penalty_Yards.3,Pass,Rsh,Pen,1stD,ThirdDown_Conversions,ThirdDown_Attempts,FourthDown_Conversions,FourthDown_Attempts,Pen.1,Penalty_Yards.4,Fumbles_Lost,Interceptions_Thrown,Total_Turnovers,Time_of_Possession
1.0,1.0,1.0,9/8/24,Sun,ARI,W,34,28,,18,23,78.3,222,2,9.7,11.39,135.9,2,10,33,130,2,3.9,58,352,6.07,2,2,4,4,2,85,11,8,4,23,3,9,2,2,9,65,1,0,1,30:30:00
2.0,2.0,2.0,9/12/24,Thu,MIA,W,31,10,,13,19,68.4,139,1,7.3,8.37,107.1,0,0,26,108,2,4.2,45,247,5.49,2,1,4,4,3,149,5,7,1,13,3,9,1,1,1,5,0,0,0,23:41
3.0,3.0,3.0,9/23/24,Mon,JAX,W,47,10,,24,31,77.4,266,4,8.6,11.16,141.9,0,0,29,122,2,4.2,60,388,6.47,2,2,6,5,1,49,15,9,1,25,6,11,2,2,6,47,0,0,0,31:40:00
4.0,4.0,4.0,9/29/24,Sun,BAL,L,10,35,,17,31,54.8,155,0,5.0,5.0,68.6,3,27,23,81,1,3.5,57,236,4.14,2,1,1,1,6,289,6,5,1,12,3,13,1,1,4,38,1,0,1,28:57:00
5.0,5.0,5.0,10/6/24,Sun,HOU,L,20,23,,9,30,30.0,126,1,4.2,4.87,55.7,1,5,28,150,1,5.4,59,276,4.68,2,2,2,2,8,401,5,9,2,16,3,14,1,1,4,25,0,0,0,26:50:00
6.0,6.0,6.0,10/14/24,Mon,NYJ,W,23,20,,19,25,76.0,210,2,8.4,10.0,127.1,2,5,33,149,1,4.5,60,359,5.98,2,1,3,2,3,159,10,10,4,24,5,11,0,0,11,94,0,0,0,29:34:00
7.0,7.0,7.0,10/20/24,Sun,TEN,W,34,10,,21,33,63.6,315,2,9.5,10.76,115.1,1,8,20,74,2,3.7,54,389,7.2,2,2,4,4,5,197,14,3,1,18,3,10,0,0,5,40,0,0,0,27:14:00
8.0,8.0,8.0,10/27/24,Sun,SEA,W,31,10,,24,34,70.6,281,2,8.3,8.12,102.7,1,2,34,164,2,4.8,69,445,6.45,1,1,4,4,3,147,12,14,3,29,8,15,1,1,13,85,0,1,1,38:03:00
9.0,9.0,9.0,11/3/24,Sun,MIA,W,30,27,,25,39,64.1,231,3,5.9,6.31,95.1,1,4,19,94,0,4.9,59,325,5.51,3,3,2,1,1,49,15,5,4,24,5,10,1,1,4,40,0,1,1,28:07:00
10.0,10.0,10.0,11/10/24,Sun,IND,W,30,20,,22,37,59.5,280,0,7.6,5.14,60.6,2,0,31,135,2,4.4,70,415,5.93,3,3,3,3,2,109,11,9,1,21,7,14,2,3,8,54,0,2,2,32:08:00
11.0,11.0,11.0,11/17/24,Sun,KAN,W,30,21,,27,40,67.5,262,1,6.6,5.93,83.5,0,0,31,104,3,3.4,71,366,5.15,1,1,4,3,3,126,13,9,2,24,9,15,1,2,3,24,0,1,1,34:03:00
12.0,12.0,13.0,12/1/24,Sun,SFO,W,35,10,,14,18,77.8,152,2,8.4,10.67,138.9,0,0,38,220,3,5.8,56,372,6.64,1,0,5,5,3,140,7,12,1,20,6,12,1,1,5,35,0,0,0,33:27:00
13.0,13.0,14.0,12/8/24,Sun,LAR,L,42,44,,22,37,59.5,342,3,9.2,10.86,117.2,0,0,17,103,3,6.1,54,445,8.24,0,0,6,6,3,101,14,6,5,25,5,9,0,0,7,59,0,0,0,21:30
14.0,14.0,15.0,12/15/24,Sun,DET,W,48,42,,23,34,67.6,362,2,10.6,11.82,122.4,0,0,34,197,4,5.8,68,559,8.22,3,2,6,6,1,51,15,11,2,28,5,10,1,1,6,49,0,0,0,32:42:00
15.0,15.0,16.0,12/22/24,Sun,NWE,W,24,21,,16,29,55.2,152,1,5.2,4.38,67.0,1,2,28,172,1,6.1,58,324,5.59,1,1,3,3,4,171,11,8,0,19,4,11,1,1,13,78,0,1,1,29:03:00
16.0,16.0,17.0,12/29/24,Sun,NYJ,W,40,14,,17,28,60.7,251,3,9.0,11.11,125.7,0,0,34,97,2,2.9,62,348,5.61,1,1,5,5,3,137,10,7,6,23,8,14,0,1,7,60,0,0,0,31:17:00
17.0,17.0,18.0,1/5/25,Sun,NWE,L,16,23,,18,32,56.3,129,1,4.0,4.66,76.2,0,0,33,130,1,3.9,65,259,3.98,1,1,2,1,4,163,7,8,1,16,6,15,1,4,6,35,0,0,0,28:46:00
,,,,,,13-4,525,368,,329,520,63.3,3875,30,7.5,8.09,100.3,14,63,491,2230,32,4.5,1025,6105,5.96,29,24,64,59,55,2523,181,140,39,360,89,202,16,22,112,833,2,6,8,507:32:00
