Rk,Player,Age,Pos,G,GS,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Bats,Sk,Prss,Comb,MTkl,MTkl%,Awards
1.0,Dorian Williams,23.0,RLB,17,11,0,59,43,72.9,390,9.1,6.6,3,107.3,4.6,144,246,41,4,2,0,0.0,6,117,11,8.6,
2.0,Terrel Bernard,25.0,MLB,13,13,2,59,38,64.4,379,10.0,6.4,2,79.7,5.2,152,227,41,3,2,0,1.0,6,104,8,7.1,
3.0,Damar Hamlin,26.0,SS,14,14,2,37,27,73.0,396,14.7,10.7,2,103.0,10.9,271,125,7,0,0,0,0.0,0,89,7,7.3,AP CPoY-4
4.0,Taylor Rapp,27.0,FS,14,14,2,32,22,68.8,343,15.6,10.7,3,109.2,10.8,194,149,9,0,0,1,0.0,0,82,2,2.4,
5.0,Cameron Lewis,27.0,DB,17,6,1,61,46,75.4,493,10.7,8.1,2,102.7,5.3,210,283,22,2,0,0,0.0,2,68,11,13.9,
6.0,Taron Johnson,28.0,CB,12,12,2,54,38,70.4,374,9.8,6.9,1,80.3,6.9,179,195,11,1,0,0,1.0,2,65,2,3.0,
7.0,Christian Benford,24.0,RCB,15,15,2,58,37,63.8,316,8.5,5.4,4,86.6,8.1,156,160,4,0,0,0,1.0,1,64,2,3.0,AP DPoY-22
8.0,Rasul Douglas,29.0,LCB,15,15,0,59,43,72.9,518,12.0,8.8,4,122.0,9.8,366,152,5,0,0,0,0.0,0,58,3,4.9,
9.0,Gregory Rousseau,24.0,RDE,16,16,0,10,7,70.0,78,11.1,7.8,0,92.9,2.2,22,56,1,11,15,3,8.0,35,53,5,8.6,
10.0,Cole Bishop,22.0,S,16,4,0,25,18,72.0,232,12.9,9.3,2,127.4,8.4,119,113,6,1,0,0,0.0,1,40,5,11.1,
11.0,Baylon Spector,26.0,LB,11,4,0,23,18,78.3,222,12.3,9.7,0,106.9,5.4,137,85,10,0,0,0,1.5,2,40,3,7.0,
12.0,A.J. Epenesa,26.0,LDE,17,13,0,4,2,50.0,14,7.0,3.5,0,58.3,-3.8,-8,22,0,6,4,0,6.0,16,39,2,4.9,
13.0,Ed Oliver,27.0,LDT,14,14,0,2,1,50.0,6,6.0,3.0,0,56.2,-4.0,-4,10,0,6,10,0,3.0,19,29,1,3.3,
14.0,Joe Andreessen,24.0,LB,13,1,0,10,8,80.0,51,6.4,5.1,0,87.9,1.0,7,44,5,0,1,0,0.0,1,26,1,3.7,
15.0,Kaiir Elam,23.0,CB,13,4,0,30,21,70.0,240,11.4,8.0,1,104.9,9.1,185,55,3,0,0,0,0.0,0,26,1,3.7,
16.0,Ja'Marcus Ingram,27.0,CB,17,1,2,21,11,52.4,149,13.5,7.1,1,51.6,9.1,81,68,3,0,0,0,1.0,1,24,3,11.1,
17.0,DaQuan Jones,33.0,RDT,16,16,0,2,1,50.0,-3,-3.0,-1.5,0,56.2,-4.5,-5,2,0,1,4,1,2.5,8,23,2,8.0,
18.0,Casey Toohill,28.0,DE,14,1,0,0,0,,0,,,0,,,0,0,0,2,0,1,1.0,3,20,1,4.8,
19.0,Austin Johnson,30.0,DT,15,1,2,1,0,0.0,0,,0.0,0,0.0,-6.0,0,0,0,2,1,0,0.5,4,19,1,5.0,
20.0,Von Miller,35.0,LB,13,0,0,0,0,,0,,,0,,,0,0,7,8,2,0,6.0,16,17,1,5.6,
21.0,Matt Milano,30.0,LB,4,4,0,8,5,62.5,60,12.0,7.5,0,85.4,0.5,-5,65,4,0,2,0,0.0,2,16,8,33.3,
22.0,Dawuane Smoot,29.0,DE,11,4,0,1,1,100.0,4,4.0,4.0,0,83.3,1.0,1,3,0,3,3,1,1.5,8,16,3,15.8,
23.0,DeWayne Carter,24.0,DT,11,3,0,1,1,100.0,-2,-2.0,-2.0,0,79.2,-3.0,-3,1,0,0,2,1,0.0,2,14,0,0.0,
24.0,Javon Solomon,23.0,DE,14,0,0,0,0,,0,,,0,,,0,0,1,2,4,0,2.0,8,13,3,18.8,
25.0,Brandon Codrington,24.0,DB,17,0,0,13,10,76.9,67,6.7,5.2,2,127.2,5.0,46,21,0,0,0,0,0.0,0,9,0,0.0,
26.0,Quinton Jefferson,31.0,DT,7,0,0,0,0,,0,,,0,,,0,0,0,3,1,0,1.0,5,8,2,20.0,
27.0,Edefuan Ulofoshio,24.0,LB,4,1,0,6,4,66.7,19,4.8,3.2,0,70.8,5.8,5,14,4,0,0,0,0.0,0,6,2,25.0,
28.0,Jordan Phillips,32.0,DT,7,0,1,2,1,50.0,13,13.0,6.5,0,31.2,-3.0,-6,19,0,2,1,0,0.0,3,5,3,37.5,
29.0,Kareem Jackson,36.0,S,2,0,0,3,1,33.3,4,4.0,1.3,0,42.4,9.3,4,0,2,0,0,0,0.0,0,4,1,20.0,
30.0,Nicholas Morrow,29.0,LB,11,0,0,2,2,100.0,14,7.0,7.0,1,135.4,0.0,0,14,0,0,0,0,0.0,0,3,0,0.0,
31.0,Mike Edwards,28.0,S,3,0,0,2,1,50.0,5,5.0,2.5,0,56.2,11.5,4,1,0,0,0,0,0.0,0,1,0,0.0,
32.0,Branson Deen,24.0,DT,1,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0.0,0,0,1,100.0,
33.0,Kingsley Jonathan,26.0,DE,1,0,0,0,0,,0,,,0,,,0,0,0,0,1,0,0.0,1,0,0,,
,Team Totals,,,17,17,16,578,396,69.6,4382,10.8,7.5,28,93.3,6.9,2252,44,186,57,55,8,37.0,152,1098,95,8.0,
