Rk,Player,Age,Pos,G,GS,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Bats,Sk,Prss,Comb,MTkl,MTkl%,Awards
1.0,Jordyn Brooks,27.0,RILB,17,17,0,82,55,67.1,582,10.6,7.1,3,99.7,4.3,198,384,38,5,3,0,3.0,11,143,9,5.9,
2.0,Jordan Poyer,33.0,FS,16,16,0,50,33,66.0,490,14.8,9.8,2,111.2,9.0,268,222,12,2,1,0,0.0,3,98,12,10.9,
3.0,Anthony Walker,29.0,LILB,14,8,1,40,29,72.5,326,11.2,8.2,1,94.4,3.2,99,227,19,2,0,1,1.0,3,68,7,9.3,
4.0,Jevon Holland,24.0,SS,15,15,0,48,26,54.2,321,12.3,6.7,2,89.0,6.3,108,213,17,0,1,0,1.0,2,62,6,8.8,
5.0,Jalen Ramsey,30.0,LCB,17,17,2,71,44,62.0,462,10.5,6.5,3,83.2,7.7,260,202,25,4,3,3,1.0,8,60,10,14.3,
6.0,Zach Sieler,29.0,LDE,15,15,1,4,2,50.0,18,9.0,4.5,0,22.9,2.0,5,13,0,3,8,1,10.0,22,55,5,8.3,
7.0,Calais Campbell,38.0,NT,17,17,0,0,0,,0,,,0,,,0,0,0,9,6,4,5.0,20,52,10,16.1,
8.0,Kendall Fuller,29.0,RCB,11,11,0,47,32,68.1,358,11.2,7.6,1,97.7,9.2,252,106,3,0,0,0,0.0,0,50,4,7.4,
9.0,Emmanuel Ogbah,31.0,LB,16,16,1,3,1,33.3,2,2.0,0.7,0,2.8,2.0,1,1,4,8,5,1,5.0,19,49,4,7.5,
10.0,Kader Kohou,26.0,CB,15,9,2,69,45,65.2,419,9.3,6.1,2,79.3,5.4,212,207,11,0,0,0,0.0,0,45,8,15.1,
11.0,David Long,28.0,LILB,8,6,0,23,20,87.0,225,11.3,9.8,1,121.9,3.7,86,139,6,1,0,0,0.0,1,38,5,11.6,
12.0,Tyrel Dodson,26.0,LB,8,3,3,21,16,76.2,125,7.8,6.0,1,66.7,2.4,28,97,13,1,2,0,0.0,3,36,6,14.3,
13.0,Storm Duck,24.0,CB,14,3,0,36,22,61.1,248,11.3,6.9,2,100.2,8.7,176,72,0,0,0,0,0.0,0,35,4,10.3,
14.0,Da'Shawn Hand,29.0,DT,17,2,0,2,2,100.0,34,17.0,17.0,0,118.7,-2.5,-5,39,0,0,3,1,1.0,4,31,1,3.1,
15.0,Marcus Maye,31.0,S,11,3,0,16,9,56.3,71,7.9,4.4,0,67.4,9.9,25,46,4,0,0,0,0.0,0,30,3,9.1,
16.0,Quinton Bell,28.0,LB,17,3,0,8,5,62.5,66,13.2,8.3,1,128.1,1.0,-9,75,3,1,0,0,1.0,2,27,3,10.0,
17.0,Chop Robinson,21.0,LB,17,1,0,8,3,37.5,21,7.0,2.6,0,45.8,-0.4,-6,27,10,6,7,3,6.0,20,26,5,16.1,AP DRoY-5
18.0,Benito Jones,27.0,RDE,17,15,0,1,1,100.0,6,6.0,6.0,0,91.7,-4.0,-4,10,0,1,2,0,0.0,3,24,3,11.1,
19.0,Cam Smith,24.0,CB,6,0,0,20,15,75.0,169,11.3,8.5,0,99.8,9.5,132,37,1,0,0,0,0.0,0,16,0,0.0,
20.0,Elijah Campbell,29.0,DB,17,1,0,6,3,50.0,33,11.0,5.5,0,66.7,9.2,26,7,1,1,0,0,0.0,1,11,4,26.7,
21.0,Siran Neal,30.0,CB,17,0,0,7,3,42.9,27,9.0,3.9,0,53.9,7.6,12,15,0,0,0,0,0.0,0,11,0,0.0,
22.0,Duke Riley,30.0,LB,17,2,0,4,3,75.0,7,2.3,1.8,1,116.7,1.8,1,6,4,1,0,0,0.0,1,11,1,8.3,
23.0,Tyus Bowser,29.0,LOLB,7,4,0,4,3,75.0,47,15.7,11.8,0,113.5,4.3,17,30,12,2,0,0,0.0,2,10,0,0.0,
24.0,Jaelan Phillips,25.0,LB,4,3,0,3,2,66.7,11,5.5,3.7,0,72.9,1.0,-1,12,3,1,0,1,1.0,2,6,1,14.3,
25.0,Neil Farrell,26.0,DT,7,0,0,0,0,,0,,,0,,,0,0,0,1,1,0,0.0,2,2,0,0.0,
26.0,Ethan Bonner,25.0,CB,5,0,0,2,1,50.0,4,4.0,2.0,0,56.2,10.5,4,0,1,0,0,0,0.0,0,1,0,0.0,
27.0,Cameron Goode,26.0,LB,3,0,0,0,0,,0,,,0,,,0,0,1,1,0,0,0.0,0,1,0,0.0,
28.0,Mohamed Kamara,25.0,LB,5,0,0,0,0,,0,,,0,,,0,0,0,2,1,0,0.0,3,1,0,0.0,
29.0,De'Von Achane,23.0,RB,17,16,0,1,1,100.0,6,6.0,6.0,1,131.2,6.0,6,0,1,0,0,0,0.0,0,0,0,,
30.0,Braxton Berrios,29.0,WR,6,0,0,1,0,0.0,0,,0.0,0,39.6,0.0,0,0,1,0,0,0,0.0,0,0,1,100.0,
31.0,Jaylen Waddle,26.0,WR,15,15,0,0,0,,0,,,0,,,0,0,1,0,0,0,0.0,0,0,0,,
,Team Totals,,,17,17,10,572,365,65.2,4078,10.8,7.1,22,88.7,6.2,1891,0,191,52,43,15,35.0,132,999,112,10.1,
