Rk,Player,Age,Pos,G,GS,Tgt,Rec,Yds,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,Awards
1.0,Jonnu Smith,29.0,TE,17,6,111,88,884,55,374,4.3,510,5.8,4.9,8,11.0,6,5.4,0,123.9,PB
2.0,Tyreek Hill,30.0,WR,17,17,123,81,959,54,667,8.2,292,3.6,11.4,1,81.0,2,1.6,3,95.5,
3.0,De'Von Achane,23.0,RB,17,16,87,78,592,30,-73,-0.9,665,8.5,-0.4,5,15.6,2,2.3,0,118.0,
4.0,Jaylen Waddle,26.0,WR,15,15,83,58,744,38,508,8.8,236,4.1,10.0,0,,8,9.6,3,90.6,
5.0,Malik Washington,23.0,WR,14,3,36,26,223,13,100,3.8,123,4.7,5.4,1,26.0,2,5.6,0,88.1,
6.0,Raheem Mostert,32.0,RB,13,1,23,19,161,10,15,0.8,146,7.7,0.6,2,9.5,0,0.0,0,95.8,
7.0,Julian Hill,24.0,TE,16,11,19,12,100,5,42,3.5,58,4.8,6.3,3,4.0,2,10.5,0,76.6,
8.0,Alec Ingold,28.0,FB,15,10,12,11,96,3,20,1.8,76,6.9,2.1,0,,0,0.0,0,100.0,
9.0,Odell Beckham Jr.,32.0,WR,9,0,18,9,55,3,41,4.6,14,1.6,7.6,0,,1,5.6,1,33.3,
10.0,Durham Smythe,29.0,TE,17,4,17,9,53,1,37,4.1,16,1.8,5.5,0,,1,5.9,0,59.2,
11.0,River Cracraft,30.0,WR,8,0,9,7,66,4,55,7.9,11,1.6,7.9,0,,1,11.1,0,97.2,
12.0,Tanner Conner,26.0,TE,8,1,4,3,16,1,11,3.7,5,1.7,11.5,0,,0,0.0,0,81.2,
13.0,D'Wayne Eskridge,27.0,WR,6,0,3,3,44,2,15,5.0,29,9.7,5.0,0,,0,0.0,0,118.7,
14.0,Jeff Wilson,29.0,RB,9,0,3,3,19,0,0,0.0,19,6.3,0.0,0,,0,0.0,0,93.1,
15.0,Jaylen Wright,21.0,RB,15,1,6,3,8,1,0,0.0,8,2.7,-1.0,1,3.0,1,16.7,0,56.2,
16.0,Grant Dubose,23.0,WR,3,0,4,2,11,1,8,4.0,3,1.5,11.8,0,,0,0.0,1,16.7,
17.0,Robbie Chosen,31.0,WR,2,0,4,1,5,0,4,4.0,1,1.0,11.8,0,,0,0.0,1,0.0,
18.0,Braxton Berrios,29.0,WR,6,0,4,0,0,0,0,,0,,6.5,0,,0,0.0,0,39.6,
19.0,Erik Ezukanma,24.0,WR,2,0,2,0,0,0,0,,0,,29.5,0,,0,0.0,0,39.6,
,Team Totals,,,17,17,568,413,4036,221,1824,4.4,2212,5.4,6.4,21,19.7,26,4.6,9,98.6,
