Rk,Player,Age,Pos,G,GS,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,Awards
1.0,De'Von Achane,23.0,RB,17,16,203,907,37,486,2.4,421,2.1,7,29.0,
2.0,Raheem Mostert,32.0,RB,13,1,85,278,13,143,1.7,135,1.6,1,85.0,
3.0,Jaylen Wright,21.0,RB,15,1,68,249,11,126,1.9,123,1.8,3,22.7,
4.0,Tyler Huntley,26.0,QB,5,5,26,135,10,104,4.0,31,1.2,0,,
5.0,Tua Tagovailoa,26.0,QB,11,11,17,49,5,49,2.9,0,0.0,0,,
6.0,Jeff Wilson,29.0,RB,9,0,16,57,3,24,1.5,33,2.1,0,,
7.0,Alec Ingold,28.0,FB,15,10,10,17,6,3,0.3,14,1.4,0,,
8.0,Tyreek Hill,30.0,WR,17,17,8,53,2,45,5.6,8,1.0,1,8.0,
9.0,Malik Washington,23.0,WR,14,3,5,25,1,11,2.2,14,2.8,1,5.0,
10.0,Jaylen Waddle,26.0,WR,15,15,4,12,1,8,2.0,4,1.0,0,,
11.0,Tim Boyle,30.0,QB,2,0,2,10,1,9,4.5,1,0.5,0,,
12.0,Jonnu Smith,29.0,TE,17,6,2,-1,0,-1,-0.5,0,0.0,0,,PB
13.0,Jake Bailey,27.0,P,17,0,1,0,0,0,0.0,0,0.0,0,,
14.0,Skylar Thompson,27.0,QB,3,1,1,4,0,4,4.0,0,0.0,0,,
,Team Totals,,,17,17,448,1795,90,1011,2.3,784,1.8,13,34.5,
