Rk,Player,Age,Pos,G,GS,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Bats,Sk,Prss,Comb,MTkl,MTkl%,Awards
1.0,Jamien Sherwood,24.0,RILB,17,16,0,52,40,76.9,349,8.7,6.7,2,107.0,4.8,147,202,28,1,0,0,2.0,3,158,9,5.4,
2.0,Quincy Williams,28.0,LILB,17,17,0,61,45,73.8,374,8.3,6.1,2,100.0,3.0,129,245,60,3,1,0,2.0,6,116,14,10.8,
3.0,Tony Adams,25.0,FS,15,11,1,44,29,65.9,417,14.4,9.5,2,102.2,9.0,190,227,15,2,1,0,1.0,4,84,10,10.6,
4.0,Chuck Clark,29.0,SS,12,12,0,28,19,67.9,239,12.6,8.5,2,118.0,6.4,100,139,10,0,0,0,1.0,1,69,6,8.0,
5.0,D.J. Reed,28.0,RCB,14,14,0,63,36,57.1,406,11.3,6.4,2,87.1,11.3,296,110,5,0,0,0,1.0,1,64,5,7.2,
6.0,Isaiah Oliver,28.0,CB,17,7,0,42,32,76.2,368,11.5,8.8,2,118.0,7.2,145,223,18,3,1,0,1.0,5,57,7,10.9,
7.0,Sauce Gardner,24.0,LCB,15,15,1,58,33,56.9,541,16.4,9.3,1,86.9,12.5,392,149,4,1,0,0,1.0,2,49,8,14.0,
8.0,Jalen Mills,30.0,S,9,8,1,23,11,47.8,154,14.0,6.7,0,51.7,14.0,87,67,5,0,0,0,0.0,0,44,8,15.4,
9.0,Brandin Echols,27.0,CB,16,4,2,40,24,60.0,324,13.5,8.1,3,90.0,14.5,221,103,0,0,0,0,0.0,0,40,3,7.0,
10.0,Javon Kinlaw,27.0,RDT,17,17,0,0,0,,0,,,0,,,0,0,2,4,3,0,4.5,12,40,7,14.9,
11.0,Quinnen Williams,27.0,NT,16,16,0,5,3,60.0,7,2.3,1.4,0,64.6,-1.6,-3,10,0,9,11,0,6.0,27,37,10,21.3,PB
12.0,Ashtyn Davis,28.0,S,15,1,2,20,14,70.0,138,9.9,6.9,1,66.2,5.9,55,83,5,1,0,0,0.0,1,35,3,7.9,
13.0,Micheal Clemons,27.0,LOLB,17,17,0,1,1,100.0,9,9.0,9.0,0,104.2,-2.0,-2,11,0,5,4,0,4.5,14,34,4,10.5,
14.0,Will McDonald,25.0,LDE,17,15,0,2,2,100.0,8,4.0,4.0,0,83.3,-4.0,-8,16,3,14,12,3,10.5,38,28,5,15.2,
15.0,Chazz Surratt,27.0,ROLB,17,5,0,6,5,83.3,41,8.2,6.8,0,95.1,1.8,10,31,13,1,1,0,0.0,2,28,1,3.4,
16.0,Solomon Thomas,29.0,DL,16,1,0,2,1,50.0,-4,-4.0,-2.0,0,56.2,-2.5,-4,0,0,5,2,1,3.5,11,26,8,23.5,
17.0,Michael Carter II,25.0,CB,13,1,0,27,17,63.0,137,8.1,5.1,0,75.7,8.4,88,49,9,1,0,0,0.0,1,24,5,17.2,
18.0,Leonard Taylor,25.0,DL,14,0,0,0,0,,0,,,0,,,0,0,0,0,2,1,1.5,4,24,3,11.1,
19.0,C.J. Mosley,32.0,LB,4,3,0,5,5,100.0,44,8.8,8.8,0,103.3,4.6,23,21,3,0,0,0,0.0,0,17,0,0.0,
20.0,Samuel Eguavoen,31.0,LB,17,1,0,0,0,,0,,,0,,,0,0,2,0,0,0,0.0,0,14,1,6.7,
21.0,Haason Reddick,30.0,LB,10,2,0,3,1,33.3,5,5.0,1.7,0,42.4,13.7,2,3,29,3,2,1,1.0,7,14,2,12.5,
22.0,Eric Watts,24.0,DL,14,0,0,0,0,,0,,,0,,,0,0,0,1,0,0,0.0,1,13,2,13.3,
23.0,Bruce Hector,30.0,DL,6,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,1.0,1,10,0,0.0,
24.0,Takkarist McKinley,29.0,DL,7,0,0,0,0,,0,,,0,,,0,0,0,0,1,0,0.5,2,9,1,10.0,
25.0,Kendall Sheffield,28.0,CB,6,0,0,12,5,41.7,46,9.2,3.8,1,80.6,9.2,23,23,1,0,0,0,0.0,0,9,3,25.0,
26.0,Qwan'tez Stiggers,22.0,CB,14,1,0,5,4,80.0,24,6.0,4.8,0,86.7,-0.6,9,15,0,0,0,0,0.0,0,8,2,20.0,
27.0,Irvin Charles,27.0,WR,13,0,0,1,0,0.0,0,,0.0,0,39.6,0.0,0,0,0,0,0,0,0.0,0,7,0,0.0,
28.0,Isaiah Davis,22.0,RB,17,0,0,1,1,100.0,0,0.0,0.0,0,79.2,5.0,0,0,0,0,0,0,0.0,0,7,0,0.0,
29.0,Jarius Monroe,24.0,S,5,0,0,2,0,0.0,14,,7.0,0,56.2,11.5,14,0,0,0,0,0,0.0,0,6,0,0.0,
30.0,Jalyn Holmes,28.0,DL,5,0,0,0,0,,0,,,0,,,0,0,0,0,1,0,0.0,1,4,0,0.0,
31.0,Jermaine Johnson II,25.0,LB,2,2,0,1,1,100.0,7,7.0,7.0,0,95.8,-3.0,-3,10,4,1,0,0,0.0,1,4,1,20.0,
,Team Totals,,,17,17,7,521,327,65.3,3648,11.1,7.2,18,89.0,8.3,1911,227,216,55,42,6,42.0,145,1079,128,10.6,
