Rk,Player,Age,Pos,G,GS,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,Awards
1.0,Breece Hall,23.0,RB,16,16,209,876,40,432,2.1,444,2.1,7,29.9,
2.0,Braelon Allen,20.0,RB,17,2,92,334,22,143,1.6,191,2.1,4,23.0,
3.0,Isaiah Davis,22.0,RB,17,0,30,174,10,66,2.2,108,3.6,4,7.5,
4.0,Aaron Rodgers,41.0,QB,17,17,22,107,7,102,4.6,5,0.2,1,22.0,AP CPoY-7
5.0,Tyrod Taylor,35.0,QB,2,0,3,13,0,8,2.7,5,1.7,1,3.0,
6.0,Malachi Corley,22.0,WR,9,1,2,26,1,26,13.0,0,0.0,0,,
7.0,Garrett Wilson,24.0,WR,17,17,2,5,1,0,0.0,5,2.5,1,2.0,
8.0,Tyler Conklin,29.0,TE,16,15,1,0,0,0,0.0,0,0.0,0,,
9.0,Ashtyn Davis,28.0,S,15,1,1,21,1,0,0.0,21,21.0,0,,
10.0,Xavier Gipson,23.0,WR,17,0,1,5,1,0,0.0,5,5.0,1,1.0,
,Team Totals,,,17,17,363,1561,83,777,2.1,784,2.2,19,19.1,
