Rk,Player,Age,Pos,G,GS,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Bats,Sk,Prss,Comb,MTkl,MTkl%,Awards
1.0,Jahlani Tavai,28.0,RILB,17,16,1,55,42,76.4,431,10.3,7.8,1,96.9,4.4,170,261,48,5,1,1,1.0,7,115,8,6.5,
2.0,Kyle Dugger,28.0,FS,13,13,0,46,35,76.1,357,10.2,7.8,6,137.4,6.5,194,163,23,0,0,1,1.0,1,81,15,15.6,
3.0,Christian Elliss,25.0,LILB,16,5,1,24,16,66.7,184,11.5,7.7,1,86.1,9.2,98,86,23,1,3,0,1.5,6,80,6,7.0,
4.0,Anfernee Jennings,27.0,ROLB,16,16,0,5,3,60.0,56,18.7,11.2,0,98.7,3.4,16,40,28,6,5,0,2.5,14,78,4,4.9,
5.0,Davon Godchaux,30.0,NT,17,17,0,0,0,,0,,,0,,,0,0,0,1,1,1,0.0,2,67,2,2.9,
6.0,Christian Gonzalez,22.0,RCB,16,16,2,88,49,55.7,530,10.8,6.0,2,71.7,11.8,364,166,2,0,1,0,0.0,1,59,3,4.8,"AP-2,AP CPoY-5"
7.0,Jonathan Jones,31.0,LCB,17,14,0,60,43,71.7,538,12.5,9.0,7,138.1,9.3,329,209,1,0,0,0,0.0,0,58,6,9.4,
8.0,Marcus Jones,26.0,CB,14,9,1,65,41,63.1,530,12.9,8.2,3,97.6,11.3,374,156,5,0,0,0,0.0,0,58,4,6.5,
9.0,Keion White,25.0,LDE,17,13,0,13,12,92.3,112,9.3,8.6,0,102.6,-0.8,-10,122,6,12,10,5,5.0,28,56,5,8.2,
10.0,Daniel Ekuale,30.0,RDE,16,16,0,2,1,50.0,-1,-1.0,-0.5,0,56.2,0.0,-5,4,0,1,1,0,1.0,4,52,3,5.5,
11.0,Jaylinn Hawkins,27.0,S,17,7,0,20,15,75.0,166,11.1,8.3,2,132.5,6.4,103,63,13,0,0,0,0.0,0,48,6,11.1,
