Rk,Player,Age,Pos,G,GS,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,Awards
1.0,Rhamondre Stevenson,26.0,RB,15,14,207,801,40,370,1.8,431,2.1,14,14.8,
2.0,Antonio Gibson,26.0,RB,17,3,120,538,24,215,1.8,323,2.7,12,10.0,
3.0,Drake Maye,22.0,QB,13,12,54,421,22,335,6.2,86,1.6,2,27.0,"PB,AP ORoY-8"
4.0,Jamycal Hasty,28.0,RB,15,0,20,69,4,38,1.9,31,1.6,0,,
5.0,Jacoby Brissett,32.0,QB,8,5,15,62,5,49,3.3,13,0.9,0,,
6.0,Terrell Jennings,23.0,RB,3,0,13,33,0,19,1.5,14,1.1,0,,
7.0,Joe Milton,24.0,QB,1,0,10,16,4,2,0.2,14,1.4,0,,
8.0,Demario Douglas,24.0,WR,17,7,3,16,0,12,4.0,4,1.3,0,,
9.0,Kendrick Bourne,29.0,WR,12,9,1,6,1,3,3.0,3,3.0,0,,
10.0,Marcus Jones,26.0,CB,14,9,1,5,0,5,5.0,0,0.0,0,,
11.0,Dell Pettus,23.0,S,17,1,1,2,1,2,2.0,0,0.0,0,,
12.0,Ja'Lynn Polk,22.0,WR,15,7,1,0,0,0,0.0,0,0.0,0,,
,Team Totals,,,17,17,446,1969,101,1050,2.4,919,2.1,28,15.9,
