Rk,Player,Age,Pos,G,GS,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Bats,Sk,Prss,Comb,MTkl,MTkl%,Awards
1.0,Germaine Pratt,28.0,MLB,17,17,2,71,50,70.4,505,10.1,7.1,2,88.1,2.6,93,412,43,3,4,2,0.0,7,143,18,11.2,
2.0,Logan Wilson,28.0,LLB,11,11,0,41,35,85.4,309,8.8,7.5,3,122.5,4.1,138,171,38,1,4,0,0.0,5,104,7,6.3,
3.0,Akeem Davis-Gaither,27.0,RLB,17,7,1,45,35,77.8,330,9.4,7.3,0,88.0,3.9,77,253,21,1,1,1,0.0,2,82,9,9.9,
4.0,Geno Stone,25.0,SS,17,17,4,33,22,66.7,312,14.2,9.5,5,97.0,14.8,254,58,16,1,4,0,0.0,5,81,15,15.6,
5.0,Cam Taylor-Britt,25.0,LCB,17,17,3,91,59,64.8,734,12.4,8.1,6,98.0,11.6,510,224,2,0,0,0,0.5,1,77,10,11.5,
6.0,Mike Hilton,30.0,CB,16,10,1,61,41,67.2,356,8.7,5.8,3,92.0,4.7,193,163,39,3,1,1,0.0,4,73,5,6.4,
7.0,Jordan Battle,24.0,S,17,6,1,26,16,61.5,206,12.9,7.9,2,96.0,10.5,147,59,13,0,1,0,0.0,1,58,5,7.9,
8.0,B.J. Hill,29.0,RDT,15,15,0,2,1,50.0,0,0.0,0.0,0,56.2,-4.0,-8,8,0,5,6,4,3.0,14,56,3,5.1,
9.0,Vonn Bell,30.0,FS,17,11,1,26,16,61.5,199,12.4,7.7,4,108.8,8.0,126,73,13,0,1,0,0.0,1,55,6,9.8,
10.0,Trey Hendrickson,30.0,RDE,17,17,0,6,5,83.3,30,6.0,5.0,0,87.5,1.2,9,21,1,18,17,3,17.5,54,46,4,8.0,"PB,AP-1,AP DPoY-2"
11.0,Joseph Ossai,24.0,DE,17,3,0,7,6,85.7,45,7.5,6.4,0,93.5,0.3,-2,47,2,7,10,1,5.0,23,46,7,13.2,
12.0,Sam Hubbard,29.0,LDE,14,14,1,3,2,66.7,19,9.5,6.3,0,44.4,-1.0,-5,24,1,0,6,1,2.0,8,41,2,4.7,
13.0,Kris Jenkins,23.0,LDT,15,9,0,1,1,100.0,4,4.0,4.0,0,83.3,-6.0,-6,10,0,1,2,0,3.0,6,31,2,6.1,
14.0,Josh Newton,24.0,RCB,17,6,1,55,31,56.4,382,12.3,6.9,4,94.7,9.0,228,154,1,0,0,0,0.0,0,31,6,16.2,
15.0,DJ Turner,24.0,CB,11,6,0,48,26,54.2,424,16.3,8.8,1,91.0,11.8,221,203,0,0,0,0,0.0,0,29,5,14.7,
16.0,Daxton Hill,24.0,CB,5,5,0,20,13,65.0,125,9.6,6.3,1,99.0,8.3,83,42,2,0,0,0,1.0,1,25,4,13.8,
17.0,Myles Murphy,22.0,DE,13,0,0,3,2,66.7,12,6.0,4.0,0,74.3,-0.3,-2,14,0,5,4,0,0.0,9,20,0,0.0,
18.0,Sheldon Rankins,30.0,DT,7,7,0,0,0,,0,,,0,,,0,0,0,1,0,0,1.0,2,18,3,14.3,
19.0,McKinnley Jackson,23.0,DT,13,1,0,0,0,,0,,,0,,,0,0,0,1,0,0,1.0,2,15,0,0.0,
20.0,Jay Tufele,25.0,DT,13,3,0,0,0,,0,,,0,,,0,0,0,1,1,1,0.5,3,15,2,11.8,
21.0,Maema Njongmeta,23.0,LB,17,1,0,5,5,100.0,29,5.8,5.8,0,90.8,3.2,16,13,0,0,0,0,0.0,0,13,0,0.0,
22.0,Zachary Carter,25.0,DT,4,2,0,0,0,,0,,,0,,,0,0,0,1,0,0,0.5,2,9,0,0.0,
23.0,Cedric Johnson,22.0,DE,9,0,0,0,0,,0,,,0,,,0,0,0,1,3,0,1.0,5,7,0,0.0,
24.0,Shaka Heyward,24.0,LB,6,0,0,1,0,0.0,0,,0.0,0,39.6,-6.0,0,0,0,0,0,0,0.0,0,6,0,0.0,
25.0,DJ Ivey,24.0,CB,11,0,0,5,1,20.0,8,8.0,1.6,0,39.6,17.2,7,1,2,0,0,0,0.0,0,4,0,0.0,
26.0,Daijahn Anthony,24.0,S,13,0,0,1,0,0.0,0,,0.0,0,39.6,17.0,0,0,0,0,0,0,0.0,0,3,0,0.0,
27.0,Joe Bachie,26.0,LB,12,0,0,2,2,100.0,13,6.5,6.5,0,93.7,-0.5,-1,14,4,1,0,0,0.0,1,3,1,25.0,
28.0,Jalen Davis,28.0,CB,2,0,0,5,3,60.0,29,9.7,5.8,0,76.2,16.4,24,5,3,0,0,0,0.0,0,3,1,25.0,
29.0,Lawrence Guy,34.0,DT,4,2,0,0,0,,0,,,0,,,0,0,0,0,0,0,0.0,0,2,1,33.3,
30.0,Marco Wilson,25.0,CB,6,0,0,5,2,40.0,29,14.5,5.8,0,59.6,13.8,25,4,0,0,0,0,0.0,0,2,0,0.0,
,Team Totals,,,17,17,15,573,372,66.4,4100,11.0,7.3,30,91.9,7.7,2127,0,201,51,65,14,36.0,156,1098,116,9.6,
