Rk,Player,Age,Pos,G,GS,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Bats,Sk,Prss,Comb,MTkl,MTkl%,Awards
1.0,Roquan Smith,27.0,LILB,16,16,1,68,50,73.5,644,12.9,9.5,2,106.5,4.5,230,414,48,4,2,0,1.5,8,154,5,3.1,"PB,AP-1"
2.0,Kyle Hamilton,23.0,SS,17,17,1,58,42,72.4,326,7.8,5.6,1,84.4,5.2,173,153,34,1,4,2,2.0,7,107,9,7.8,"PB,AP-2,AP DPoY-9"
3.0,Trenton Simpson,23.0,RLB,17,13,0,35,26,74.3,242,9.3,6.9,3,121.4,3.1,90,152,28,0,2,0,1.5,4,73,5,6.4,
4.0,Brandon Stephens,27.0,RCB,17,17,0,102,66,64.7,906,13.7,8.9,4,106.1,13.7,656,250,5,0,0,1,1.5,2,70,5,6.7,
5.0,Marlon Humphrey,28.0,LCB,16,16,6,96,58,60.4,556,9.6,5.8,3,60.9,6.2,327,229,23,0,3,0,0.5,4,67,6,8.2,"PB,AP-1,AP CPoY-25"
6.0,Ar'Darius Washington,25.0,S,17,10,2,51,32,62.7,250,7.8,4.9,3,78.1,8.0,167,83,11,1,1,0,1.0,3,64,4,5.9,
7.0,Malik Harrison,26.0,LB,15,7,0,16,12,75.0,141,11.8,8.8,1,122.1,0.6,10,131,12,0,2,0,2.0,4,54,10,15.6,
8.0,Nnamdi Madubuike,27.0,DT,17,17,0,0,0,,0,,,0,,,0,0,0,4,9,1,6.5,21,43,1,2.3,PB
9.0,Travis Jones,25.0,NT,17,15,0,1,1,100.0,0,0.0,0.0,0,79.2,-8.0,-8,8,0,4,3,0,1.0,8,42,0,0.0,
10.0,Kyle Van Noy,33.0,ROLB,16,13,0,8,7,87.5,68,9.7,8.5,0,102.1,4.4,35,33,10,4,8,2,12.5,25,41,3,6.8,PB
11.0,Odafe Oweh,26.0,LOLB,17,10,0,5,5,100.0,56,11.2,11.2,0,113.3,2.4,12,44,7,5,12,0,10.0,28,39,3,7.1,
12.0,Nate Wiggins,21.0,CB,15,6,1,62,31,50.0,441,14.2,7.1,0,66.7,12.1,336,105,1,1,0,0,0.0,1,33,4,10.8,AP DRoY-11
13.0,Marcus Williams,28.0,FS,11,9,0,24,16,66.7,295,18.4,12.3,3,148.4,13.1,242,53,1,0,0,0,0.0,0,33,2,5.7,
14.0,Tavius Robinson,25.0,OLB,17,7,0,3,2,66.7,7,3.5,2.3,0,70.1,0.3,-3,10,0,1,8,0,3.5,13,32,0,0.0,
15.0,Chris Board,29.0,LB,17,1,0,9,6,66.7,60,10.0,6.7,0,85.4,4.6,30,30,5,0,0,0,1.0,1,30,2,6.3,
16.0,Eddie Jackson,31.0,FS,9,4,0,25,15,60.0,243,16.2,9.7,3,132.2,15.6,200,43,1,0,1,0,0.0,1,30,3,9.1,
17.0,Broderick Washington Jr.,28.0,DT,15,5,0,0,0,,0,,,0,,,0,0,0,4,0,2,2.0,6,21,4,16.0,
18.0,Brent Urban,33.0,DL,13,0,0,1,1,100.0,0,0.0,0.0,0,79.2,-3.0,-3,3,0,1,0,2,0.0,1,20,0,0.0,
19.0,Michael Pierce,32.0,NT,11,1,1,2,0,0.0,0,,0.0,0,0.0,0.5,0,0,0,5,1,1,2.0,9,19,1,5.0,
20.0,Tre'Davious White,29.0,CB,7,0,0,10,5,50.0,27,5.4,2.7,0,56.2,8.1,10,17,0,0,0,0,0.0,0,10,1,9.1,
21.0,David Ojabo,24.0,OLB,13,0,0,3,1,33.3,25,25.0,8.3,0,64.6,-0.3,-1,26,7,3,4,0,2.0,9,9,2,18.2,
22.0,Jalyn Armour-Davis,25.0,CB,7,2,0,13,9,69.2,94,10.4,7.2,1,115.5,6.9,56,38,0,0,0,0,0.0,0,8,1,11.1,
23.0,Arthur Maulet,31.0,CB,3,0,0,6,3,50.0,25,8.3,4.2,0,61.1,10.7,15,10,4,1,0,0,0.0,1,5,1,16.7,
24.0,Yannick Ngakoue,29.0,OLB,5,0,0,0,0,,0,,,0,,,0,0,0,2,1,0,1.5,5,5,0,0.0,
25.0,Kristian Welch,26.0,LB,9,1,0,1,1,100.0,5,5.0,5.0,0,87.5,5.0,5,0,0,0,0,0,0.0,0,5,1,16.7,
26.0,Adisa Isaac,23.0,OLB,4,0,0,0,0,,0,,,0,,,0,0,0,1,0,1,0.0,1,4,0,0.0,
27.0,T.J. Tampa,22.0,CB,7,0,0,1,1,100.0,4,4.0,4.0,0,83.3,4.0,4,0,0,0,0,0,0.0,0,4,1,20.0,
28.0,Chris Wormley,31.0,DL,2,0,0,0,0,,0,,,0,,,0,0,0,1,0,0,0.0,0,4,1,20.0,
29.0,Beau Brade,22.0,S,11,0,0,1,1,100.0,30,30.0,30.0,0,118.7,-1.0,-1,31,1,0,0,0,0.0,0,3,1,25.0,
30.0,Desmond King,30.0,CB,2,0,0,5,4,80.0,36,9.0,7.2,1,136.2,10.4,19,17,1,1,0,0,0.0,1,3,0,0.0,
31.0,Josh Tupou,30.0,NT,3,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,1.0,1,3,0,0.0,
,Team Totals,,,17,17,12,625,396,65.2,4481,11.3,7.4,27,91.1,8.2,2601,38,199,44,61,12,53.0,164,1035,76,6.8,
