Rk,Player,Age,Pos,G,GS,Tgt,Rec,Yds,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,Awards
1.0,Zay Flowers,24.0,WR,17,15,116,74,1059,48,596,8.1,463,6.3,10.0,7,10.6,6,5.2,0,104.8,PB
2.0,Mark Andrews,29.0,TE,17,13,69,55,673,39,485,8.8,188,3.4,10.5,1,55.0,4,5.8,1,140.9,AP CPoY-19
3.0,Rashod Bateman,25.0,WR,17,14,72,45,756,35,572,12.7,184,4.1,13.6,0,,4,5.6,2,125.9,
4.0,Justice Hill,27.0,RB,15,0,51,42,383,17,-55,-1.3,438,10.4,-0.5,5,8.4,2,3.9,1,109.4,
5.0,Isaiah Likely,24.0,TE,16,9,58,42,477,26,221,5.3,256,6.1,8.0,3,14.0,2,3.4,0,131.2,
6.0,Derrick Henry,30.0,RB,17,17,22,19,193,11,-23,-1.2,216,11.4,-1.1,8,2.4,1,4.5,0,133.5,"PB,AP-2,AP OPoY-4"
7.0,Nelson Agholor,31.0,WR,14,7,29,14,231,10,146,10.4,85,6.1,13.4,1,14.0,4,13.8,0,98.5,
8.0,Tylan Wallace,25.0,WR,17,0,12,11,193,5,65,5.9,128,11.6,6.1,1,11.0,1,8.3,0,146.5,
9.0,Charlie Kolar,25.0,TE,13,3,11,9,131,4,55,6.1,76,8.4,6.0,0,,0,0.0,0,146.6,
10.0,Patrick Ricard,30.0,FB,17,6,5,3,22,1,4,1.3,18,6.0,1.2,0,,1,20.0,0,110.0,"PB,AP-1"
11.0,Diontae Johnson,28.0,WR,4,1,5,1,6,0,5,5.0,1,1.0,24.2,0,,1,20.0,0,39.6,
12.0,Anthony Miller,30.0,WR,2,0,1,1,16,1,15,15.0,1,1.0,15.0,0,,0,0.0,0,118.7,
13.0,Keaton Mitchell,22.0,RB,5,0,1,1,28,1,-5,-5.0,33,33.0,-5.0,0,,0,0.0,0,118.7,
14.0,Devontez Walker,23.0,WR,9,0,3,1,21,1,21,21.0,0,0.0,28.0,0,,0,0.0,0,98.6,
15.0,Rasheen Ali,23.0,RB,6,0,2,0,0,0,0,,0,,-2.5,0,,1,50.0,0,39.6,
,Team Totals,,,17,17,457,318,4189,199,2102,6.6,2087,6.6,8.8,26,12.2,27,5.9,4,124.5,
