Rk,Player,Age,Pos,G,GS,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,Awards
1.0,Derrick Henry,30.0,RB,17,17,325,1921,94,1012,3.1,909,2.8,42,7.7,"PB,AP-2,AP OPoY-4"
2.0,Lamar Jackson,27.0,QB,17,17,139,915,47,666,4.8,249,1.8,7,19.9,"PB,AP-1,AP MVP-2,AP OPoY-2"
3.0,Justice Hill,27.0,RB,15,0,47,228,14,90,1.9,138,2.9,6,7.8,
4.0,Keaton Mitchell,22.0,RB,5,0,15,30,2,8,0.5,22,1.5,2,7.5,
5.0,Rasheen Ali,23.0,RB,6,0,10,31,2,16,1.6,15,1.5,0,,
6.0,Zay Flowers,24.0,WR,17,15,9,56,1,27,3.0,29,3.2,1,9.0,PB
7.0,Mark Andrews,29.0,TE,17,13,4,5,3,1,0.3,4,1.0,0,,AP CPoY-19
8.0,Josh Johnson,38.0,QB,6,0,4,1,0,-1,-0.3,2,0.5,0,,
9.0,Charlie Kolar,25.0,TE,13,3,1,2,1,2,2.0,0,0.0,0,,
,Team Totals,,,17,17,554,3189,164,1821,3.3,1368,2.5,58,9.6,
