GameNum,Gtm,Week,Game_Date,Day,Opp,Result,Team_Points,Team_Points.1,OT,Cmp,Att,Cmp%,Penalty_Yards,TD,Y/A,AY/A,Rate,Sk,Penalty_Yards.1,Att.1,Penalty_Yards.2,TD.1,Y/A.1,Ply,Tot,Y/P,FGA,FGM,XPA,XPM,Pnt,Penalty_Yards.3,Pass,Rsh,Pen,1stD,ThirdDown_Conversions,ThirdDown_Attempts,FourthDown_Conversions,FourthDown_Attempts,Pen.1,Penalty_Yards.4,Fumbles_Lost,Interceptions_Thrown,Total_Turnovers,Time_of_Possession,team,division
1.0,1.0,1.0,9/8/24,Sun,ATL,W,18,10,,17,23,73.9,133,0,5.8,5.78,87.8,2,23,41,137,0,3.3,66,270,4.09,6,6,0,0,3,146,6,9,1,16,8,17,0,1,9,60,0,0,0,35:36:00,Steelers,AFC_North
2.0,2.0,2.0,9/15/24,Sun,DEN,W,13,6,,13,20,65.0,110,1,5.5,6.5,95.8,2,7,36,141,0,3.9,58,251,4.33,2,2,1,1,8,424,7,4,5,16,4,13,0,0,10,78,0,0,0,32:19:00,Steelers,AFC_North
3.0,3.0,3.0,9/22/24,Sun,LAC,W,20,10,,25,32,78.1,232,1,7.3,6.47,94.3,2,13,31,114,1,3.7,65,346,5.32,3,2,2,2,3,156,9,7,4,20,7,14,0,0,3,15,0,1,1,33:51:00,Steelers,AFC_North
4.0,4.0,4.0,9/29/24,Sun,IND,L,24,27,,22,34,64.7,282,1,8.3,8.88,100.4,4,30,30,122,2,4.1,68,404,5.94,1,1,3,3,3,103,11,10,2,23,6,13,0,2,6,53,2,0,2,31:07:00,Steelers,AFC_North
5.0,5.0,5.0,10/6/24,Sun,DAL,L,17,20,,16,28,57.1,134,2,4.8,6.21,93.5,3,16,26,92,0,3.5,57,226,3.96,1,1,2,2,5,222,7,6,4,17,3,12,2,2,8,50,1,0,1,27:31:00,Steelers,AFC_North
6.0,6.0,6.0,10/13/24,Sun,LVR,W,32,13,,14,24,58.3,110,0,4.6,4.58,69.8,3,35,35,183,3,5.2,62,293,4.73,4,4,2,2,3,137,6,10,2,18,4,13,1,1,7,50,0,0,0,31:51:00,Steelers,AFC_North
7.0,7.0,7.0,10/20/24,Sun,NYJ,W,37,15,,16,29,55.2,260,2,9.0,10.34,108.4,1,4,36,149,2,4.1,66,409,6.2,3,3,4,4,4,184,12,8,1,21,5,14,2,2,4,36,0,0,0,32:09:00,Steelers,AFC_North
8.0,8.0,8.0,10/28/24,Mon,NYG,W,26,18,,20,28,71.4,259,1,9.3,9.96,112.1,4,19,31,167,0,5.4,63,426,6.76,4,4,2,2,3,131,12,6,2,20,6,13,0,0,5,50,1,0,1,29:18:00,Steelers,AFC_North
9.0,9.0,10.0,11/10/24,Sun,WAS,W,28,27,,14,29,48.3,172,3,5.9,6.45,87.1,3,23,43,140,1,3.3,75,312,4.16,0,0,4,4,5,212,9,9,3,21,7,16,1,2,5,49,1,1,2,36:11:00,Steelers,AFC_North
10.0,10.0,11.0,11/17/24,Sun,BAL,W,18,16,,23,36,63.9,181,0,5.0,3.78,64.7,4,24,34,122,0,3.6,74,303,4.09,6,6,0,0,4,226,9,7,2,18,4,16,0,1,7,45,0,1,1,36:22:00,Steelers,AFC_North
11.0,11.0,12.0,11/21/24,Thu,CLE,L,19,24,,21,29,72.4,248,1,8.6,9.24,109.6,4,22,34,120,1,3.5,67,368,5.49,3,2,1,1,1,15,10,5,2,17,7,16,1,3,6,39,1,0,1,35:02:00,Steelers,AFC_North
12.0,12.0,13.0,12/1/24,Sun,CIN,W,44,38,,29,38,76.3,410,3,10.8,11.18,126.0,2,4,26,110,1,4.2,66,520,7.88,4,3,5,5,1,38,18,5,5,28,4,9,0,0,9,103,0,1,1,31:09:00,Steelers,AFC_North
13.0,13.0,14.0,12/8/24,Sun,CLE,W,27,14,,15,26,57.7,147,2,5.7,7.19,99.4,1,11,35,120,1,3.4,62,267,4.31,2,2,3,3,6,314,6,8,1,15,6,14,0,0,6,61,1,0,1,30:00:00,Steelers,AFC_North
14.0,14.0,15.0,12/15/24,Sun,PHI,L,13,27,,14,22,63.6,107,1,4.9,5.77,90.5,2,21,17,56,0,3.3,41,163,3.98,2,2,1,1,5,215,5,4,1,10,3,10,0,0,5,60,1,0,1,20:08,Steelers,AFC_North
15.0,15.0,16.0,12/21/24,Sat,BAL,L,17,34,,22,33,66.7,198,2,6.0,5.85,90.2,3,19,24,117,0,4.9,60,315,5.25,1,1,2,2,5,247,14,5,0,19,4,10,0,1,5,29,1,1,2,27:35:00,Steelers,AFC_North
16.0,16.0,17.0,12/25/24,Wed,KAN,L,10,29,,23,37,62.2,162,0,4.4,3.16,60.9,5,43,31,202,1,6.5,73,364,4.99,1,1,1,1,4,178,9,13,1,23,8,16,0,1,4,25,1,1,2,31:22:00,Steelers,AFC_North
17.0,17.0,18.0,1/4/25,Sat,CIN,L,17,19,,17,31,54.8,119,1,3.8,4.48,74.5,4,29,23,74,1,3.2,58,193,3.33,1,1,2,2,5,213,8,6,2,16,4,12,0,2,3,20,1,0,1,22:00,Steelers,AFC_North
,,,,,,7-Oct,380,347,,321,499,64.3,3264,21,6.5,6.84,92.0,49,343,533,2166,14,4.1,1081,5430,5.02,44,41,35,35,68,3161,158,122,38,318,90,228,7,18,102,823,11,6,17,523:31:00,Steelers,AFC_North
