Rk,Player,Age,Pos,G,GS,Tgt,Rec,Yds,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,Awards
1.0,Pat Freiermuth,26.0,TE,17,11,78,65,653,32,374,5.8,279,4.3,6.1,4,16.3,4,5.1,1,126.1,
2.0,George Pickens,23.0,WR,14,12,103,59,900,37,685,11.6,215,3.6,13.3,4,14.8,6,5.8,2,87.8,
3.0,Jaylen Warren,26.0,RB,15,0,47,38,310,16,-5,-0.1,315,8.3,-0.1,5,7.6,1,2.1,0,94.1,
4.0,Calvin Austin III,25.0,WR,17,8,58,36,548,18,396,11.0,152,4.2,12.4,1,36.0,3,5.2,0,116.2,
5.0,Najee Harris,26.0,RB,17,17,48,36,283,13,-46,-1.3,329,9.1,-1.5,7,5.1,4,8.3,0,89.1,
6.0,Van Jefferson,28.0,WR,17,12,40,24,276,12,198,8.3,78,3.3,11.6,0,,0,0.0,0,97.5,
7.0,Darnell Washington,23.0,TE,17,9,25,19,200,9,74,3.9,126,6.6,4.3,2,9.5,0,0.0,1,95.4,
8.0,Cordarrelle Patterson,33.0,RB,13,1,14,12,80,5,24,2.0,56,4.7,3.0,1,12.0,0,0.0,1,84.5,
9.0,Mike Williams,30.0,WR,9,2,13,9,132,5,121,13.4,11,1.2,16.5,0,,0,0.0,0,127.7,
10.0,Connor Heyward,25.0,TE,17,5,8,6,40,3,33,5.5,7,1.2,8.4,0,,2,25.0,0,125.0,
11.0,MyCole Pruitt,32.0,TE,12,5,10,6,40,2,24,4.0,16,2.7,2.7,0,,0,0.0,1,62.5,
12.0,Scott Miller,27.0,WR,13,1,9,5,69,2,36,7.2,33,6.6,11.8,1,5.0,1,11.1,0,80.3,
13.0,Ben Skowronek,27.0,WR,10,1,5,5,69,4,40,8.0,29,5.8,8.0,0,,0,0.0,0,118.7,
14.0,Brandon Johnson,26.0,WR,3,0,1,1,9,0,5,5.0,4,4.0,5.0,0,,0,0.0,0,104.2,
15.0,Zach Frazier,23.0,C,15,15,0,0,-2,0,0,,-2,,,0,,0,,0,,
16.0,James Pierre,28.0,CB,15,2,1,0,0,0,0,,0,,14.0,0,,1,100.0,0,39.6,
,Team Totals,,,17,17,460,321,3607,158,1959,6.1,1648,5.1,7.8,25,12.8,22,4.8,6,102.7,
