Rk,Player,Age,Pos,G,GS,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Bats,Sk,Prss,Comb,MTkl,MTkl%,Awards
1.0,Zaire Franklin,28.0,LLB,17,17,2,82,66,80.5,635,9.6,7.7,2,96.9,5.1,302,333,43,3,1,0,3.5,8,173,24,12.2,"PB,AP-2,AP DPoY-17"
2.0,Nick Cross,23.0,SS,17,17,3,59,42,71.2,506,12.0,8.6,6,109.9,9.2,295,211,15,1,0,0,1.0,2,146,12,7.6,
3.0,E.J. Speed,29.0,MLB,15,15,1,62,49,79.0,454,9.3,7.3,1,95.8,2.1,134,320,46,3,1,1,0.0,4,142,17,10.7,
4.0,Jaylon Jones,22.0,LCB,17,17,2,101,67,66.3,814,12.1,8.1,1,86.0,9.5,538,276,0,0,0,0,0.0,0,100,17,14.5,
5.0,Julian Blackmon,26.0,FS,16,16,3,36,25,69.4,434,17.4,12.1,3,103.2,15.1,308,126,9,0,0,0,0.5,1,86,14,14.0,
6.0,Kenny Moore,29.0,RCB,15,15,3,74,47,63.5,408,8.7,5.5,5,83.6,7.6,200,208,18,1,1,0,0.5,3,78,15,16.1,
7.0,Grover Stewart,31.0,NT,17,17,0,3,3,100.0,34,11.3,11.3,0,113.9,-5.3,-16,50,0,4,2,3,3.5,10,74,8,9.8,
8.0,DeForest Buckner,30.0,DT,12,11,0,0,0,,0,,,0,,,0,0,0,5,7,1,6.5,19,61,7,10.3,
9.0,Kwity Paye,26.0,LDE,15,15,0,2,2,100.0,34,17.0,17.0,0,118.7,6.5,13,21,0,9,4,1,8.0,22,41,3,6.8,
10.0,Grant Stuard,26.0,LB,17,5,0,14,11,78.6,60,5.5,4.3,0,84.5,0.1,-7,67,5,0,0,0,0.0,0,40,2,4.8,
11.0,Jaylon Carlies,23.0,LB,10,6,0,13,12,92.3,100,8.3,7.7,1,124.4,1.5,23,77,7,0,0,0,1.0,1,36,2,5.3,
12.0,Samuel Womack,25.0,CB,17,8,2,55,33,60.0,502,15.2,9.1,6,111.3,10.8,358,144,1,0,0,0,0.0,0,36,5,12.2,
13.0,Laiatu Latu,24.0,DE,17,1,0,4,4,100.0,26,6.5,6.5,0,93.7,0.8,3,23,0,11,8,1,4.0,23,32,5,13.5,AP DRoY-12
14.0,Dayo Odeyingbo,25.0,RDE,17,14,0,4,4,100.0,24,6.0,6.0,0,91.7,-1.3,-5,29,0,2,13,0,3.0,19,31,7,18.4,
15.0,Tyquan Lewis,29.0,DE,10,4,0,0,0,,0,,,0,,,0,0,0,4,2,0,1.5,8,24,5,17.2,
16.0,Taven Bryan,28.0,DT,17,6,0,0,0,,0,,,0,,,0,0,0,2,1,0,1.0,4,20,1,4.8,
17.0,Raekwon Davis,27.0,DT,17,0,0,1,1,100.0,-2,-2.0,-2.0,0,79.2,-3.0,-3,1,0,1,0,0,0.0,1,15,0,0.0,
18.0,Chris Lammons,28.0,CB,14,1,0,11,10,90.9,130,13.0,11.8,2,155.5,4.2,47,83,2,1,0,0,1.0,2,12,3,20.0,
19.0,Segun Olubi,25.0,LB,17,0,0,1,1,100.0,25,25.0,25.0,0,118.7,13.0,13,12,0,0,0,0,0.0,0,12,0,0.0,
20.0,Dallis Flowers,27.0,CB,4,0,0,7,7,100.0,125,17.9,17.9,1,158.3,7.7,54,71,0,0,0,0,0.0,0,9,3,25.0,
21.0,Adam Gotsis,32.0,DT,5,0,0,1,1,100.0,0,0.0,0.0,0,79.2,-6.0,-6,6,0,0,2,0,0.0,2,8,2,20.0,
22.0,Adetomiwa Adebawore,23.0,DT,16,0,0,0,0,,0,,,0,,,0,0,0,0,1,0,1.0,2,7,1,12.5,
23.0,Julius Brents,24.0,CB,2,1,0,6,4,66.7,79,19.8,13.2,0,109.7,15.3,67,12,0,0,0,0,0.0,0,7,1,12.5,
24.0,Rodney Thomas II,26.0,S,17,1,0,2,2,100.0,15,7.5,7.5,0,97.9,14.5,13,2,0,0,0,0,0.0,0,7,1,12.5,
25.0,Isaiah Land,24.0,DE,10,0,0,0,0,,0,,,0,,,0,0,0,0,1,0,0.0,1,1,2,66.7,
26.0,Alec Pierce,24.0,WR,16,13,0,1,0,0.0,0,,0.0,0,39.6,0.0,0,0,0,0,0,0,0.0,0,0,0,,
27.0,Trey Sermon,25.0,RB,17,3,0,1,0,0.0,0,,0.0,0,39.6,21.0,0,0,0,0,0,0,0.0,0,0,0,,
,Team Totals,,,17,17,16,545,378,72.4,4403,11.3,8.2,27,95.8,7.5,2331,0,146,47,44,7,36.0,132,1198,157,11.6,
