Rk,Player,Age,Pos,G,GS,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Bats,Sk,Prss,Comb,MTkl,MTkl%,Awards
1.0,Devin Lloyd,26.0,RLB,16,16,1,53,37,69.8,328,8.9,6.2,5,109.6,4.2,134,194,27,1,3,0,2.0,6,113,8,6.6,
2.0,Foyesade Oluokun,29.0,MLB,13,13,1,55,40,72.7,414,10.4,7.5,1,92.5,5.4,184,230,19,2,0,2,1.0,3,108,9,7.7,
3.0,Ventrell Miller,25.0,LLB,15,9,0,27,19,70.4,164,8.6,6.1,0,86.0,3.8,54,110,7,1,0,0,0.0,1,80,10,11.1,
4.0,Montaric Brown,25.0,CB,17,10,1,78,53,67.9,582,11.0,7.5,4,101.5,8.7,387,195,1,0,0,0,0.0,0,75,10,11.8,
5.0,Antonio Johnson,23.0,S,17,8,0,51,37,72.5,465,12.6,9.1,2,113.6,9.6,304,161,9,1,0,0,0.0,1,73,6,7.6,
6.0,Andre Cisco,24.0,SS,16,14,1,51,30,58.8,592,19.7,11.6,3,110.9,11.5,294,298,10,0,0,0,0.0,0,68,5,6.8,
7.0,DaVon Hamilton,27.0,RDT,17,14,0,2,2,100.0,19,9.5,9.5,0,106.2,-2.5,-5,24,1,3,2,0,0.0,5,62,3,4.6,
8.0,Travon Walker,24.0,RDE,17,17,0,3,3,100.0,23,7.7,7.7,0,98.6,-3.7,-11,34,2,13,5,0,10.5,29,61,10,14.1,
9.0,Tyson Campbell,24.0,RCB,12,12,0,55,34,61.8,473,13.9,8.6,2,101.6,11.0,315,158,1,0,0,0,0.0,0,59,4,6.3,
10.0,Darnell Savage Jr.,27.0,FS,13,13,1,41,24,58.5,374,15.6,9.1,5,118.3,10.9,226,148,3,0,0,0,0.0,0,51,5,8.9,
11.0,Ronald Darby,30.0,LCB,13,12,0,61,42,68.9,567,13.5,9.3,4,120.0,10.8,345,222,3,0,0,0,0.0,0,46,1,2.1,
12.0,Josh Hines-Allen,27.0,LDE,16,16,0,10,8,80.0,57,7.1,5.7,1,123.7,-3.2,-24,81,5,9,11,2,8.0,29,45,4,8.2,
13.0,Jarrian Jones,23.0,CB,17,4,1,55,37,67.3,404,10.9,7.3,0,81.2,6.1,153,251,8,1,0,0,2.0,3,40,9,18.4,
14.0,Jeremiah Ledbetter,30.0,DT,15,3,0,1,1,100.0,3,3.0,3.0,0,79.2,-1.0,-1,4,0,0,2,0,2.0,4,38,0,0.0,
15.0,Chad Muma,25.0,LB,17,3,0,10,10,100.0,82,8.2,8.2,1,134.2,2.7,27,55,5,0,0,0,0.0,0,32,2,5.9,
16.0,Arik Armstead,31.0,DE,17,1,0,1,0,0.0,4,,4.0,0,43.7,-3.0,-3,7,0,4,5,3,2.0,11,29,1,3.3,
17.0,Tyler Lacy,25.0,LDT,13,8,0,1,0,0.0,9,,9.0,0,64.6,-4.0,-4,13,0,2,1,0,0.0,3,25,2,7.4,
18.0,Yasir Abdullah,24.0,LB,14,3,0,2,1,50.0,16,16.0,8.0,0,77.1,-1.0,-2,18,4,0,1,0,0.0,1,18,0,0.0,
19.0,Maason Smith,22.0,DT,11,5,0,1,1,100.0,5,5.0,5.0,0,87.5,0.0,0,5,0,2,1,3,3.0,6,17,0,0.0,
20.0,Andrew Wingard,28.0,S,8,2,0,8,4,50.0,34,8.5,4.3,0,61.5,10.4,25,9,2,1,0,0,0.0,1,15,1,6.3,
21.0,Jordan Jefferson,23.0,DT,8,0,0,0,0,,0,,,0,,,0,0,0,0,0,1,1.0,1,12,0,0.0,
22.0,Caleb Johnson,26.0,LB,17,0,0,0,0,,0,,,0,,,0,0,1,0,0,0,0.0,0,9,0,0.0,
23.0,Myles Cole,24.0,DE,8,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0.0,0,8,3,27.3,
24.0,Deantre Prince,24.0,CB,10,0,0,13,5,38.5,80,16.0,6.2,1,85.4,10.6,45,35,0,0,0,0,0.0,0,8,4,33.3,
25.0,Roy Robertson-Harris,31.0,DT,6,2,0,1,0,0.0,0,,0.0,0,39.6,-7.0,0,0,0,1,2,0,2.0,5,7,3,30.0,
26.0,Christian Braswell,25.0,CB,3,0,0,2,2,100.0,13,6.5,6.5,0,93.7,-3.0,-6,19,0,0,0,0,0.0,0,5,2,28.6,
27.0,Esezi Otomewo,26.0,DT,4,2,0,0,0,,0,,,0,,,0,0,0,1,1,0,0.5,3,4,0,0.0,
28.0,DJ Coleman,26.0,DE,1,0,0,1,1,100.0,7,7.0,7.0,0,95.8,-1.0,-1,8,0,0,0,0,0.0,0,3,0,0.0,
29.0,Tre Flowers,29.0,CB,4,0,0,3,3,100.0,25,8.3,8.3,0,101.4,4.7,14,11,1,0,0,0,0.0,0,3,1,25.0,
30.0,Joe Gaziano,28.0,DE,3,0,0,0,0,,0,,,0,,,0,0,0,1,0,0,0.0,1,3,1,25.0,
31.0,Tanner Muse,28.0,LB,3,0,0,1,1,100.0,0,0.0,0.0,0,79.2,0.0,0,0,0,0,0,0,0.0,0,1,0,0.0,
32.0,Tank Bigsby,23.0,RB,16,1,0,0,0,,0,,,0,,,0,0,1,0,0,0,0.0,0,0,0,,
33.0,Terrell Edmunds,27.0,S,1,0,0,1,0,0.0,0,,0.0,0,39.6,4.0,0,0,0,0,0,0,0.0,0,0,0,,
,Team Totals,,,17,17,6,580,389,67.2,4740,12.0,8.1,29,103.4,7.8,2450,18,110,43,34,11,34.0,113,1118,104,8.5,
