Rk,Player,Age,Pos,G,GS,Tgt,Rec,Yds,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,Awards
1.0,Brian Thomas,22.0,WR,17,16,133,87,1282,53,720,8.3,562,6.5,11.4,0,,7,5.3,5,106.2,"PB,AP ORoY-4"
2.0,Evan Engram,30.0,TE,9,9,64,47,365,17,215,4.6,150,3.2,5.4,0,,4,6.3,0,92.3,
3.0,Brenton Strange,24.0,TE,17,10,53,40,411,21,228,5.7,183,4.6,6.4,3,13.3,3,5.7,0,109.9,
4.0,Travis Etienne,25.0,RB,15,15,52,39,254,13,-42,-1.1,296,7.6,0.2,4,9.8,2,3.8,1,76.9,
5.0,Parker Washington,22.0,WR,17,7,51,32,390,19,282,8.8,108,3.4,11.2,2,16.0,1,2.0,1,97.7,
6.0,Christian Kirk,28.0,WR,8,7,47,27,379,18,266,9.9,113,4.2,13.7,1,27.0,1,2.1,2,72.9,
7.0,Gabriel Davis,25.0,WR,10,9,42,20,239,13,200,10.0,39,2.0,13.2,0,,0,0.0,2,61.5,
8.0,Luke Farrell,27.0,TE,17,8,17,12,67,4,37,3.1,30,2.5,4.8,1,12.0,1,5.9,1,52.8,
9.0,D'Ernest Johnson,28.0,RB,14,1,19,12,96,3,-5,-0.4,101,8.4,0.4,0,,0,0.0,1,53.8,
10.0,Devin Duvernay,27.0,WR,13,1,16,11,79,7,16,1.5,63,5.7,11.4,0,,1,6.3,1,53.9,
11.0,Tank Bigsby,23.0,RB,16,1,12,7,54,1,-10,-1.4,64,9.1,-1.1,1,7.0,2,16.7,1,34.7,
12.0,Josiah Deguara,27.0,TE,15,0,3,3,14,0,2,0.7,12,4.0,0.7,0,,0,0.0,0,86.1,
13.0,Tim Jones,26.0,WR,17,0,5,3,41,3,24,8.0,17,5.7,8.0,0,,0,0.0,0,86.2,
14.0,Austin Trammell,26.0,WR,1,0,3,2,40,2,31,15.5,9,4.5,14.7,0,,0,0.0,0,109.7,
15.0,Josh Reynolds,29.0,WR,4,1,5,1,11,0,11,11.0,0,0.0,9.6,0,,0,0.0,0,39.6,
16.0,Trevor Lawrence,25.0,QB,10,10,0,0,-5,0,0,,-5,,,0,,0,,0,,
,Team Totals,,,17,17,522,343,3717,174,1975,5.8,1742,5.1,8.4,12,28.6,22,4.2,15,86.7,
