Rk,Player,Age,Pos,G,GS,Tgt,Rec,Yds,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,Awards
1.0,Nico Collins,25.0,WR,12,12,99,68,1006,48,641,9.4,365,5.4,10.7,2,34.0,3,3.0,5,104.2,PB
2.0,Dalton Schultz,28.0,TE,17,13,85,53,532,26,318,6.0,214,4.0,8.1,0,,4,4.7,1,83.1,
3.0,Tank Dell,25.0,WR,14,10,81,51,667,35,503,9.9,164,3.2,12.5,3,17.0,6,7.4,3,85.8,
4.0,Stefon Diggs,31.0,WR,8,8,64,47,496,31,311,6.6,185,3.9,8.7,3,15.7,3,4.7,1,104.7,
5.0,Joe Mixon,28.0,RB,14,14,52,36,309,12,-51,-1.4,360,10.0,-0.5,6,6.0,4,7.7,0,90.9,PB
6.0,John Metchie,24.0,WR,13,3,37,24,254,11,185,7.7,69,2.9,9.0,0,,0,0.0,1,82.5,
7.0,Robert Woods,32.0,WR,15,4,30,20,203,12,130,6.5,73,3.7,9.6,0,,1,3.3,0,85.8,
8.0,Dare Ogunbowale,30.0,RB,17,1,28,19,198,8,30,1.6,168,8.8,1.7,0,,2,7.1,0,100.0,
9.0,Cade Stover,24.0,TE,15,9,22,15,133,5,39,2.6,94,6.3,5.4,2,7.5,1,4.5,0,99.2,
10.0,Xavier Hutchinson,24.0,WR,16,3,26,12,117,6,80,6.7,37,3.1,9.7,0,,2,7.7,1,43.3,
11.0,Cam Akers,25.0,RB,5,2,7,4,16,1,5,1.3,11,2.8,-0.6,0,,0,0.0,0,101.8,AP CPoY-19
12.0,Diontae Johnson,28.0,WR,1,0,4,2,12,1,8,4.0,4,2.0,9.5,0,,0,0.0,0,56.2,
13.0,Brevin Jordan,24.0,TE,2,1,3,2,7,1,4,2.0,3,1.5,0.3,0,,0,0.0,0,70.1,
14.0,Dameon Pierce,24.0,RB,11,0,4,2,2,0,-3,-1.5,5,2.5,-1.3,1,2.0,0,0.0,0,56.2,
15.0,J.J. Taylor,26.0,RB,5,0,3,2,0,0,-1,-0.5,1,0.5,-2.0,0,,1,33.3,0,70.1,
16.0,Andrew Beck,28.0,FB,1,0,1,0,0,0,0,,0,,27.0,0,,0,0.0,0,39.6,
17.0,C.J. Stroud,23.0,QB,17,17,1,0,0,0,0,,0,,10.0,0,,0,0.0,0,39.6,
,Team Totals,,,17,17,547,357,3952,197,2199,6.2,1753,4.9,8.0,17,21.0,27,4.9,12,89.6,
