Rk,Player,Age,Pos,G,GS,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,Awards
1.0,Joe Mixon,28.0,RB,14,14,245,1016,52,549,2.2,467,1.9,19,12.9,PB
2.0,C.J. Stroud,23.0,QB,17,17,52,233,14,190,3.7,43,0.8,3,17.3,
3.0,Cam Akers,25.0,RB,5,2,40,147,5,84,2.1,63,1.6,2,20.0,AP CPoY-19
4.0,Dameon Pierce,24.0,RB,11,0,40,293,7,77,1.9,216,5.4,6,6.7,
5.0,Dare Ogunbowale,30.0,RB,17,1,30,112,5,70,2.3,42,1.4,1,30.0,
6.0,J.J. Taylor,26.0,RB,5,0,10,44,1,34,3.4,10,1.0,0,,
7.0,Tank Dell,25.0,WR,14,10,9,43,3,35,3.9,8,0.9,0,,
8.0,Stefon Diggs,31.0,WR,8,8,3,8,1,6,2.0,2,0.7,0,,
9.0,Davis Mills,26.0,QB,4,0,3,11,1,9,3.0,2,0.7,0,,
10.0,British Brooks,25.0,RB,5,0,1,2,0,1,1.0,1,1.0,0,,
11.0,Steven Sims,27.0,WR,7,0,1,0,0,0,0.0,0,0.0,0,,
,Team Totals,,,17,17,434,1909,89,1055,2.4,854,2.0,31,14.0,
