Rk,Player,Age,Pos,G,GS,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Bats,Sk,Prss,Comb,MTkl,MTkl%,Awards
1.0,Kenneth Murray,26.0,LILB,14,14,1,46,37,80.4,314,8.5,6.8,4,115.0,3.4,137,177,31,1,2,0,3.5,7,95,4,4.0,
2.0,Jeffery Simmons,27.0,DT,16,16,0,1,1,100.0,6,6.0,6.0,0,91.7,-1.0,-1,7,0,6,4,3,5.0,15,76,6,7.3,PB
3.0,Jarvis Brownlee,23.0,LCB,17,14,1,74,44,59.5,483,11.0,6.5,3,86.7,8.8,281,202,3,0,0,0,0.0,0,75,10,11.8,
4.0,Amani Hooker,26.0,FS,14,14,5,39,22,56.4,269,12.2,6.9,3,63.9,12.0,138,131,9,0,2,0,0.0,2,71,6,7.8,
5.0,Harold Landry,28.0,ROLB,17,17,0,9,7,77.8,44,6.3,4.9,0,87.0,-0.3,-1,45,14,3,6,1,9.0,18,71,7,9.0,
6.0,Daryl Worley,29.0,CB,9,7,1,22,18,81.8,251,13.9,11.4,2,125.6,8.6,149,102,7,0,0,0,0.0,0,52,7,11.9,
7.0,T'Vondre Sweat,23.0,NT,17,16,0,1,0,0.0,0,,0.0,0,39.6,5.0,0,0,0,4,2,0,1.0,7,51,7,12.1,AP DRoY-12
8.0,Roger McCreary,24.0,CB,15,7,0,67,52,77.6,454,8.7,6.8,2,104.9,3.1,104,350,20,1,1,0,1.0,3,50,7,12.3,
9.0,Mike Brown,25.0,S,17,4,0,15,11,73.3,90,8.2,6.0,1,110.4,10.5,65,25,3,0,0,0,0.0,0,49,1,2.0,
10.0,Luke Gifford,29.0,LB,16,4,1,16,11,68.8,112,10.2,7.0,1,83.3,2.3,30,82,4,0,0,0,0.0,0,49,2,3.9,
11.0,Jack Gibbens,26.0,LB,10,5,0,16,14,87.5,147,10.5,9.2,1,125.8,5.1,62,85,7,1,0,0,0.5,2,44,1,2.2,
12.0,Ernest Jones,25.0,RILB,6,5,0,10,8,80.0,82,10.3,8.2,0,100.8,3.7,24,58,13,0,1,1,0.0,1,44,3,6.4,
13.0,Sebastian Joseph-Day,29.0,RDE,17,12,0,0,0,,0,,,0,,,0,0,0,2,2,1,2.5,7,44,6,12.0,
14.0,Quandre Diggs,31.0,SS,8,8,0,19,14,73.7,176,12.6,9.3,2,137.2,11.9,82,94,2,0,0,0,0.0,0,42,2,4.5,
15.0,Arden Key,28.0,LOLB,16,15,0,5,2,40.0,13,6.5,2.6,0,47.9,-0.8,-1,14,11,4,7,1,6.5,18,42,6,12.5,
16.0,Darrell Baker,26.0,RCB,17,9,0,47,25,53.2,315,12.6,6.7,4,102.7,10.2,182,133,1,0,0,0,0.0,0,40,4,9.1,
17.0,Chidobe Awuzie,29.0,CB,8,7,1,26,15,57.7,187,12.5,7.2,2,89.7,10.1,156,31,0,0,0,0,0.0,0,26,0,0.0,
18.0,James Williams,21.0,LB,13,1,0,7,5,71.4,37,7.4,5.3,1,123.2,2.6,15,22,3,0,0,0,0.0,0,26,2,7.1,
19.0,Jerome Baker,28.0,LB,5,3,0,13,7,53.8,67,9.6,5.2,1,94.1,7.4,41,26,11,2,1,0,1.0,4,24,4,14.3,
20.0,L'Jarius Sneed,27.0,CB,5,5,0,24,13,54.2,177,13.6,7.4,1,91.8,13.1,126,51,1,0,0,0,0.0,0,23,4,14.8,
21.0,Cedric Gray,22.0,LB,7,0,0,1,0,0.0,0,,0.0,0,39.6,4.0,0,0,0,0,0,0,0.0,0,22,1,4.3,
22.0,James Lynch,25.0,DL,17,0,0,0,0,,0,,,0,,,0,0,0,1,1,1,1.0,3,20,0,0.0,
23.0,Otis Reese,26.0,LB,13,2,1,4,2,50.0,30,15.0,7.5,0,35.4,2.3,9,21,2,0,2,0,0.0,2,17,0,0.0,
24.0,Jaylen Harrell,22.0,OLB,17,0,0,2,2,100.0,12,6.0,6.0,0,91.7,2.0,4,8,0,1,0,0,0.0,1,13,3,18.8,
25.0,Ali Gaye,26.0,OLB,15,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,1.0,1,8,1,11.1,
26.0,Jamal Adams,29.0,SS,3,1,0,2,2,100.0,26,13.0,13.0,0,118.7,-2.0,-4,30,0,0,0,0,0.0,0,4,1,20.0,
27.0,Khalid Duke,23.0,OLB,2,0,0,0,0,,0,,,0,,,0,0,0,0,1,0,0.0,1,1,0,0.0,
28.0,Caleb Murphy,25.0,OLB,2,0,0,0,0,,0,,,0,,,0,0,0,1,0,0,0.0,1,1,0,0.0,
29.0,Gabe Jeudy-Lally,23.0,CB,4,0,0,0,0,,0,,,0,,,0,0,1,0,0,0,0.0,0,0,0,,
30.0,JC Latham,21.0,LT,17,17,0,1,1,100.0,17,17.0,17.0,0,118.7,-5.0,-5,22,0,0,0,0,0.0,0,0,0,,
,Team Totals,,,17,17,11,473,314,67.0,3309,10.6,7.1,27,95.1,7.2,1593,30,143,27,32,8,32.0,93,1080,95,8.1,
