Rk,Player,Age,Pos,G,GS,Tgt,Rec,Yds,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,Awards
1.0,Calvin Ridley,30.0,WR,17,14,120,64,1017,40,786,12.3,231,3.6,15.3,4,16.0,6,5.0,4,79.1,
2.0,Chigoziem Okonkwo,25.0,TE,17,11,70,52,479,19,230,4.4,249,4.8,5.9,5,10.4,3,4.3,4,78.2,
3.0,Tony Pollard,27.0,RB,16,16,57,41,238,9,17,0.4,221,5.4,0.1,2,20.5,8,14.0,1,72.1,
4.0,Tyler Boyd,30.0,WR,16,8,57,39,390,20,201,5.2,189,4.8,7.4,2,19.5,3,5.3,3,65.7,
5.0,Nick Westbrook-Ikhine,27.0,WR,17,9,60,32,497,25,373,11.7,124,3.9,11.5,2,16.0,4,6.7,3,99.8,
6.0,Tyjae Spears,23.0,RB,12,1,35,30,224,9,-31,-1.0,255,8.5,-1.2,4,7.5,1,2.9,0,102.9,
7.0,Josh Whyle,25.0,TE,17,4,37,28,248,14,105,3.8,143,5.1,5.6,1,28.0,1,2.7,0,102.1,
8.0,Nick Vannett,31.0,TE,17,10,20,17,135,7,25,1.5,110,6.5,1.1,0,,0,0.0,1,113.5,
9.0,DeAndre Hopkins,32.0,WR,6,3,21,15,173,10,172,11.5,1,0.1,10.2,2,7.5,1,4.8,2,72.2,
10.0,Bryce Oliver,24.0,WR,10,1,9,6,95,4,69,11.5,26,4.3,10.6,0,,0,0.0,0,101.6,
11.0,Treylon Burks,24.0,WR,5,2,8,4,34,3,29,7.3,5,1.3,16.9,1,4.0,2,25.0,1,21.9,
12.0,Julius Chestnut,24.0,RB,17,0,3,2,11,0,-3,-1.5,14,7.0,0.3,0,,0,0.0,1,33.3,
13.0,Mason Kinsey,26.0,WR,6,0,2,2,17,1,17,8.5,0,0.0,8.5,0,,0,0.0,0,102.1,
14.0,Jha'Quan Jackson,24.0,WR,12,0,3,1,8,1,6,6.0,2,2.0,26.0,0,,0,0.0,0,42.4,
15.0,JC Latham,21.0,LT,17,17,1,1,0,0,-4,-4.0,4,4.0,-4.0,0,,0,0.0,0,79.2,
16.0,Tay Martin,27.0,WR,1,0,2,1,49,1,44,44.0,5,5.0,31.5,0,,0,0.0,0,135.4,
17.0,David Martin-Robinson,25.0,TE,5,2,2,1,6,1,0,0.0,6,6.0,0.0,0,,0,0.0,0,56.2,
,Team Totals,,,17,17,507,336,3621,164,2036,6.1,1585,4.7,8.2,23,14.6,29,5.7,20,85.1,
