Rk,Player,Age,Pos,G,GS,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,Awards
1.0,Tony Pollard,27.0,RB,16,16,260,1079,53,521,2.0,558,2.1,22,11.8,
2.0,Tyjae Spears,23.0,RB,12,1,84,312,19,128,1.5,184,2.2,13,6.5,
3.0,Will Levis,25.0,QB,12,12,45,183,20,129,2.9,54,1.2,4,11.3,
4.0,Mason Rudolph,29.0,QB,8,5,25,106,13,83,3.3,23,0.9,1,25.0,
5.0,Julius Chestnut,24.0,RB,17,0,22,102,2,55,2.5,47,2.1,2,11.0,
6.0,Calvin Ridley,30.0,WR,17,14,8,55,3,42,5.3,13,1.6,1,8.0,
7.0,Treylon Burks,24.0,WR,5,2,2,1,0,-5,-2.5,6,3.0,1,2.0,
8.0,Tyler Boyd,30.0,WR,16,8,1,3,1,2,2.0,1,1.0,0,,
9.0,Jha'Quan Jackson,24.0,WR,12,0,1,-5,0,-5,-5.0,0,0.0,0,,
10.0,Joshua Kelley,27.0,RB,3,0,1,2,0,2,2.0,0,0.0,0,,
11.0,Chigoziem Okonkwo,25.0,TE,17,11,1,17,1,14,14.0,3,3.0,0,,
,Team Totals,,,17,17,450,1855,112,966,2.1,889,2.0,44,10.2,
