Rk,Player,Age,Pos,G,GS,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,Awards
1.0,J.K. Dobbins,26.0,RB,13,11,195,905,47,416,2.1,489,2.5,24,8.1,AP CPoY-2
2.0,Gus Edwards,29.0,RB,11,6,101,365,17,125,1.2,240,2.4,9,11.2,
3.0,Justin Herbert,26.0,QB,17,17,69,306,23,224,3.2,82,1.2,2,34.5,"AP MVP-9,AP CPoY-12"
4.0,Kimani Vidal,23.0,RB,10,0,43,155,7,83,1.9,72,1.7,3,14.3,
5.0,Hassan Haskins,25.0,RB,17,0,34,89,13,39,1.1,50,1.5,0,,
6.0,Derius Davis,24.0,WR,15,2,12,39,2,22,1.8,17,1.4,0,,
7.0,Quentin Johnston,23.0,WR,15,11,3,6,0,1,0.3,5,1.7,1,3.0,
8.0,Jalen Reagor,25.0,WR,8,2,3,-3,0,-4,-1.3,1,0.3,0,,
9.0,Taylor Heinicke,31.0,QB,4,0,2,20,1,20,10.0,0,0.0,0,,
10.0,JK Scott,29.0,P,17,0,1,0,0,0,0.0,0,0.0,0,,
,Team Totals,,,17,17,463,1882,110,926,2.0,956,2.1,39,11.9,
