Rk,Player,Age,Pos,G,GS,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Bats,Sk,Prss,Comb,MTkl,MTkl%,Awards
1.0,Nick Bolton,24.0,LLB,16,16,1,49,39,79.6,374,9.6,7.6,2,103.6,3.9,121,253,96,0,3,3,3.0,7,106,13,10.9,
2.0,Drue Tranquill,29.0,MLB,16,16,0,47,33,70.2,260,7.9,5.5,0,83.6,3.4,85,175,82,2,6,0,2.0,11,94,14,13.0,
3.0,Justin Reid,27.0,SS,16,16,2,62,48,77.4,502,10.5,8.1,4,108.4,6.8,278,224,39,1,2,0,0.0,3,87,7,7.4,
4.0,Bryan Cook,25.0,FS,17,17,2,47,29,61.7,397,13.7,8.4,3,92.2,11.3,247,150,4,0,0,0,0.0,0,78,5,6.0,
5.0,Chamarri Conner,24.0,DB,15,9,2,65,53,81.5,508,9.6,7.8,3,101.8,4.4,169,339,31,0,3,0,1.0,4,77,14,15.4,
6.0,Leo Chenal,24.0,RLB,17,14,0,18,14,77.8,114,8.1,6.3,1,111.6,3.9,16,98,29,4,1,2,1.0,6,60,3,4.8,
7.0,Trent McDuffie,24.0,LCB,16,16,2,90,54,60.0,545,10.1,6.1,4,82.9,9.6,371,174,18,1,3,1,0.5,5,59,4,6.3,"AP-2,AP DPoY-22"
8.0,Nazeeh Johnson,26.0,S,16,6,0,42,23,54.8,365,15.9,8.7,3,107.7,15.4,286,79,5,0,0,0,1.0,1,56,4,6.7,
9.0,Michael Danna,27.0,RDE,13,12,0,2,1,50.0,-1,-1.0,-0.5,0,56.2,-0.5,-8,7,1,3,4,1,3.5,11,41,0,0.0,
10.0,Chris Jones,30.0,LDT,15,15,0,2,1,50.0,-6,-6.0,-3.0,0,56.2,-5.5,-5,-1,0,17,16,1,5.0,38,37,2,5.1,"PB,AP-1,AP DPoY-17"
11.0,George Karlaftis III,23.0,LDE,16,11,0,8,4,50.0,37,9.3,4.6,0,63.0,1.6,0,37,0,11,18,4,8.0,37,35,1,2.8,
12.0,Christian Roland-Wallace,23.0,CB,17,2,1,18,15,83.3,153,10.2,8.5,2,116.0,6.7,91,62,14,1,2,0,0.0,3,34,0,0.0,
13.0,Joshua Williams,25.0,CB,17,6,0,31,16,51.6,160,10.0,5.2,1,77.4,10.6,85,75,2,0,0,0,1.0,1,33,3,8.3,
14.0,Jaylen Watson,26.0,RCB,6,6,0,30,16,53.3,208,13.0,6.9,0,75.4,11.0,112,96,4,0,0,0,0.0,0,32,6,15.8,
15.0,Jaden Hicks,22.0,DB,17,1,3,20,12,60.0,144,12.0,7.2,1,59.2,11.9,96,48,7,1,0,0,0.0,1,29,1,3.3,
16.0,Tershawn Wharton,26.0,RDT,17,10,0,3,2,66.7,33,16.5,11.0,0,103.5,0.3,-4,37,0,10,6,1,6.5,23,29,5,14.7,
17.0,Felix Anudike-Uzomah,22.0,DE,17,3,0,1,1,100.0,7,7.0,7.0,0,95.8,3.0,3,4,0,3,4,0,2.5,10,27,2,6.9,
18.0,Mike Pennel,33.0,NT,17,7,0,1,1,100.0,21,21.0,21.0,0,118.7,0.0,0,21,0,1,0,0,3.0,4,25,0,0.0,
19.0,Cam Jones,25.0,LB,17,1,0,4,4,100.0,48,12.0,12.0,0,116.7,1.0,4,44,1,1,1,0,0.0,2,19,2,9.5,
20.0,Malik Herring,27.0,DE,12,0,0,2,2,100.0,17,8.5,8.5,0,102.1,5.5,11,6,0,0,3,0,0.0,3,12,1,7.7,
21.0,Derrick Nnadi,28.0,DT,17,1,0,0,0,,0,,,0,,,0,0,0,0,0,0,0.0,0,11,2,15.4,
22.0,Josh Uche,26.0,DE,6,0,0,4,3,75.0,20,6.7,5.0,0,85.4,-1.0,-9,29,7,1,0,0,0.0,1,10,0,0.0,
23.0,Charles Omenihu,27.0,DE,6,1,0,0,0,,0,,,0,,,0,0,0,2,1,0,1.0,4,6,2,25.0,
24.0,Keith Taylor,26.0,CB,11,0,0,5,5,100.0,23,4.6,4.6,2,125.4,2.4,12,11,0,0,0,0,0.0,0,5,0,0.0,
25.0,Swayze Bozeman,26.0,LB,3,0,0,1,1,100.0,3,3.0,3.0,0,79.2,2.0,2,1,0,0,0,0,0.0,0,3,0,0.0,
26.0,Deon Bush,31.0,DB,2,0,0,1,1,100.0,8,8.0,8.0,0,100.0,4.0,4,4,0,0,0,0,0.0,0,3,0,0.0,
27.0,Cameron Thomas,24.0,DE,4,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0.0,0,0,1,100.0,
,Team Totals,,,17,17,13,569,375,68.4,3940,10.4,7.1,24,90.6,7.6,1967,4,340,59,73,13,39.0,175,1008,92,8.4,
