Rk,Player,Age,Pos,G,GS,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Bats,Sk,Prss,Comb,MTkl,MTkl%,Awards
1.0,Robert Spillane,29.0,MLB,17,17,2,67,49,73.1,504,10.3,7.5,4,101.8,4.5,219,285,60,1,1,2,2.0,4,158,11,6.5,
2.0,Tre'von Moehrig,25.0,SS,17,17,2,58,38,65.5,378,9.9,6.5,4,92.5,5.3,187,191,52,3,1,3,1.0,6,104,8,7.1,
3.0,Isaiah Pola-Mao,25.0,FS,17,14,0,49,36,73.5,540,15.0,11.0,3,129.6,9.7,342,198,13,1,0,0,1.0,2,89,14,13.6,
4.0,Jack Jones,27.0,LCB,17,16,3,86,54,62.8,571,10.6,6.6,8,98.5,9.0,353,218,2,0,0,0,0.0,0,69,15,17.9,
5.0,Adam Butler,30.0,RDT,17,16,0,3,3,100.0,18,6.0,6.0,0,91.7,-3.7,-11,29,0,5,4,0,5.0,15,65,7,9.7,
6.0,Divine Deablo,26.0,LLB,14,14,0,37,29,78.4,273,9.4,7.4,2,115.4,3.7,95,178,40,3,3,0,1.0,7,63,13,17.1,
7.0,Nate Hobbs,25.0,CB,11,7,1,51,33,64.7,322,9.8,6.3,2,87.2,4.3,108,214,18,0,1,0,0.0,1,49,12,19.7,
8.0,John Jenkins,35.0,LDT,17,17,0,0,0,,0,,,0,,,0,0,0,3,2,2,1.0,7,46,6,11.5,
9.0,Decamerion Richardson,23.0,RCB,12,7,0,46,30,65.2,459,15.3,10.0,3,119.7,13.2,312,147,0,0,0,0,0.0,0,46,4,8.0,
10.0,Maxx Crosby,27.0,RDE,12,12,0,2,1,50.0,26,26.0,13.0,0,95.8,4.0,12,14,1,15,12,5,7.5,35,45,3,6.3,PB
11.0,Charles Snowden,26.0,LDE,16,9,0,11,9,81.8,33,3.7,3.0,0,79.2,3.0,13,20,12,4,5,4,1.5,11,39,2,4.9,
12.0,Jonah Laulu,24.0,DT,17,7,0,1,1,100.0,10,10.0,10.0,0,108.3,-5.0,-5,15,0,3,1,2,1.0,5,35,0,0.0,
13.0,K'Lavon Chaisson,25.0,DE,15,4,1,11,8,72.7,36,4.5,3.3,1,68.7,-0.3,-9,45,2,2,2,0,5.0,10,32,9,22.0,
14.0,Darnay Holmes,26.0,CB,16,1,0,32,24,75.0,233,9.7,7.3,1,105.3,6.6,117,116,13,1,0,0,1.0,2,30,3,9.1,
15.0,Tyree Wilson,24.0,DE,16,4,0,3,2,66.7,11,5.5,3.7,0,72.9,-3.0,-2,13,0,7,5,0,4.5,17,27,6,18.2,
16.0,Jakorian Bennett,24.0,CB,10,7,0,44,23,52.3,233,10.1,5.3,0,67.7,10.8,155,78,0,0,0,0,0.0,0,26,5,16.1,
17.0,Thomas Harper,24.0,S,15,5,1,8,3,37.5,52,17.3,6.5,0,20.8,8.3,35,17,2,0,0,0,0.5,1,26,1,3.7,
18.0,Marcus Epps,28.0,S,3,3,0,13,10,76.9,105,10.5,8.1,0,99.8,5.0,53,52,3,0,0,0,0.0,0,19,7,26.9,
19.0,Amari Burney,24.0,LB,17,0,0,7,7,100.0,71,10.1,10.1,0,108.9,2.0,14,57,10,2,0,0,1.0,3,17,2,10.5,
20.0,Luke Masterson,26.0,LB,4,2,0,8,5,62.5,65,13.0,8.1,0,88.0,9.9,41,24,6,0,0,0,0.0,0,17,1,5.6,
21.0,Christian Wilkins,29.0,DT,5,5,0,1,1,100.0,4,4.0,4.0,0,83.3,-7.0,-7,11,0,1,3,0,2.0,7,17,2,10.5,
22.0,Zachary Carter,25.0,DT,8,0,0,0,0,,0,,,0,,,0,0,0,0,0,1,1.0,1,13,0,0.0,
23.0,Tommy Eichenberg,23.0,LB,14,1,0,5,5,100.0,53,10.6,10.6,1,150.4,-1.8,-9,62,3,1,0,0,0.0,1,13,1,7.1,
24.0,Matthew Butler,25.0,DT,7,1,0,1,0,0.0,11,,11.0,0,72.9,6.0,6,5,0,0,0,0,0.0,0,9,0,0.0,
25.0,Nesta Jade Silvera,24.0,DT,7,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0.0,0,8,1,11.1,
26.0,Christopher Smith,24.0,S,15,0,0,1,1,100.0,7,7.0,7.0,0,95.8,-2.0,-2,9,0,0,0,0,0.0,0,6,0,0.0,
27.0,Amari Gainer,24.0,LB,17,0,0,0,0,,0,,,0,,,0,0,1,0,0,0,0.0,0,5,0,0.0,
28.0,Janarius Robinson,25.0,DE,10,1,0,0,0,,0,,,0,,,0,0,0,1,1,1,0.5,3,5,1,16.7,
29.0,Kyu Blu Kelly,23.0,CB,4,0,0,1,0,0.0,0,,0.0,0,39.6,3.0,0,0,0,0,0,0,0.0,0,2,0,0.0,
30.0,Andre Carter II,24.0,DE,3,0,0,1,0,0.0,0,,0.0,0,39.6,-3.0,0,0,0,1,0,0,0.5,2,1,0,0.0,
31.0,AJ Cole III,29.0,P,17,0,0,0,0,,0,,,0,,,0,0,1,0,0,0,0.0,0,0,0,,
32.0,Jackson Powers-Johnson,21.0,LG,15,14,0,0,0,,0,,,0,,,0,0,1,0,0,0,0.0,0,0,0,,
,Team Totals,,,17,17,10,561,370,68.0,4015,10.8,7.3,29,96.5,6.8,2017,78,240,54,41,20,37.0,140,1081,134,11.0,
