Rk,Player,Age,Pos,G,GS,Tgt,Rec,Yds,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,Awards
1.0,Brock Bowers,22.0,TE,17,16,153,112,1194,61,598,5.3,596,5.3,6.1,6,18.7,6,3.9,5,92.9,"PB,AP-1,AP ORoY-2"
2.0,Jakobi Meyers,28.0,WR,15,15,129,87,1027,52,734,8.4,293,3.4,9.6,4,21.8,1,0.8,3,92.1,
3.0,Tre Tucker,23.0,WR,17,14,81,47,539,24,331,7.0,208,4.4,12.7,3,15.7,2,2.5,1,85.4,
4.0,Ameer Abdullah,31.0,RB,16,3,47,40,261,16,9,0.2,252,6.3,0.7,2,20.0,0,0.0,0,111.1,
5.0,Alexander Mattison,26.0,RB,14,7,48,36,294,13,-20,-0.6,314,8.7,-0.1,6,6.0,2,4.2,2,79.7,
6.0,Michael Mayer,23.0,TE,11,8,32,21,156,8,95,4.5,61,2.9,6.2,2,10.5,2,6.3,0,77.1,
7.0,Davante Adams,32.0,WR,3,3,27,18,209,10,164,9.1,45,2.5,9.6,0,,1,3.7,1,86.8,
8.0,DJ Turner,27.0,WR,12,6,29,16,158,9,75,4.7,83,5.2,8.8,2,8.0,1,3.4,2,53.5,
9.0,Harrison Bryant,26.0,TE,13,3,12,9,86,5,15,1.7,71,7.9,3.4,2,4.5,0,0.0,1,59.7,
10.0,Sincere McCormick,24.0,RB,5,2,7,6,29,2,0,0.0,29,4.8,0.4,0,,0,0.0,0,83.9,
11.0,Zamir White,25.0,RB,8,5,8,6,30,2,-20,-3.3,50,8.3,-3.1,2,3.0,1,12.5,0,80.2,
12.0,Alex Bachman,28.0,WR,6,1,3,3,31,2,21,7.0,10,3.3,7.0,0,,0,0.0,0,109.7,
13.0,Terrace Marshall Jr.,24.0,WR,7,1,6,3,41,1,37,12.3,4,1.3,8.7,0,,0,0.0,0,72.2,
14.0,Kristian Wilkerson,27.0,WR,3,0,3,2,18,2,7,3.5,11,5.5,5.3,0,,0,0.0,0,122.2,
15.0,Chris Collier,24.0,RB,3,0,2,1,-4,0,-5,-5.0,1,1.0,-2.5,0,,0,0.0,0,56.2,
16.0,Divine Deablo,26.0,LLB,14,14,1,1,34,1,4,4.0,30,30.0,4.0,0,,0,0.0,0,118.7,
17.0,Ramel Keyton,24.0,WR,8,0,3,1,7,1,7,7.0,0,0.0,10.0,0,,0,0.0,0,42.4,
18.0,John Samuel Shenker,26.0,TE,8,0,1,1,7,0,4,4.0,3,3.0,4.0,0,,0,0.0,0,95.8,
,Team Totals,,,17,17,592,410,4117,209,2056,5.0,2061,5.0,6.9,29,14.1,16,2.7,15,88.9,
