Rk,Player,Age,Pos,G,GS,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,Awards
1.0,Alexander Mattison,26.0,RB,14,7,132,420,25,209,1.6,211,1.6,7,18.9,
2.0,Ameer Abdullah,31.0,RB,16,3,66,311,14,183,2.8,128,1.9,5,13.2,
3.0,Zamir White,25.0,RB,8,5,65,183,4,93,1.4,90,1.4,4,16.3,
4.0,Sincere McCormick,24.0,RB,5,2,39,183,10,90,2.3,93,2.4,5,7.8,
5.0,Aidan O'Connell,26.0,QB,9,7,21,30,10,19,0.9,11,0.5,0,,
6.0,Gardner Minshew II,28.0,QB,10,9,19,58,5,45,2.4,13,0.7,0,,
7.0,Desmond Ridder,25.0,QB,6,1,9,36,2,22,2.4,14,1.6,0,,
8.0,Tre Tucker,23.0,WR,17,14,9,44,3,34,3.8,10,1.1,0,,
9.0,Brock Bowers,22.0,TE,17,16,5,13,2,-1,-0.2,14,2.8,1,5.0,"PB,AP-1,AP ORoY-2"
10.0,Chris Collier,24.0,RB,3,0,5,12,0,5,1.0,7,1.4,0,,
11.0,DJ Turner,27.0,WR,12,6,5,33,1,10,2.0,23,4.6,2,2.5,
12.0,Tyreik McAllister,26.0,WR,3,0,2,11,1,9,4.5,2,1.0,0,,
13.0,Jakobi Meyers,28.0,WR,15,15,2,23,1,10,5.0,13,6.5,0,,
14.0,Dylan Laube,25.0,RB,10,0,1,0,0,0,0.0,0,0.0,0,,
,Team Totals,,,17,17,380,1357,78,728,1.9,629,1.7,24,15.8,
