Rk,Player,Age,Pos,G,GS,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Bats,Sk,Prss,Comb,MTkl,MTkl%,Awards
1.0,Eric Kendricks,32.0,MLB,15,15,2,36,26,72.2,375,14.4,10.4,2,101.0,3.9,87,288,36,1,0,1,3.0,4,138,9,6.1,
2.0,DeMarvion Overshown,24.0,RLB,13,12,1,52,45,86.5,497,11.0,9.6,2,111.3,2.7,122,375,51,6,1,0,5.0,12,90,12,11.8,
3.0,Donovan Wilson,29.0,FS,17,17,1,38,27,71.1,366,13.6,9.6,6,130.0,8.4,190,176,31,3,1,1,4.5,9,82,8,8.9,
4.0,Malik Hooker,28.0,SS,17,17,2,40,25,62.5,311,12.4,7.8,2,82.4,12.1,154,157,4,1,1,0,0.0,2,81,6,6.9,
5.0,Jourdan Lewis,29.0,LCB,16,13,1,57,39,68.4,299,7.7,5.2,2,85.3,7.3,152,147,16,0,1,0,1.0,2,71,5,6.6,
6.0,Chauncey Golston,26.0,RDE,17,13,1,1,1,100.0,3,3.0,3.0,0,39.6,-1.0,-1,4,2,9,2,4,5.5,18,56,4,6.7,
7.0,Marist Liufau,23.0,LB,17,9,0,19,15,78.9,120,8.0,6.3,0,93.0,5.7,62,58,43,2,0,1,1.5,4,50,1,2.0,
8.0,Osa Odighizuwa,26.0,LDT,17,17,0,3,2,66.7,17,8.5,5.7,0,81.2,-2.0,-9,26,0,10,17,0,4.5,33,47,2,4.1,
9.0,Micah Parsons,25.0,LLB,13,13,0,4,4,100.0,30,7.5,7.5,0,97.9,-2.8,-11,41,32,21,12,1,12.0,46,43,6,12.2,"PB,AP DPoY-17"
10.0,Trevon Diggs,26.0,RCB,11,11,2,55,33,60.0,398,12.1,7.2,3,85.3,9.3,186,212,1,0,0,1,0.0,0,42,9,17.6,
11.0,DaRon Bland,25.0,CB,7,7,0,51,31,60.8,328,10.6,6.4,4,105.7,10.6,249,79,0,0,0,0,0.0,0,41,2,4.7,
12.0,Mazi Smith,23.0,RDT,17,17,0,0,0,,0,,,0,,,0,0,0,0,1,0,1.0,3,41,2,4.7,
13.0,Amani Oruwariye,28.0,CB,7,4,1,32,24,75.0,361,15.0,11.3,2,119.4,12.8,228,133,0,0,0,0,0.0,0,29,3,9.4,
14.0,Damone Clark,24.0,LB,14,2,0,10,3,30.0,18,6.0,1.8,0,39.6,6.9,5,13,3,0,0,0,0.5,1,28,0,0.0,
15.0,Caelen Carson,22.0,CB,6,5,0,33,25,75.8,360,14.4,10.9,1,120.8,10.6,208,152,0,0,0,0,0.0,0,27,5,15.6,
16.0,Nick Vigil,31.0,LB,16,1,0,7,7,100.0,40,5.7,5.7,0,90.5,-0.6,-12,52,11,0,0,0,0.0,0,22,1,4.3,
17.0,Josh Butler,28.0,CB,5,3,0,22,15,68.2,222,14.8,10.1,1,116.1,12.0,129,93,0,0,0,0,1.0,1,21,1,4.5,
18.0,Linval Joseph,36.0,DT,17,0,0,1,1,100.0,3,3.0,3.0,0,79.2,-2.0,-2,5,0,0,1,0,2.0,3,19,0,0.0,
19.0,Israel Mukuamu,25.0,S,17,0,2,16,10,62.5,124,12.4,7.8,0,46.9,15.0,75,49,6,0,1,0,0.0,1,19,0,0.0,
20.0,Andrew Booth,24.0,CB,7,2,0,15,12,80.0,193,16.1,12.9,2,158.3,9.8,132,61,0,0,0,0,0.0,0,15,0,0.0,
21.0,Carl Lawson,29.0,DE,15,3,0,1,1,100.0,1,1.0,1.0,0,79.2,0.0,0,1,5,5,8,0,5.0,19,15,1,6.3,
22.0,Marshawn Kneeland,23.0,DE,11,1,0,1,1,100.0,7,7.0,7.0,0,95.8,-2.0,-2,9,2,5,3,0,0.0,8,14,3,17.6,
23.0,DeMarcus Lawrence,32.0,DE,4,4,0,0,0,,0,,,0,,,0,0,0,4,3,0,3.0,10,14,3,17.6,
24.0,Juanyeh Thomas,24.0,S,13,0,0,5,3,60.0,18,6.0,3.6,1,106.7,7.6,14,4,2,0,0,0,0.0,0,14,2,12.5,
25.0,Tyrus Wheat,25.0,DE,8,0,0,0,0,,0,,,0,,,0,0,0,4,1,0,0.5,6,14,1,6.7,
26.0,Carlos Watkins,31.0,DE,15,0,0,0,0,,0,,,0,,,0,0,0,2,0,0,0.0,2,12,0,0.0,
27.0,C.J. Goodwin,34.0,CB,17,0,0,0,0,,0,,,0,,,0,0,1,0,0,0,0.0,0,9,0,0.0,
28.0,K.J. Henry,25.0,DE,2,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,1.0,1,3,0,0.0,
29.0,Troy Pride Jr.,26.0,CB,2,1,0,6,3,50.0,22,7.3,3.7,0,59.0,11.8,4,18,0,0,0,0,0.0,0,3,1,25.0,
30.0,Jordan Phillips,32.0,DT,2,0,0,0,0,,0,,,0,,,0,0,0,1,1,0,0.0,2,1,0,0.0,
,Team Totals,,,17,17,13,512,349,69.9,4113,11.7,8.1,28,99.5,8.4,1960,79,246,74,54,9,51.0,187,1061,87,7.6,
