Rk,Player,Age,Pos,G,GS,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Bats,Sk,Prss,Comb,MTkl,MTkl%,Awards
1.0,Micah McFadden,24.0,RILB,14,14,0,43,36,83.7,333,9.3,7.7,2,114.4,3.8,155,178,29,2,2,0,3.0,8,107,15,12.3,
2.0,Tyler Nubin,23.0,FS,13,13,0,40,26,65.0,340,13.1,8.5,0,91.7,7.0,192,148,7,0,0,0,0.0,0,98,5,4.9,
3.0,Bobby Okereke,28.0,LILB,12,12,0,49,30,61.2,284,9.5,5.8,1,84.1,1.9,48,236,19,1,0,0,2.0,4,93,8,7.9,
4.0,Jason Pinnock,25.0,SS,16,16,0,37,26,70.3,348,13.4,9.4,4,135.9,7.7,217,131,13,1,0,0,3.0,4,85,9,9.6,
5.0,Brian Burns,26.0,LOLB,17,17,0,5,3,60.0,36,12.0,7.2,0,82.1,6.0,21,15,26,16,9,6,8.5,34,71,7,9.0,
6.0,Andru Phillips,23.0,CB,14,6,1,48,36,75.0,335,9.3,7.0,1,91.9,4.1,127,208,12,1,0,0,1.0,2,71,6,7.8,
7.0,Dane Belton,24.0,S,17,6,1,35,23,65.7,263,11.4,7.5,2,95.3,7.1,129,134,10,2,0,0,1.0,3,56,5,8.2,
8.0,Darius Muasau,23.0,LB,15,7,1,15,12,80.0,123,10.3,8.2,0,73.1,3.4,47,76,13,1,1,0,0.0,2,55,6,9.8,
9.0,Cordale Flott,23.0,LCB,14,10,1,45,30,66.7,359,12.0,8.0,1,89.0,9.9,256,103,2,0,0,0,0.0,0,53,5,8.6,
10.0,Deonte Banks,23.0,RCB,14,14,0,74,52,70.3,648,12.5,8.8,6,124.2,9.3,456,192,3,0,0,0,0.0,0,52,3,5.5,
11.0,Rakeem Nunez-Roches,31.0,LDE,15,15,0,0,0,,0,,,0,,,0,0,0,0,3,2,2.0,6,52,2,3.7,
12.0,Dexter Lawrence,27.0,LDT,12,12,0,0,0,,0,,,0,,,0,0,0,2,6,0,9.0,18,44,2,4.3,PB
13.0,Ty Summers,29.0,LB,16,2,0,8,6,75.0,52,8.7,6.5,0,91.7,-0.5,-10,62,4,0,0,0,0.0,0,29,1,3.3,
14.0,Adoree' Jackson,29.0,CB,14,5,0,41,20,48.8,287,14.4,7.0,2,88.2,12.8,195,92,0,0,0,0,0.0,0,28,4,12.5,
15.0,Azeez Ojulari,24.0,OLB,11,5,0,2,2,100.0,14,7.0,7.0,0,95.8,5.0,10,4,10,1,2,0,6.0,10,28,7,20.0,
16.0,Kayvon Thibodeaux,24.0,ROLB,12,12,0,0,0,,0,,,0,,,0,0,12,3,10,1,5.5,20,28,3,9.7,
17.0,D.J. Davidson,25.0,DL,12,2,0,1,1,100.0,0,0.0,0.0,0,79.2,0.0,0,0,0,1,0,0,2.0,3,23,2,8.0,
18.0,Elijah Chatman,24.0,DT,17,3,0,0,0,,0,,,0,,,0,0,0,1,2,0,1.0,4,21,0,0.0,
19.0,Isaiah Simmons,26.0,S,17,1,0,15,13,86.7,139,10.7,9.3,2,144.9,3.5,45,94,16,2,1,0,0.0,3,21,3,12.5,
20.0,Tomon Fox,26.0,OLB,11,0,0,2,2,100.0,16,8.0,8.0,0,100.0,-3.0,-6,22,8,0,2,0,1.0,3,14,2,12.5,
21.0,Elijah Garcia,26.0,DL,5,3,0,0,0,,0,,,0,,,0,0,0,0,1,0,0.0,1,14,0,0.0,
22.0,Nick McCloud,26.0,CB,7,5,0,12,10,83.3,179,17.9,14.9,1,146.5,13.6,146,33,3,0,0,0,0.0,0,14,1,6.7,
23.0,Jordon Riley,26.0,DL,13,5,0,0,0,,0,,,0,,,0,0,0,1,1,0,0.0,2,12,2,14.3,
24.0,Dyontae Johnson,24.0,LB,2,0,0,5,4,80.0,38,9.5,7.6,0,98.3,5.8,13,25,3,0,0,0,0.0,0,11,0,0.0,
25.0,Tre Hawkins,24.0,CB,3,1,1,9,3,33.3,30,10.0,3.3,0,4.2,13.1,27,3,0,0,0,0,0.0,0,10,2,16.7,
26.0,Greg Stroman,28.0,CB,4,1,0,12,9,75.0,115,12.8,9.6,1,132.3,10.3,66,49,3,1,0,0,0.0,1,10,2,16.7,
27.0,Boogie Basham,27.0,OLB,4,0,0,0,0,,0,,,0,,,0,0,0,0,1,1,0.0,1,9,0,0.0,
28.0,Art Green,24.0,CB,9,0,0,4,3,75.0,40,13.3,10.0,0,106.2,12.5,33,7,1,1,0,0,0.0,1,7,1,12.5,
29.0,Armon Watts,28.0,DT,5,0,0,0,0,,0,,,0,,,0,0,0,2,0,0,0.0,2,7,0,0.0,
30.0,Anthony Johnson,25.0,S,9,0,0,1,0,0.0,0,,0.0,0,39.6,5.0,0,0,1,0,0,1,0.0,0,5,0,0.0,
31.0,Divaad Wilson,24.0,CB,3,0,0,4,3,75.0,34,11.3,8.5,0,100.0,7.5,21,13,1,0,0,0,0.0,0,5,0,0.0,
32.0,Matthew Adams,29.0,LB,13,0,0,0,0,,0,,,0,,,0,0,1,0,0,0,0.0,0,4,1,20.0,
33.0,Patrick Johnson,26.0,OLB,12,0,0,0,0,,0,,,0,,,0,0,0,0,1,0,0.0,1,4,2,33.3,
34.0,Duke Shelley,28.0,CB,1,0,0,1,1,100.0,6,6.0,6.0,0,91.7,4.0,4,2,0,0,0,0,0.0,0,1,0,0.0,
,Team Totals,,,17,17,5,503,349,69.1,4019,11.5,7.9,23,103.1,7.1,2192,0,197,39,42,11,45.0,133,1142,106,8.5,
