Rk,Player,Age,Pos,G,GS,Tgt,Rec,Yds,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,Awards
1.0,Malik Nabers,21.0,WR,15,13,170,109,1204,55,742,6.8,462,4.2,9.1,8,13.6,9,5.3,2,93.8,"PB,AP ORoY-5"
2.0,Wan'Dale Robinson,23.0,WR,17,7,140,93,699,36,338,3.6,361,3.9,4.8,9,10.3,6,4.3,2,79.4,
3.0,Darius Slayton,27.0,WR,16,13,71,39,573,30,449,11.5,124,3.2,13.1,4,9.8,4,5.6,2,79.1,
4.0,Tyrone Tracy Jr.,25.0,RB,17,12,53,38,284,13,3,0.1,281,7.4,0.3,6,6.3,5,9.4,1,82.6,
5.0,Theo Johnson,23.0,TE,12,11,43,29,331,16,182,6.3,149,5.1,6.7,1,29.0,5,11.6,1,88.4,
6.0,Devin Singletary,27.0,RB,15,5,24,21,119,4,-59,-2.8,178,8.5,-2.8,1,21.0,1,4.2,2,52.6,
7.0,Daniel Bellinger,24.0,TE,17,8,17,14,125,8,72,5.1,53,3.8,5.1,0,,0,0.0,0,97.3,
8.0,Eric Gray,25.0,RB,17,0,11,10,82,3,-21,-2.1,103,10.3,-2.0,1,10.0,1,9.1,0,97.7,
9.0,Jalin Hyatt,23.0,WR,16,3,19,8,62,3,56,7.0,6,0.8,19.1,0,,2,10.5,2,11.2,
10.0,Chris Manhertz,32.0,TE,17,11,4,3,30,2,11,3.7,19,6.3,3.8,0,,0,0.0,0,135.4,
11.0,Isaiah Hodgins,26.0,WR,3,0,2,2,12,0,11,5.5,1,0.5,5.5,0,,0,0.0,0,91.7,
,Team Totals,,,17,17,554,366,3521,170,1784,4.9,1737,4.7,6.9,30,12.2,33,6.0,12,83.6,
