Rk,Player,Age,Pos,G,GS,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Bats,Sk,Prss,Comb,MTkl,MTkl%,Awards
1.0,Kevin Byard,31.0,SS,17,17,1,54,38,70.4,507,13.3,9.4,4,116.8,11.8,305,202,11,2,0,0,2.0,4,130,11,7.8,
2.0,T.J. Edwards,28.0,LLB,17,17,1,71,55,77.5,504,9.2,7.1,0,90.3,3.6,147,357,50,2,2,1,4.0,8,129,5,3.7,
3.0,Tremaine Edmunds,26.0,MLB,17,17,1,61,38,62.3,372,9.8,6.1,0,72.6,3.7,93,279,37,1,2,1,1.0,4,110,10,8.3,
4.0,Tyrique Stevenson,24.0,LCB,16,14,2,85,48,56.5,662,13.8,7.8,4,87.5,11.1,505,157,0,0,0,0,0.0,0,78,10,11.4,
5.0,Kyler Gordon,25.0,DB,15,13,0,56,41,73.2,432,10.5,7.7,2,107.1,4.8,184,248,35,2,1,0,0.5,4,75,8,9.6,
6.0,Jaylon Johnson,25.0,RCB,17,17,2,56,37,66.1,517,14.0,9.2,2,92.6,11.2,312,205,0,0,0,0,0.0,0,53,5,8.6,PB
7.0,Gervon Dexter,23.0,RDT,15,15,0,1,1,100.0,5,5.0,5.0,0,87.5,4.0,4,1,0,4,13,1,5.0,23,51,3,5.6,
8.0,Jonathan Owens,29.0,S,17,5,1,16,12,75.0,276,23.0,17.3,4,130.2,12.1,142,134,1,0,0,0,0.0,0,49,5,9.3,
9.0,DeMarcus Walker,30.0,RDE,17,17,0,1,1,100.0,6,6.0,6.0,0,91.7,-7.0,-7,13,0,6,13,0,3.5,23,47,2,4.1,
10.0,Jaquan Brisker,25.0,DB,5,5,1,12,9,75.0,120,13.3,10.0,0,71.5,9.8,81,39,3,0,0,0,1.0,1,40,3,7.0,
11.0,Elijah Hicks,25.0,FS,12,7,0,14,7,50.0,141,20.1,10.1,1,109.5,17.3,115,26,1,0,0,0,0.0,0,40,1,2.4,
12.0,Jack Sanborn,24.0,LB,17,3,0,9,8,88.9,128,16.0,14.2,0,118.7,10.9,90,38,15,1,1,1,1.5,4,35,3,7.9,
13.0,Montez Sweat,28.0,LDE,16,16,0,1,1,100.0,11,11.0,11.0,0,112.5,4.0,4,7,0,9,7,2,5.5,22,32,3,8.6,
14.0,Darrell Taylor,27.0,DL,16,0,0,2,2,100.0,21,10.5,10.5,0,110.4,2.5,5,16,4,4,6,2,3.0,13,32,4,11.1,
15.0,Byron Cowart,28.0,DT,15,7,0,1,1,100.0,23,23.0,23.0,0,118.7,0.0,0,23,0,2,1,0,2.5,6,26,4,13.3,
16.0,Chris Williams,26.0,DT,17,1,0,2,0,0.0,0,,0.0,0,39.6,-3.0,0,0,0,0,4,0,3.0,7,23,4,14.8,
17.0,Austin Booker,22.0,DL,17,0,0,1,1,100.0,13,13.0,13.0,0,118.7,-2.0,-2,15,0,1,3,0,1.5,6,21,4,16.0,
18.0,Zacch Pickens,24.0,DL,9,3,0,1,1,100.0,33,33.0,33.0,0,118.7,-1.0,-1,34,0,0,1,0,1.0,2,19,1,5.0,
19.0,Terell Smith,25.0,DB,14,2,1,18,12,66.7,165,13.8,9.2,0,72.7,13.2,119,46,0,0,0,0,0.0,0,19,2,9.5,
20.0,Jaylon Jones,27.0,DB,8,1,0,10,7,70.0,76,10.9,7.6,0,92.1,7.8,63,13,0,0,0,0,0.0,0,15,0,0.0,
21.0,Jacob Martin,29.0,DL,11,0,0,5,2,40.0,23,11.5,4.6,0,54.6,0.8,3,20,0,2,3,1,3.0,8,15,2,11.8,
22.0,Andrew Billings,29.0,LDT,8,8,0,0,0,,0,,,0,,,0,0,0,4,2,0,1.0,7,13,1,7.1,
23.0,Josh Blackwell,25.0,DB,17,1,1,7,5,71.4,60,12.0,8.6,0,57.7,6.0,19,41,6,1,0,0,0.0,1,13,1,7.1,
24.0,Amen Ogbongbemiga,26.0,LB,17,0,0,3,2,66.7,1,0.5,0.3,1,109.7,3.3,-4,5,0,0,0,0,1.0,1,13,0,0.0,
25.0,Dominique Robinson,26.0,DL,6,1,0,0,0,,0,,,0,,,0,0,0,1,1,0,0.0,2,7,0,0.0,
26.0,Travis Homer,26.0,RB,10,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0.0,0,6,1,14.3,
27.0,Noah Sewell,22.0,LB,9,0,0,0,0,,0,,,0,,,0,0,1,0,0,0,0.0,0,4,0,0.0,
28.0,Reddy Steward,23.0,CB,1,0,0,3,2,66.7,39,19.5,13.0,0,109.7,8.7,22,17,1,0,0,0,0.0,0,1,1,50.0,
29.0,Tory Taylor,27.0,P,17,0,0,1,1,100.0,0,0.0,0.0,0,79.2,0.0,0,0,0,0,0,0,0.0,0,0,0,,
,Team Totals,,,17,17,11,503,325,67.6,4135,12.5,8.4,17,90.9,8.2,2199,0,165,42,60,9,40.0,146,1096,94,7.9,
