Rk,Player,Age,Pos,G,GS,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,Awards
1.0,D'Andre Swift,25.0,RB,17,17,253,959,43,511,2.0,448,1.8,7,36.1,
2.0,Caleb Williams,23.0,QB,17,17,81,489,27,385,4.8,104,1.3,5,16.2,AP ORoY-10
3.0,Roschon Johnson,23.0,RB,14,0,55,150,17,80,1.5,70,1.3,0,,
4.0,D.J. Moore,27.0,WR,17,17,14,75,3,56,4.0,19,1.4,1,14.0,
5.0,Khalil Herbert,26.0,RB,6,0,8,16,3,6,0.8,10,1.3,0,,
6.0,Tyson Bagent,24.0,QB,4,0,6,-7,0,-7,-1.2,0,0.0,0,,
7.0,Travis Homer,26.0,RB,10,0,6,23,2,16,2.7,7,1.2,0,,
8.0,Darrynton Evans,26.0,RB,5,0,3,3,0,2,0.7,1,0.3,0,,
9.0,Rome Odunze,22.0,WR,17,12,3,15,1,6,2.0,9,3.0,0,,
10.0,Velus Jones Jr.,27.0,WR,1,0,2,11,1,6,3.0,5,2.5,0,,
,Team Totals,,,17,17,431,1734,97,1061,2.5,673,1.6,13,33.2,
