Rk,Player,Age,Pos,G,GS,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Bats,Sk,Prss,Comb,MTkl,MTkl%,Awards
1.0,Jack Campbell,24.0,MLB,17,17,0,45,35,77.8,436,12.5,9.7,1,114.4,7.1,251,185,85,3,3,0,1.5,8,131,7,5.1,
2.0,Brian Branch,23.0,SS,16,16,4,84,51,60.7,584,11.5,7.0,3,73.7,8.7,392,192,25,2,5,0,1.0,8,109,10,8.4,PB
3.0,Kerby Joseph,24.0,FS,17,17,9,43,19,44.2,330,17.4,7.7,1,39.1,14.2,209,121,6,1,1,0,0.0,2,83,5,5.7,"AP-1,AP DPoY-6"
4.0,Alex Anzalone,30.0,LLB,10,10,0,55,40,72.7,299,7.5,5.4,1,91.4,3.5,85,214,49,1,4,0,1.0,6,63,7,10.0,
5.0,Terrion Arnold,21.0,RCB,16,15,0,90,50,55.6,660,13.2,7.3,4,93.7,12.1,484,176,1,0,0,0,0.0,0,60,3,4.8,AP DRoY-15
6.0,Carlton Davis,28.0,LCB,13,13,2,76,42,55.3,567,13.5,7.5,2,77.0,10.1,385,182,1,0,0,0,0.0,0,56,7,11.1,
7.0,Amik Robertson,26.0,CB,17,4,0,88,54,61.4,632,11.7,7.2,2,90.7,9.9,362,270,15,0,0,0,0.0,0,50,7,12.3,
8.0,Malcolm Rodriguez,25.0,RLB,10,6,0,19,16,84.2,103,6.4,5.4,0,89.3,4.6,47,56,43,0,0,0,2.0,2,43,2,4.4,
9.0,Levi Onwuzurike,26.0,DL,16,10,0,3,2,66.7,8,4.0,2.7,0,70.1,-4.3,-9,17,0,8,11,0,1.5,22,28,2,6.7,
10.0,Alim McNeill,24.0,RDT,14,14,0,1,1,100.0,15,15.0,15.0,0,118.7,2.0,2,13,2,11,3,1,3.5,18,25,2,7.4,
11.0,Ben Niemann,29.0,LB,17,4,0,12,11,91.7,147,13.4,12.3,1,145.5,3.3,26,121,22,2,0,1,0.0,2,25,2,7.4,
12.0,Trevor Nowaske,26.0,LB,14,2,1,9,8,88.9,74,9.3,8.2,0,61.3,3.9,36,38,18,4,2,0,2.0,8,23,1,4.2,
13.0,D.J. Reader,30.0,LDT,15,15,0,0,0,,0,,,0,,,0,0,0,1,5,1,3.0,9,23,2,8.0,
14.0,Josh Paschal,25.0,LDE,14,10,0,2,2,100.0,11,5.5,5.5,0,89.6,0.5,1,10,0,9,6,0,2.0,17,21,3,12.5,
15.0,Aidan Hutchinson,24.0,DL,5,5,0,3,2,66.7,29,14.5,9.7,0,97.9,-0.7,1,28,2,10,9,0,7.5,27,19,2,9.5,
16.0,Pat O'Connor,31.0,DL,12,0,0,1,1,100.0,5,5.0,5.0,0,87.5,5.0,5,0,0,2,0,0,1.0,3,18,1,5.3,
17.0,Kindle Vildor,27.0,CB,17,2,0,25,11,44.0,140,12.7,5.6,0,62.1,15.8,67,73,0,0,0,0,0.0,0,16,1,5.9,
18.0,Khalil Dorsey,26.0,CB,14,1,0,11,6,54.5,140,23.3,12.7,0,99.6,18.9,86,54,0,0,0,0,0.0,0,14,1,6.7,
19.0,Jalen Reeves-Maybin,29.0,LB,10,0,0,13,13,100.0,129,9.9,9.9,2,147.6,2.9,38,91,22,1,0,0,0.0,1,14,3,17.6,
20.0,Brandon Joseph,23.0,S,14,1,0,5,3,60.0,55,18.3,11.0,0,97.9,17.2,42,13,0,0,0,0,0.0,0,13,1,7.1,
21.0,Za'Darius Smith,32.0,RDE,8,7,0,1,1,100.0,13,13.0,13.0,0,118.7,-4.0,-4,17,2,5,5,0,4.0,15,12,3,20.0,
22.0,Zeke Turner,28.0,LB,9,0,0,5,5,100.0,62,12.4,12.4,2,157.9,4.8,24,38,11,0,2,0,0.5,3,12,0,0.0,
23.0,Al-Quadin Muhammad,29.0,DL,9,2,0,3,1,33.3,3,3.0,1.0,0,42.4,4.0,-2,5,0,3,2,0,3.0,8,11,0,0.0,
24.0,Derrick Barnes,25.0,LB,3,3,0,2,2,100.0,14,7.0,7.0,0,95.8,4.5,9,5,24,0,0,1,0.0,0,10,2,16.7,
25.0,Ifeatu Melifonwu,25.0,S,3,3,0,7,5,71.4,48,9.6,6.9,0,90.2,6.7,32,16,8,2,1,0,1.0,4,10,0,0.0,
26.0,Mekhi Wingo,21.0,DL,11,0,0,0,0,,0,,,0,,,0,0,0,1,1,0,0.0,2,9,0,0.0,
27.0,James Houston,26.0,LB,8,0,0,1,1,100.0,8,8.0,8.0,0,100.0,3.0,3,5,4,3,1,0,1.0,5,8,0,0.0,
