Rk,Player,Age,Pos,G,GS,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Bats,Sk,Prss,Comb,MTkl,MTkl%,Awards
1.0,Quay Walker,24.0,LLB,13,13,0,51,41,80.4,367,9.0,7.2,0,96.7,5.2,168,199,33,5,0,0,2.5,8,102,8,7.3,
2.0,Isaiah McDuffie,25.0,RLB,17,17,0,56,47,83.9,405,8.6,7.2,5,126.6,3.3,137,268,17,2,2,0,0.5,5,97,10,9.3,
3.0,Javon Bullard,22.0,SS,15,11,0,54,46,85.2,459,10.0,8.5,3,120.6,5.1,197,262,10,0,0,0,0.0,0,90,9,9.1,
4.0,Xavier McKinney,26.0,FS,17,17,8,49,36,73.5,564,15.7,11.5,1,78.5,13.0,408,156,13,1,0,0,1.0,2,88,3,3.3,"PB,AP-1,AP DPoY-8"
5.0,Keisean Nixon,27.0,LCB,17,15,1,87,50,57.5,464,9.3,5.3,3,78.9,7.4,311,153,9,0,3,0,3.0,6,88,9,9.3,
6.0,Edgerrin Cooper,23.0,LB,14,4,1,37,24,64.9,221,9.2,6.0,1,78.8,4.3,64,157,32,1,3,1,3.5,8,87,11,11.2,AP DRoY-6
7.0,Eric Wilson,30.0,MLB,17,12,1,37,31,83.8,314,10.1,8.5,2,108.8,4.4,139,175,17,3,2,0,2.0,7,72,11,13.3,
8.0,Evan Williams,23.0,S,13,6,1,30,17,56.7,225,13.2,7.5,1,77.8,12.6,170,55,1,0,0,0,0.0,0,49,6,10.9,
9.0,Rashan Gary,27.0,RDE,17,17,0,0,0,,0,,,0,,,0,0,6,10,8,1,7.5,26,47,1,2.1,PB
10.0,Eric Stokes,25.0,RCB,17,7,0,58,36,62.1,403,11.2,6.9,3,100.0,10.4,281,122,0,0,0,0,0.0,0,41,3,6.8,
11.0,Kingsley Enagbare,24.0,DL,17,7,0,7,7,100.0,38,5.4,5.4,0,89.3,1.0,7,31,2,5,3,0,4.5,13,39,5,11.4,
12.0,Kenny Clark,29.0,RDT,17,17,0,1,1,100.0,7,7.0,7.0,0,95.8,-4.0,-4,11,0,6,4,2,1.0,11,37,4,9.8,
13.0,Lukas Van Ness,23.0,DL,17,0,0,4,3,75.0,20,6.7,5.0,0,85.4,-4.0,-11,31,0,4,3,0,3.0,10,33,3,8.3,
14.0,Carrington Valentine,23.0,CB,15,7,2,30,23,76.7,302,13.1,10.1,0,80.1,8.5,150,152,1,0,0,0,0.0,0,32,4,11.1,
15.0,Tedarrell Slaton,27.0,LDT,17,17,0,0,0,,0,,,0,,,0,0,0,1,2,0,1.0,4,30,4,11.8,
16.0,Karl Brooks,24.0,DL,17,0,0,1,1,100.0,-5,-5.0,-5.0,0,79.2,-5.0,-5,0,0,4,2,2,3.5,10,24,2,7.7,
17.0,Devonte Wyatt,26.0,DL,14,0,0,2,1,50.0,7,7.0,3.5,0,58.3,-1.5,-5,12,0,3,4,0,5.0,12,23,6,20.7,
18.0,Colby Wooden,24.0,DL,13,1,0,3,3,100.0,27,9.0,9.0,0,104.2,-1.3,-4,31,0,0,2,2,0.0,2,20,2,9.1,
19.0,Preston Smith,32.0,LDE,9,9,0,2,1,50.0,5,5.0,2.5,0,56.2,7.0,5,0,0,7,1,0,2.5,11,19,1,5.0,
20.0,Jaire Alexander,27.0,CB,7,7,2,30,17,56.7,231,13.6,7.7,3,86.9,9.8,143,88,0,0,0,0,0.0,0,16,2,11.1,
21.0,Zayne Anderson,27.0,S,16,2,1,2,0,0.0,11,,5.5,0,10.4,12.5,5,6,1,0,0,0,0.0,0,16,1,5.9,
22.0,Brenton Cox,24.0,DL,7,0,0,1,1,100.0,0,0.0,0.0,0,79.2,0.0,0,0,0,1,3,0,4.0,8,12,0,0.0,
23.0,Arron Mosby,25.0,DL,16,0,0,2,0,0.0,0,,0.0,0,39.6,4.0,0,0,0,2,1,1,0.5,4,12,1,7.7,
24.0,Ty'Ron Hopper,23.0,LB,17,0,0,3,1,33.3,10,10.0,3.3,0,43.7,4.3,5,5,0,0,0,0,0.0,0,9,1,10.0,
25.0,Corey Ballentine,28.0,CB,15,1,0,8,4,50.0,56,14.0,7.0,1,112.5,15.3,40,16,0,0,0,0,0.0,0,6,1,14.3,
26.0,Omar Brown,24.0,S,2,0,0,1,0,0.0,0,,0.0,0,39.6,7.0,0,0,0,0,0,0,0.0,0,0,0,,
,Team Totals,,,17,17,17,565,381,70.3,4131,10.6,7.4,23,88.5,7.2,2201,88,142,55,43,9,45.0,147,1089,108,9.0,
