Rk,Player,Age,Pos,G,GS,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,Awards
1.0,Josh Jacobs,26.0,RB,17,17,301,1329,73,592,2.0,737,2.4,35,8.6,"PB,AP OPoY-11"
2.0,Emanuel Wilson,25.0,RB,17,0,103,502,27,260,2.5,242,2.3,9,11.4,
3.0,Chris Brooks,24.0,RB,15,0,36,183,12,74,2.1,109,3.0,6,6.0,
4.0,Jordan Love,26.0,QB,15,15,25,83,9,48,1.9,35,1.4,0,,
5.0,Jayden Reed,24.0,WR,17,10,20,163,7,114,5.7,49,2.5,2,10.0,
6.0,Malik Willis,25.0,QB,7,2,20,138,6,90,4.5,48,2.4,3,6.7,
7.0,Bo Melton,25.0,WR,17,0,8,54,4,36,4.5,18,2.3,2,4.0,
8.0,MarShawn Lloyd,23.0,RB,1,0,6,15,0,12,2.0,3,0.5,0,,
9.0,Christian Watson,25.0,WR,15,15,4,23,1,19,4.8,4,1.0,1,4.0,
10.0,Tucker Kraft,24.0,TE,17,17,3,6,3,3,1.0,3,1.0,0,,
,Team Totals,,,17,17,526,2496,142,1248,2.4,1248,2.4,58,9.1,
