Rk,Player,Age,Pos,G,GS,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Bats,Sk,Prss,Comb,MTkl,MTkl%,Awards
1.0,Blake Cashman,28.0,RILB,14,14,0,57,43,75.4,440,10.2,7.7,1,103.0,5.5,164,276,108,7,6,3,4.5,18,112,5,4.3,
2.0,Josh Metellus,26.0,S,17,10,2,73,53,72.6,608,11.5,8.3,1,90.4,5.3,293,315,56,5,6,0,0.0,11,103,3,2.8,
3.0,Camryn Bynum,26.0,FS,17,17,3,52,32,61.5,442,13.8,8.5,2,77.6,12.2,271,171,7,0,0,0,0.0,0,96,7,6.8,
4.0,Harrison Smith,35.0,SS,16,16,3,65,43,66.2,506,11.8,7.8,4,90.9,10.2,319,187,44,4,0,2,1.0,5,87,9,9.4,
5.0,Byron Murphy,26.0,RCB,17,17,6,119,78,65.5,852,10.9,7.2,4,76.7,9.4,540,312,4,0,0,0,0.0,0,81,9,10.0,PB
6.0,Andrew Van Ginkel,29.0,RLB,17,17,2,22,19,86.4,71,3.7,3.2,2,72.5,0.5,4,67,110,5,9,2,11.5,26,79,5,6.0,"PB,AP-2,AP DPoY-7"
7.0,Ivan Pace,24.0,LILB,11,10,1,31,22,71.0,237,10.8,7.6,2,101.1,2.8,87,150,44,4,4,0,3.0,11,72,8,10.0,
8.0,Jonathan Greenard,27.0,ROLB,17,17,0,16,11,68.8,65,5.9,4.1,0,76.3,0.5,-5,70,72,18,12,2,12.0,42,59,9,13.2,"PB,AP DPoY-11"
9.0,Stephon Gilmore,34.0,LCB,15,15,1,84,52,61.9,596,11.5,7.1,4,94.1,9.2,360,236,0,0,0,0,0.0,0,56,3,5.1,
10.0,Harrison Phillips,28.0,NT,17,17,0,2,1,50.0,31,31.0,15.5,0,95.8,3.5,7,24,0,4,3,3,2.0,9,56,5,8.2,
11.0,Jonathan Bullard,31.0,RDE,17,17,0,1,1,100.0,3,3.0,3.0,0,79.2,-4.0,-4,7,1,1,2,2,1.0,4,41,2,4.7,
12.0,Shaquill Griffin,29.0,CB,17,3,2,57,31,54.4,429,13.8,7.5,2,75.8,11.6,310,119,0,0,0,0,0.0,0,41,1,2.4,
13.0,Patrick Jones II,26.0,OLB,15,1,0,2,2,100.0,15,7.5,7.5,0,97.9,-0.5,-1,16,47,5,5,0,7.0,17,39,4,9.3,
14.0,Jerry Tillery,28.0,LDE,17,11,0,0,0,,0,,,0,,,0,0,0,3,3,0,0.0,6,28,0,0.0,
15.0,Dallas Turner,21.0,OLB,16,0,1,8,4,50.0,37,9.3,4.6,0,23.4,3.5,14,23,23,2,2,0,3.0,7,20,1,4.8,
16.0,Kamu Grugier-Hill,30.0,LB,17,1,2,20,10,50.0,134,13.4,6.7,0,32.1,6.3,64,70,17,1,0,0,0.0,1,18,3,14.3,
17.0,Jalen Redmond,25.0,DL,13,2,0,2,2,100.0,-2,-1.0,-1.0,0,79.2,-4.5,-9,7,0,0,0,1,1.0,1,18,1,5.3,
18.0,Theo Jackson,26.0,S,17,0,1,7,4,57.1,64,16.0,9.1,0,48.2,11.9,50,14,7,0,0,0,0.0,0,17,1,5.6,
19.0,Jihad Ward,30.0,OLB,17,2,0,2,1,50.0,9,9.0,4.5,0,62.5,3.0,0,9,46,3,14,1,1.0,18,10,1,9.1,
20.0,Bo Richter,24.0,OLB,14,0,0,0,0,,0,,,0,,,0,0,0,0,0,0,0.0,0,8,1,11.1,
21.0,Fabian Moreau,30.0,CB,7,0,0,10,6,60.0,66,11.0,6.6,2,119.2,11.1,52,14,0,0,0,0,0.0,0,7,0,0.0,
22.0,Brian Asamoah,24.0,LB,17,0,0,3,3,100.0,37,12.3,12.3,0,118.1,5.3,16,21,11,0,0,0,0.0,0,6,0,0.0,
23.0,Jay Ward,24.0,S,16,0,0,1,1,100.0,0,0.0,0.0,0,79.2,3.0,0,0,4,0,1,0,0.0,1,6,0,0.0,
24.0,Jamin Davis,26.0,LB,4,0,0,1,1,100.0,6,6.0,6.0,0,91.7,5.0,5,1,1,0,0,0,1.0,1,5,1,16.7,
25.0,Bobby McCain,31.0,S,3,0,0,4,3,75.0,30,10.0,7.5,0,95.8,5.3,21,9,1,0,0,0,0.0,0,4,0,0.0,
26.0,Gabriel Murphy,24.0,OLB,2,0,0,0,0,,0,,,0,,,0,0,0,0,1,0,0.0,1,1,0,0.0,
27.0,Levi Drake Rodriguez,24.0,DL,2,0,0,1,0,0.0,0,,0.0,0,39.6,13.0,0,0,0,0,0,0,0.0,0,1,0,0.0,
28.0,Dwight McGlothern,22.0,CB,5,0,0,3,1,33.3,9,9.0,3.0,0,42.4,7.7,4,5,0,0,0,0,0.0,0,0,0,,
29.0,Jonah Williams,29.0,DL,1,0,0,0,0,,0,,,0,,,0,0,0,0,1,0,0.0,1,0,0,,
,Team Totals,,,17,17,24,637,415,65.9,4685,11.0,7.3,24,82.4,7.9,2562,21,603,62,69,16,48.0,180,1071,79,6.9,
