Rk,Player,Age,Pos,G,GS,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,Awards
1.0,Aaron Jones,30.0,RB,17,17,255,1138,49,614,2.4,524,2.1,11,23.2,
2.0,Sam Darnold,27.0,QB,17,17,67,212,23,155,2.3,57,0.9,1,67.0,"PB,AP MVP-10,AP CPoY-3"
3.0,Cam Akers,25.0,RB,12,0,64,297,16,142,2.2,155,2.4,5,12.8,AP CPoY-19
4.0,Ty Chandler,26.0,RB,17,0,56,182,9,128,2.3,54,1.0,0,,
5.0,Jordan Addison,22.0,WR,15,15,3,20,1,10,3.3,10,3.3,1,3.0,
6.0,Myles Gaskin,27.0,RB,5,0,3,-1,0,-2,-0.7,1,0.3,0,,
7.0,Nick Mullens,29.0,QB,4,0,3,-2,0,-2,-0.7,0,0.0,0,,
8.0,Jalen Nailor,25.0,WR,17,7,3,-4,1,-5,-1.7,1,0.3,0,,
9.0,C.J. Ham,31.0,FB,17,3,2,10,1,8,4.0,2,1.0,0,,
10.0,Justin Jefferson,25.0,WR,17,17,1,3,0,3,3.0,0,0.0,0,,"PB,AP-1,AP OPoY-7"
,Team Totals,,,17,17,457,1855,100,1051,2.3,804,1.8,18,25.4,
