Rk,Player,Age,Pos,G,GS,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Bats,Sk,Prss,Comb,MTkl,MTkl%,Awards
1.0,Lavonte David,34.0,LILB,17,17,1,78,66,84.6,608,9.2,7.8,2,102.4,4.5,253,355,80,6,1,1,5.5,13,122,14,10.3,
2.0,Zyon McCollum,25.0,RCB,17,17,2,108,62,57.4,839,13.5,7.8,4,86.9,12.0,502,337,6,1,0,0,0.0,1,82,13,13.7,
3.0,Jordan Whitehead,27.0,FS,12,12,0,34,23,67.6,307,13.3,9.0,3,125.5,7.8,156,151,22,0,1,0,0.0,1,79,3,3.7,
4.0,Christian Izien,24.0,SS,14,10,1,54,35,64.8,319,9.1,5.9,0,73.0,4.8,132,187,24,2,0,0,0.0,2,75,8,9.6,
5.0,K.J. Britt,25.0,RILB,14,11,0,30,22,73.3,246,11.2,8.2,1,108.5,4.2,96,150,23,1,0,0,0.5,2,72,7,8.9,
6.0,Antoine Winfield Jr.,26.0,SS,9,9,0,23,17,73.9,242,14.2,10.5,2,136.5,10.7,141,101,24,1,2,2,2.0,5,60,9,13.0,
7.0,Jamel Dean,28.0,LCB,12,12,1,66,46,69.7,511,11.1,7.7,1,91.2,10.8,371,140,2,0,0,0,0.0,0,59,4,6.3,
8.0,YaYa Diaby,25.0,OLB,17,17,0,7,5,71.4,36,7.2,5.1,0,83.0,1.0,20,16,76,12,15,0,4.5,32,54,3,5.3,
9.0,Tykee Smith,23.0,S,13,6,2,64,44,68.8,437,9.9,6.8,5,100.8,6.7,265,172,38,4,2,0,0.0,6,54,6,10.0,AP DRoY-15
10.0,Vita Vea,29.0,NT,16,16,0,1,1,100.0,6,6.0,6.0,0,91.7,4.0,4,2,0,5,6,1,7.0,18,42,1,2.3,PB
11.0,Anthony Nelson,27.0,OLB,17,6,0,9,8,88.9,40,5.0,4.4,0,85.2,1.0,13,27,43,6,10,0,4.0,20,40,3,7.0,
12.0,Josh Hayes,25.0,DB,15,3,0,33,22,66.7,216,9.8,6.5,4,124.5,9.7,137,79,2,0,0,0,0.0,0,35,2,5.4,
13.0,J.J. Russell,26.0,LB,16,3,0,18,13,72.2,151,11.6,8.4,1,115.7,5.8,66,85,9,1,0,0,0.0,1,33,3,8.3,
14.0,Logan Hall,24.0,RDE,16,10,0,0,0,,0,,,0,,,0,0,0,0,4,1,5.5,10,28,1,3.4,
15.0,Calijah Kancey,23.0,LDE,12,12,0,1,0,0.0,0,,0.0,0,39.6,4.0,0,0,0,3,8,0,7.5,19,28,2,6.7,
16.0,Joe Tryon-Shoyinka,25.0,LOLB,15,11,0,11,7,63.6,23,3.3,2.1,0,67.6,1.8,-9,32,56,7,3,1,2.0,11,24,3,11.1,
17.0,SirVocea Dennis,24.0,LB,4,0,0,11,10,90.9,92,9.2,8.4,0,101.5,1.5,23,69,12,1,0,0,1.0,2,22,2,8.3,
18.0,Chris Braswell,23.0,OLB,17,0,0,3,3,100.0,17,5.7,5.7,0,90.3,1.0,3,14,22,5,5,0,1.5,12,18,1,5.3,
19.0,Greg Gaines,28.0,DL,15,3,0,1,1,100.0,1,1.0,1.0,0,79.2,-5.0,-5,6,0,1,3,0,1.0,5,17,1,5.6,
20.0,Kaevon Merriweather,25.0,S,14,5,0,18,12,66.7,163,13.6,9.1,2,132.4,9.3,81,82,6,1,0,0,1.0,2,17,4,19.0,
21.0,Tyrek Funderburk,24.0,CB,13,2,0,16,15,93.8,201,13.4,12.6,2,158.3,10.1,113,88,0,0,0,0,0.0,0,14,4,22.2,
22.0,Tavierre Thomas,28.0,CB,17,0,0,5,5,100.0,67,13.4,13.4,0,118.7,8.2,41,26,2,0,0,0,0.0,0,14,2,12.5,
23.0,C.J. Brewer,27.0,DL,12,0,0,0,0,,0,,,0,,,0,0,0,0,1,2,2.0,3,12,3,20.0,
24.0,William Gholston,33.0,DL,17,3,0,0,0,,0,,,0,,,0,0,0,1,3,0,1.0,5,12,0,0.0,
25.0,Mike Edwards,28.0,S,5,2,0,6,3,50.0,47,15.7,7.8,0,76.4,14.8,35,12,6,1,1,0,0.0,2,11,0,0.0,
26.0,Vi Jones,26.0,LB,7,0,0,2,2,100.0,8,4.0,4.0,0,83.3,-1.5,-3,11,2,0,0,0,0.0,0,9,0,0.0,
27.0,Mike Greene,25.0,DL,3,0,0,0,0,,0,,,0,,,0,0,0,1,0,0,0.0,1,2,0,0.0,
28.0,Shaquil Barrett,32.0,OLB,1,0,0,1,1,100.0,6,6.0,6.0,0,91.7,4.0,4,2,0,0,0,0,0.0,0,1,0,0.0,
29.0,Bryce Hall,27.0,CB,1,0,0,3,1,33.3,5,5.0,1.7,0,42.4,12.3,-3,8,0,0,0,0,0.0,0,0,0,,
30.0,Keenan Isaac,24.0,CB,5,0,0,0,0,,0,,,0,,,0,0,1,0,0,0,0.0,0,0,0,,
31.0,Cade Otton,25.0,TE,14,14,0,0,0,,0,,,0,,,0,0,0,0,0,0,0.0,0,0,1,100.0,
32.0,Jose Ramirez,25.0,OLB,4,0,0,1,1,100.0,8,8.0,8.0,0,100.0,-5.0,-5,13,2,0,1,0,0.0,1,0,0,,
33.0,Markees Watts,25.0,OLB,5,0,0,0,0,,0,,,0,,,0,0,3,1,0,0,0.0,1,0,0,,
,Team Totals,,,17,17,7,630,418,70.4,4596,10.8,7.6,27,96.6,7.7,2431,2,461,61,66,8,46.0,175,1036,100,8.8,
