Rk,Player,Age,Pos,G,GS,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,Awards
1.0,Bucky Irving,22.0,RB,17,3,207,1122,52,566,2.7,556,2.7,12,17.3,AP ORoY-6
2.0,Rachaad White,25.0,RB,16,15,144,613,35,231,1.6,382,2.7,9,16.0,
3.0,Baker Mayfield,29.0,QB,17,17,60,378,24,294,4.9,84,1.4,5,12.0,"PB,AP MVP-11,AP OPoY-11"
4.0,Sean Tucker,23.0,RB,17,0,50,308,17,179,3.6,129,2.6,5,10.0,
5.0,Sterling Shepard,31.0,WR,14,5,8,69,4,48,6.0,21,2.6,1,8.0,
6.0,Kyle Trask,26.0,QB,4,0,5,-4,0,-4,-0.8,0,0.0,0,,
7.0,Jalen McMillan,23.0,WR,13,12,4,43,3,26,6.5,17,4.3,1,4.0,
8.0,Kameron Johnson,22.0,WR,5,0,2,11,1,10,5.0,1,0.5,0,,
9.0,Chris Godwin,28.0,WR,7,7,1,2,1,1,1.0,1,1.0,0,,
10.0,Cade Otton,25.0,TE,14,14,1,-4,0,-4,-4.0,0,0.0,1,1.0,
11.0,Tavierre Thomas,28.0,CB,17,0,1,-2,0,-2,-2.0,0,0.0,0,,
,Team Totals,,,17,17,483,2536,137,1345,2.8,1191,2.5,34,14.2,
