Rk,Player,Age,Pos,G,GS,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Bats,Sk,Prss,Comb,MTkl,MTkl%,Awards
1.0,Xavier Woods,29.0,FS,17,17,3,51,35,68.6,426,12.2,8.4,5,102.2,9.8,304,122,5,1,0,0,0.0,1,119,10,7.8,
2.0,Josey Jewell,30.0,RILB,12,12,1,40,28,70.0,246,8.8,6.2,2,92.3,4.1,103,143,33,1,0,1,3.5,5,97,9,8.5,
3.0,A'Shawn Robinson,29.0,RDE,16,16,0,1,1,100.0,3,3.0,3.0,0,79.2,-5.0,-5,8,0,1,2,1,5.5,9,80,5,5.9,
4.0,Michael Jackson,27.0,RCB,17,17,2,96,64,66.7,845,13.2,8.8,6,106.5,10.3,582,263,2,0,0,0,0.0,0,76,6,7.3,
5.0,Jaycee Horn,25.0,LCB,15,15,1,77,41,53.2,474,11.6,6.2,6,92.7,10.3,330,144,5,0,0,0,2.0,2,68,7,9.3,PB
6.0,Trevin Wallace,21.0,LILB,13,8,0,23,20,87.0,232,11.6,10.1,1,123.2,2.7,51,181,17,0,0,0,1.0,1,64,7,9.9,
7.0,Jordan Fuller,26.0,SS,9,9,0,15,12,80.0,161,13.4,10.7,2,151.0,6.6,84,77,3,0,0,0,0.0,0,54,6,10.0,
8.0,Demani Richardson,24.0,S,14,5,1,28,18,64.3,244,13.6,8.7,1,89.0,11.7,146,98,8,1,0,0,0.0,1,51,5,8.9,
9.0,Jadeveon Clowney,31.0,ROLB,14,14,0,4,4,100.0,47,11.8,11.8,0,115.6,-0.3,-1,48,23,11,5,4,5.5,22,46,6,11.5,
10.0,Shy Tuttle,29.0,NT,15,15,0,0,0,,0,,,0,,,0,0,0,2,1,3,0.0,3,46,2,4.2,
11.0,DJ Johnson,26.0,OLB,14,2,0,1,1,100.0,3,3.0,3.0,1,118.7,2.0,2,1,16,0,0,1,0.5,1,44,4,8.3,
12.0,LaBryan Ray,27.0,LDE,16,9,0,0,0,,0,,,0,,,0,0,0,1,1,0,1.0,3,41,2,4.7,
13.0,Chau Smith-Wade,22.0,CB,14,4,1,20,14,70.0,92,6.6,4.6,1,75.4,4.6,37,55,6,1,0,0,0.0,1,39,2,4.9,
