Rk,Player,Age,Pos,G,GS,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,Awards
1.0,Chuba Hubbard,25.0,RB,15,15,250,1195,62,656,2.6,539,2.2,14,17.9,
2.0,Miles Sanders,27.0,RB,11,2,55,205,12,124,2.3,81,1.5,2,27.5,
3.0,Bryce Young,23.0,QB,14,12,43,249,15,217,5.0,32,0.7,4,10.8,
4.0,Raheem Blackshear,25.0,RB,16,1,15,80,2,35,2.3,45,3.0,2,7.5,
5.0,Mike Boone,29.0,RB,6,0,13,51,3,30,2.3,21,1.6,1,13.0,
6.0,Andy Dalton,37.0,QB,6,5,11,34,2,15,1.4,19,1.7,1,11.0,
7.0,Jonathon Brooks,21.0,RB,3,1,9,22,0,8,0.9,14,1.6,1,9.0,
8.0,Xavier Legette,23.0,WR,16,13,6,24,2,18,3.0,6,1.0,1,6.0,
9.0,Diontae Johnson,28.0,WR,7,7,2,6,1,6,3.0,0,0.0,0,,
10.0,Jonathan Mingo,23.0,WR,9,5,2,5,0,4,2.0,1,0.5,0,,
11.0,Deven Thompkins,25.0,WR,7,0,2,7,0,5,2.5,2,1.0,0,,
12.0,Velus Jones Jr.,27.0,WR,2,0,1,0,0,0,0.0,0,0.0,0,,
13.0,David Moore,29.0,WR,17,5,1,0,0,0,0.0,0,0.0,0,,
,Team Totals,,,17,17,410,1878,99,1118,2.7,760,1.9,26,15.8,
