Rk,Player,Age,Pos,G,GS,Tgt,Rec,Yds,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,Awards
1.0,Alvin Kamara,29.0,RB,14,14,89,68,543,18,1,0.0,542,8.0,0.9,2,34.0,8,9.0,1,94.0,
2.0,Juwan Johnson,28.0,TE,17,5,66,50,548,27,336,6.7,212,4.2,8.2,3,16.7,3,4.5,1,108.6,
3.0,Foster Moreau,27.0,TE,17,17,43,32,413,21,255,8.0,158,4.9,9.2,2,16.0,0,0.0,1,133.2,
4.0,Chris Olave,24.0,WR,8,8,44,32,400,22,279,8.7,121,3.8,10.3,1,32.0,2,4.5,2,89.2,
5.0,Taysom Hill,34.0,TE,8,8,31,23,187,8,50,2.2,137,6.0,3.5,2,11.5,2,6.5,0,89.0,
6.0,Rashid Shaheed,26.0,WR,6,5,41,20,349,12,243,12.2,106,5.3,17.6,0,,0,0.0,4,63.0,
7.0,Cedrick Wilson Jr.,29.0,WR,15,4,27,20,211,8,122,6.1,89,4.5,7.3,1,20.0,3,11.1,1,93.3,
8.0,Marquez Valdes-Scantling,30.0,WR,8,8,35,17,385,13,248,14.6,137,8.1,17.8,1,17.0,2,5.7,1,114.6,
9.0,Mason Tipton,24.0,WR,11,1,26,14,99,2,72,5.1,27,1.9,12.4,1,14.0,1,3.8,0,62.8,
10.0,Jordan Mims,25.0,RB,11,0,18,12,71,4,-9,-0.8,80,6.7,0.2,1,12.0,2,11.1,0,74.1,
11.0,Dante Pettis,29.0,WR,8,0,28,12,120,8,84,7.0,36,3.0,10.1,2,6.0,1,3.6,0,67.6,
12.0,Kevin Austin,24.0,WR,8,2,22,11,151,10,114,10.4,37,3.4,11.6,0,,2,9.1,1,53.4,
13.0,Bub Means,23.0,WR,7,1,15,9,118,7,98,10.9,20,2.2,11.3,0,,1,6.7,0,107.1,
14.0,Jamaal Williams,29.0,RB,14,1,11,9,57,3,4,0.4,53,5.9,-1.3,0,,0,0.0,0,88.3,
15.0,Kendre Miller,22.0,RB,6,2,8,5,33,2,0,0.0,33,6.6,0.4,0,,2,25.0,0,71.4,
16.0,Clyde Edwards-Helaire,25.0,RB,2,0,5,3,24,1,-11,-3.7,35,11.7,-0.8,1,3.0,1,20.0,0,72.1,
17.0,Dallin Holker,24.0,TE,12,2,4,3,21,1,8,2.7,13,4.3,9.0,0,,0,0.0,0,86.5,
18.0,Adam Prentice,27.0,FB,17,7,4,0,0,0,0,,0,,1.0,0,,1,25.0,0,39.6,
,Team Totals,,,17,17,517,340,3730,167,1894,5.6,1836,5.4,8.1,17,20.0,31,6.0,12,90.8,
