Rk,Player,Age,Pos,G,GS,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,Awards
1.0,Alvin Kamara,29.0,RB,14,14,228,950,52,548,2.4,402,1.8,13,17.5,
2.0,Jamaal Williams,29.0,RB,14,1,48,164,11,92,1.9,72,1.5,0,,
3.0,Taysom Hill,34.0,TE,8,8,39,278,18,108,2.8,170,4.4,4,9.8,
4.0,Kendre Miller,22.0,RB,6,2,39,148,11,55,1.4,93,2.4,6,6.5,
5.0,Jordan Mims,25.0,RB,11,0,20,70,2,50,2.5,20,1.0,0,,
6.0,Spencer Rattler,24.0,QB,7,6,18,146,7,99,5.5,47,2.6,0,,
7.0,Derek Carr,33.0,QB,10,10,17,71,4,66,3.9,5,0.3,0,,
8.0,Clyde Edwards-Helaire,25.0,RB,2,0,13,46,2,17,1.3,29,2.2,3,4.3,
9.0,Jake Haener,25.0,QB,8,1,11,22,0,22,2.0,0,0.0,0,,
10.0,Rashid Shaheed,26.0,WR,6,5,6,29,2,21,3.5,8,1.3,0,,
11.0,Kevin Austin,24.0,WR,8,2,1,9,0,8,8.0,1,1.0,0,,
12.0,Matthew Hayball,27.0,P,17,0,1,11,1,11,11.0,0,0.0,0,,
13.0,Jermaine Jackson,24.0,WR,4,0,1,-1,0,-1,-1.0,0,0.0,0,,
14.0,Chris Olave,24.0,WR,8,8,1,7,1,7,7.0,0,0.0,0,,
15.0,Marquez Valdes-Scantling,30.0,WR,8,8,1,4,0,4,4.0,0,0.0,0,,
,Team Totals,,,17,17,444,1954,111,1107,2.5,847,1.9,26,17.1,
