Rk,Player,Age,Pos,G,GS,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,Awards
1.0,Jordan Mason,25.0,RB,12,6,153,789,37,441,2.9,348,2.3,13,11.8,
2.0,Isaac Guerendo,24.0,RB,16,3,84,420,18,180,2.1,240,2.9,3,28.0,
3.0,Brock Purdy,25.0,QB,15,15,66,323,33,259,3.9,64,1.0,2,33.0,
4.0,Christian McCaffrey,28.0,RB,4,4,50,202,12,116,2.3,86,1.7,3,16.7,
5.0,Deebo Samuel,28.0,WR,15,15,42,136,5,67,1.6,69,1.6,1,42.0,
6.0,Patrick Taylor,26.0,RB,13,1,39,183,11,89,2.3,94,2.4,0,,
7.0,Joshua Dobbs,29.0,QB,2,1,9,24,2,18,2.0,6,0.7,1,9.0,
8.0,Kyle Juszczyk,33.0,FB,17,15,5,26,1,9,1.8,17,3.4,1,5.0,"PB,AP-2"
9.0,Brandon Allen,32.0,QB,3,1,3,4,0,4,1.3,0,0.0,0,,
10.0,Ricky Pearsall,24.0,WR,11,4,3,45,1,44,14.7,1,0.3,0,,
11.0,Ke'Shawn Vaughn,27.0,RB,3,0,2,4,0,2,1.0,2,1.0,0,,
12.0,Jacob Cowing,23.0,WR,15,0,1,7,0,5,5.0,2,2.0,0,,
,Team Totals,,,17,17,457,2163,120,1234,2.7,929,2.0,24,19.0,
