Rk,Player,Age,Pos,G,GS,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Bats,Sk,Prss,Comb,MTkl,MTkl%,Awards
1.0,Budda Baker,28.0,FS,17,17,0,74,55,74.3,608,11.1,8.2,7,129.8,7.4,364,244,31,2,1,0,2.0,5,164,18,9.9,"PB,AP-2"
2.0,Kyzir White,28.0,RILB,17,17,1,51,38,74.5,410,10.8,8.0,1,96.0,2.8,106,304,47,2,5,0,2.5,10,137,8,5.5,
3.0,Jalen Thompson,26.0,SS,15,15,0,47,38,80.9,442,11.6,9.4,2,120.0,7.8,277,165,14,0,2,0,0.0,2,98,6,5.8,
4.0,Mack Wilson,26.0,LILB,16,16,1,28,23,82.1,179,7.8,6.4,0,78.4,3.2,52,127,46,2,4,3,3.0,9,75,6,7.4,
5.0,Garrett Williams,23.0,LCB,16,11,2,62,35,56.5,329,9.4,5.3,3,73.9,7.8,138,191,7,1,0,0,0.0,1,58,6,9.4,
6.0,Zaven Collins,25.0,LOLB,17,17,0,10,8,80.0,60,7.5,6.0,0,91.7,0.5,0,60,33,5,2,1,5.0,13,57,4,6.6,
7.0,Sean Murphy-Bunting,27.0,CB,15,15,3,58,41,70.7,461,11.2,7.9,2,84.1,9.8,301,160,1,1,0,0,0.0,1,52,11,17.5,
8.0,Max Melton,22.0,CB,17,3,0,52,34,65.4,436,12.8,8.4,0,91.5,9.6,282,154,0,0,0,0,0.0,0,51,7,12.1,
9.0,Starling Thomas,24.0,RCB,17,15,0,58,34,58.6,452,13.3,7.8,3,100.6,11.0,282,170,1,0,0,0,0.0,0,47,3,6.0,
10.0,Dante Stills,25.0,DT,16,10,0,1,1,100.0,3,3.0,3.0,0,79.2,-7.0,-7,10,0,1,2,1,4.5,8,42,3,6.7,
11.0,Dadrion Taylor-Demerson,23.0,S,17,2,0,20,14,70.0,171,12.2,8.6,0,96.0,7.6,99,72,6,0,0,0,0.0,0,37,3,7.5,
12.0,Krys Barnes,26.0,LB,17,0,0,10,10,100.0,102,10.2,10.2,1,142.5,4.9,49,53,6,0,0,0,2.0,2,35,1,2.8,
13.0,L.J. Collier,29.0,LDE,17,15,0,1,1,100.0,11,11.0,11.0,0,112.5,-5.0,-5,16,0,5,2,1,3.5,11,29,2,6.5,
14.0,Roy Lopez,27.0,NT,16,16,0,0,0,,0,,,0,,,0,0,0,5,2,3,1.0,8,28,2,6.7,
15.0,Owen Pappoe,24.0,LB,16,1,0,18,14,77.8,105,7.5,5.8,0,91.0,3.5,38,67,11,2,0,0,0.0,2,28,3,9.7,
16.0,Naquan Jones,26.0,DT,12,0,0,0,0,,0,,,0,,,0,0,0,2,1,2,3.0,6,27,1,3.6,
17.0,Dennis Gardeck,30.0,OLB,7,3,1,4,3,75.0,18,6.0,4.5,0,43.7,4.0,9,9,10,1,1,1,3.0,5,22,1,4.3,
18.0,Khyiris Tonga,28.0,DL,13,1,0,1,1,100.0,5,5.0,5.0,0,87.5,5.0,5,0,0,0,0,0,0.0,0,22,1,4.3,
19.0,Jesse Luketa,25.0,OLB,10,2,0,2,2,100.0,27,13.5,13.5,0,118.7,-2.5,-5,32,8,1,1,1,3.0,5,21,3,12.5,
20.0,Julian Okwara,27.0,OLB,13,1,0,11,8,72.7,88,11.0,8.0,0,96.0,4.3,21,67,15,2,1,0,1.0,4,18,5,21.7,
21.0,Victor Dimukeje,25.0,OLB,11,0,0,4,3,75.0,26,8.7,6.5,0,91.7,-5.3,-13,39,5,1,6,0,0.0,7,15,1,6.3,
22.0,Baron Browning,25.0,OLB,8,1,0,6,5,83.3,42,8.4,7.0,0,95.8,3.7,15,27,13,7,1,0,2.0,10,14,5,26.3,
23.0,Kei'Trel Clark,23.0,CB,15,1,1,10,8,80.0,92,11.5,9.2,1,98.7,7.3,62,30,1,0,0,0,1.0,1,12,1,7.7,
24.0,Bilal Nichols,28.0,DL,6,5,0,0,0,,0,,,0,,,0,0,0,0,1,0,0.0,1,10,2,16.7,
25.0,Darius Robinson,23.0,DL,6,0,0,0,0,,0,,,0,,,0,0,1,0,0,0,1.0,1,10,0,0.0,
26.0,Xavier Thomas,25.0,OLB,14,0,0,5,5,100.0,37,7.4,7.4,0,97.5,2.2,11,26,12,3,1,1,2.5,7,10,1,9.1,
27.0,Justin Jones,28.0,DL,3,3,0,1,0,0.0,0,,0.0,0,39.6,-8.0,0,0,0,0,1,0,0.0,1,4,1,20.0,
28.0,Ben Stille,27.0,DL,3,0,0,0,0,,0,,,0,,,0,0,0,0,0,1,1.0,1,3,1,25.0,
29.0,Angelo Blackson,32.0,DL,1,0,0,0,0,,0,,,0,,,0,0,0,1,0,0,0.0,1,1,0,0.0,
,Team Totals,,,17,17,9,539,370,71.3,4104,10.8,7.7,20,95.1,7.0,2081,244,268,44,34,15,41.0,122,1127,106,8.6,
