Rk,Player,Age,Pos,G,GS,Tgt,Rec,Yds,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,Awards
1.0,Trey McBride,25.0,TE,16,16,147,111,1146,63,633,5.7,513,4.6,6.1,5,22.2,3,2.0,1,99.2,PB
2.0,Marvin Harrison Jr.,22.0,WR,17,16,116,62,885,43,737,11.9,148,2.4,13.4,0,,5,4.3,4,87.0,
3.0,James Conner,29.0,RB,16,16,55,47,414,17,-69,-1.5,483,10.3,-1.6,12,3.9,2,3.6,2,88.9,
4.0,Michael Wilson,24.0,WR,16,13,71,47,548,27,418,8.9,130,2.8,11.4,1,47.0,3,4.2,3,90.6,
5.0,Greg Dortch,26.0,WR,17,4,50,37,342,16,48,1.3,294,7.9,4.1,5,7.4,3,6.0,0,112.2,
6.0,Elijah Higgins,24.0,TE,17,6,24,20,172,10,82,4.1,90,4.5,4.5,3,6.7,1,4.2,0,124.3,
7.0,Emari Demercado,25.0,RB,13,0,20,16,104,3,9,0.6,95,5.9,1.3,1,16.0,0,0.0,0,88.3,
8.0,Michael Carter,25.0,RB,3,1,11,11,57,2,-16,-1.5,73,6.6,-1.5,2,5.5,0,0.0,0,88.3,
9.0,Zay Jones,29.0,WR,11,2,11,8,84,5,65,8.1,19,2.4,8.6,0,,0,0.0,1,56.6,
10.0,Trey Benson,21.0,RB,13,1,6,6,59,3,-19,-3.2,78,13.0,-3.2,2,3.0,0,0.0,0,107.6,
11.0,Tip Reiman,23.0,TE,17,9,7,6,37,1,8,1.3,29,4.8,1.7,1,6.0,0,0.0,0,88.7,
12.0,DeeJay Dallas,26.0,RB,17,0,3,3,11,1,-9,-3.0,20,6.7,-3.0,0,,0,0.0,0,121.5,
13.0,Xavier Weaver,24.0,WR,2,0,2,0,0,0,0,,0,,19.5,0,,0,0.0,0,39.6,
,Team Totals,,,17,17,523,374,3859,191,1887,5.0,1972,5.3,6.9,32,11.7,17,3.3,11,97.0,
