Rk,Player,Age,Pos,G,GS,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,Awards
1.0,James Conner,29.0,RB,16,16,236,1094,67,528,2.2,566,2.4,24,9.8,
2.0,Kyler Murray,27.0,QB,17,17,78,572,27,468,6.0,104,1.3,2,39.0,AP CPoY-10
3.0,Trey Benson,21.0,RB,13,1,63,291,16,157,2.5,134,2.1,4,15.8,
4.0,Michael Carter,25.0,RB,3,1,35,131,9,81,2.3,50,1.4,1,35.0,
5.0,Emari Demercado,25.0,RB,13,0,24,223,8,86,3.6,137,5.7,3,8.0,
6.0,DeeJay Dallas,26.0,RB,17,0,9,49,4,32,3.6,17,1.9,0,,
7.0,Clayton Tune,25.0,QB,6,0,7,-4,2,-5,-0.7,1,0.1,0,,
8.0,Greg Dortch,26.0,WR,17,4,5,31,1,24,4.8,7,1.4,0,,
9.0,Tony Jones,27.0,RB,1,0,4,55,1,9,2.3,46,11.5,0,,
10.0,Trey McBride,25.0,TE,16,16,1,2,1,0,0.0,2,2.0,0,,PB
11.0,Michael Wilson,24.0,WR,16,13,1,7,0,4,4.0,3,3.0,0,,
,Team Totals,,,17,17,463,2451,136,1384,3.0,1067,2.3,34,13.6,
