Rk,Player,Age,Pos,G,GS,Tgt,Rec,Yds,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,Awards
1.0,Puka Nacua,23.0,WR,11,11,106,79,990,47,472,6.0,518,6.6,7.9,10,7.9,1,0.9,1,108.6,
2.0,Cooper Kupp,31.0,WR,12,11,100,67,710,28,441,6.6,269,4.0,7.5,2,33.5,2,2.0,0,107.5,
3.0,Tutu Atwell,25.0,WR,17,5,62,42,562,29,436,10.4,126,3.0,11.2,0,,3,4.8,2,82.9,
4.0,Kyren Williams,24.0,RB,16,16,40,34,182,6,-13,-0.4,195,5.7,-0.7,2,17.0,1,2.5,0,102.3,AP OPoY-11
5.0,Demarcus Robinson,30.0,WR,17,17,64,31,505,27,434,14.0,71,2.3,14.2,1,31.0,1,1.6,4,85.7,
6.0,Colby Parkinson,25.0,TE,17,9,49,30,294,15,134,4.5,160,5.3,5.3,1,30.0,2,4.1,0,84.9,
7.0,Tyler Johnson,26.0,WR,15,2,41,26,291,10,108,4.2,183,7.0,5.6,0,,1,2.4,2,72.3,
8.0,Jordan Whittington,24.0,WR,15,3,28,22,293,14,90,4.1,203,9.2,3.8,1,22.0,0,0.0,0,110.3,
9.0,Tyler Higbee,31.0,TE,3,3,12,8,66,5,18,2.3,48,6.0,2.2,0,,0,0.0,0,120.1,
10.0,Blake Corum,24.0,RB,17,1,8,7,58,5,-7,-1.0,65,9.3,-0.6,1,7.0,1,12.5,0,96.9,
11.0,Hunter Long,26.0,TE,17,2,9,7,60,2,30,4.3,30,4.3,3.4,0,,1,11.1,0,94.4,
12.0,Davis Allen,23.0,TE,15,5,13,6,39,2,18,3.0,21,3.5,3.8,0,,2,15.4,0,53.0,
13.0,Ronnie Rivers,25.0,RB,17,0,6,5,34,1,-24,-4.8,58,11.6,-4.3,0,,0,0.0,0,90.3,
14.0,Xavier Smith,27.0,WR,15,0,2,2,6,1,1,0.5,5,2.5,0.5,0,,0,0.0,0,79.2,
15.0,Cody Schrader,25.0,RB,1,0,1,1,6,0,0,0.0,6,6.0,0.0,0,,0,0.0,0,91.7,
,Team Totals,,,17,17,541,367,4096,192,2138,5.8,1958,5.3,7.1,18,20.4,15,2.8,9,96.8,
