Rk,Player,Age,Pos,G,GS,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Bats,Sk,Prss,Comb,MTkl,MTkl%,Awards
1.0,Julian Love,26.0,FS,17,17,3,65,39,60.0,401,10.3,6.2,6,89.3,8.5,251,150,10,0,0,0,0.0,0,109,10,8.4,
2.0,Devon Witherspoon,24.0,LCB,17,17,0,88,62,70.5,653,10.5,7.4,4,106.9,5.4,224,429,27,4,1,1,1.0,6,98,15,13.3,PB
3.0,Ernest Jones,25.0,LB,10,10,1,38,27,71.1,280,10.4,7.4,0,81.0,4.6,120,160,42,0,1,0,0.5,2,94,6,6.0,
4.0,Tyrice Knight,24.0,ROLB,16,9,0,45,32,71.1,259,8.1,5.8,0,85.3,1.0,-1,260,22,1,2,1,1.5,5,88,4,4.3,
5.0,Coby Bryant,25.0,SS,17,11,3,36,25,69.4,290,11.6,8.1,2,77.3,9.0,194,96,7,0,2,0,0.0,2,73,4,5.2,
6.0,Tyrel Dodson,26.0,LILB,9,9,0,33,27,81.8,232,8.6,7.0,0,96.0,2.1,37,195,22,0,1,1,2.0,3,71,7,9.0,
7.0,Leonard Williams,30.0,LDE,16,16,1,0,0,,0,,,0,,,0,0,0,2,16,2,11.0,30,64,4,5.9,"PB,AP DPoY-14"
8.0,Rayshawn Jenkins,30.0,SS,13,9,0,31,25,80.6,269,10.8,8.7,1,113.6,6.4,107,162,23,0,0,0,2.0,2,53,7,11.7,
9.0,Riq Woolen,25.0,RCB,15,14,3,68,36,52.9,401,11.1,5.9,5,76.9,11.1,266,135,6,1,0,0,0.0,1,46,6,11.5,
10.0,Jarran Reed,32.0,RDE,17,8,0,1,1,100.0,2,2.0,2.0,0,79.2,-3.0,-3,5,0,4,11,2,4.5,20,45,1,2.2,
11.0,Boye Mafe,26.0,LOLB,15,11,0,9,7,77.8,78,11.1,8.7,0,102.8,0.8,-5,83,25,9,6,1,6.0,21,40,4,9.1,
12.0,Jerome Baker,28.0,LB,5,5,0,17,14,82.4,97,6.9,5.7,0,90.4,-0.2,-19,116,8,1,0,0,1.0,2,37,3,7.5,
13.0,Derick Hall,23.0,RILB,17,14,0,2,1,50.0,1,1.0,0.5,0,56.2,0.5,1,0,20,8,13,0,8.0,29,37,2,5.1,
14.0,Josh Jobe,26.0,CB,10,6,1,50,28,56.0,354,12.6,7.1,1,76.6,9.8,250,104,0,0,0,0,0.0,0,37,4,9.8,
15.0,Byron Murphy,22.0,NT,14,9,0,2,2,100.0,22,11.0,11.0,0,112.5,-1.5,-3,25,0,4,0,0,0.5,5,36,0,0.0,
16.0,Johnathan Hankins,32.0,DT,17,8,1,0,0,,0,,,0,,,0,0,0,0,1,0,1.0,2,30,1,3.2,
17.0,Dre'Mont Jones,27.0,LB,17,7,0,6,3,50.0,28,9.3,4.7,1,102.8,2.7,2,26,7,8,9,1,4.0,21,28,2,6.7,
18.0,Tre Brown,27.0,CB,13,3,0,26,17,65.4,261,15.4,10.0,2,124.0,10.3,195,66,1,0,0,0,0.0,0,26,2,7.1,
19.0,K'Von Wallace,27.0,S,9,0,0,5,5,100.0,72,14.4,14.4,0,118.7,8.6,43,29,0,0,0,0,0.0,0,15,1,6.3,
20.0,Uchenna Nwosu,28.0,LB,6,2,0,4,4,100.0,28,7.0,7.0,1,135.4,0.5,2,26,6,1,4,1,1.0,6,14,1,6.7,
21.0,Roy Robertson-Harris,31.0,DT,11,0,0,0,0,,0,,,0,,,0,0,0,1,1,1,0.0,2,13,1,7.1,
22.0,Drake Thomas,24.0,LB,17,0,0,3,2,66.7,16,8.0,5.3,0,79.9,4.3,8,8,2,0,0,0,0.0,0,13,1,7.1,
23.0,Nehemiah Pritchett,23.0,CB,10,1,0,18,13,72.2,206,15.8,11.4,1,128.5,11.9,130,76,0,0,0,0,0.0,0,12,5,29.4,
24.0,Brady Russell,26.0,TE,11,0,0,1,0,0.0,0,,0.0,0,39.6,3.0,0,0,0,0,0,0,0.0,0,10,0,0.0,
25.0,Mike Morris,23.0,DE,15,0,0,0,0,,0,,,0,,,0,0,0,1,0,0,0.0,1,5,0,0.0,
26.0,Artie Burns,29.0,CB,4,0,0,7,3,42.9,29,9.7,4.1,0,55.1,6.4,18,11,3,0,0,0,0.0,0,4,0,0.0,
27.0,Josh Ross,25.0,LB,10,0,0,1,1,100.0,2,2.0,2.0,1,118.7,-2.0,-2,4,0,0,0,0,0.0,0,4,0,0.0,
28.0,Myles Adams,26.0,DE,3,0,0,0,0,,0,,,0,,,0,0,0,1,0,0,0.0,1,3,0,0.0,
29.0,Dee Williams,25.0,CB,12,0,0,1,1,100.0,11,11.0,11.0,0,112.5,3.0,3,8,0,0,0,0,0.0,0,3,1,25.0,
30.0,Tyus Bowser,29.0,OLB,2,1,0,1,1,100.0,10,10.0,10.0,0,108.3,4.0,4,6,3,1,0,0,0.0,1,1,1,50.0,
31.0,Trevis Gipson,27.0,LB,5,0,0,2,2,100.0,16,8.0,8.0,1,139.6,1.5,3,13,2,0,0,0,0.0,0,0,2,100.0,
,Team Totals,,,17,17,13,569,371,67.5,4018,10.6,7.2,26,90.9,6.6,1825,0,236,47,68,11,44.0,162,1109,95,7.9,
