Rk,Player,Age,Pos,G,GS,Tgt,Rec,Yds,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,Awards
1.0,Jaxon Smith-Njigba,22.0,WR,17,16,137,100,1130,57,653,6.5,477,4.8,8.7,4,25.0,5,3.6,4,99.7,PB
2.0,D.K. Metcalf,27.0,WR,15,12,108,66,992,35,729,11.0,263,4.0,13.1,3,22.0,4,3.7,2,99.0,
3.0,Tyler Lockett,32.0,WR,17,14,74,49,600,36,466,9.5,134,2.7,10.7,1,49.0,4,5.4,4,77.5,
4.0,Noah Fant,27.0,TE,14,9,64,48,500,25,223,4.6,277,5.8,5.4,2,24.0,1,1.6,3,82.8,
5.0,Kenneth Walker III,24.0,RB,11,11,53,46,299,19,-64,-1.4,363,7.9,-1.2,5,9.2,2,3.8,1,88.6,
6.0,Zach Charbonnet,23.0,RB,17,6,52,42,340,6,-37,-0.9,377,9.0,-0.9,0,,0,0.0,1,92.3,
7.0,AJ Barner,22.0,TE,17,6,38,30,245,18,81,2.7,164,5.5,3.6,1,30.0,3,7.9,1,117.7,
8.0,Jake Bobo,26.0,WR,17,3,17,13,107,8,80,6.2,27,2.1,8.1,0,,1,5.9,0,111.6,
9.0,Pharaoh Brown,30.0,TE,15,7,12,8,65,2,35,4.4,30,3.8,4.2,1,8.0,1,8.3,0,80.2,
10.0,Laviska Shenault Jr.,26.0,WR,11,1,5,5,36,2,-10,-2.0,46,9.2,-2.0,0,,0,0.0,0,96.7,
11.0,Kenny McIntosh,24.0,RB,17,0,4,3,22,1,5,1.7,17,5.7,1.3,0,,0,0.0,0,87.5,
12.0,Cody White,26.0,WR,4,0,3,2,44,2,31,15.5,13,6.5,13.3,0,,0,0.0,0,109.7,
13.0,George Holani,25.0,RB,5,0,1,1,-1,0,-1,-1.0,0,0.0,-1.0,0,,0,0.0,0,79.2,
14.0,Dareke Young,25.0,WR,14,0,1,0,0,0,0,,0,,9.0,0,,0,0.0,0,39.6,
,Team Totals,,,17,17,569,413,4379,211,2191,5.3,2188,5.3,7.0,17,24.3,21,3.7,16,95.2,
