,Tm,Cmp%,Yds,TD,Y/A,NY/A,ANY/A,Sk%,EXP
0,Cincinnati Bengals,70.6,4640.0,43.0,7.5,6.6,7.3,6.9,166.38
1,Detroit Lions,72.4,4474.0,39.0,8.6,7.7,8.1,5.7,202.58
2,Tampa Bay Buccaneers,71.5,4257.0,41.0,7.9,7.0,7.1,6.5,177.8
3,San Francisco 49ers,65.5,4234.0,23.0,8.3,7.4,7.0,6.3,108.78
4,Atlanta Falcons,65.1,4068.0,21.0,7.7,6.9,6.1,5.4,102.61
5,Minnesota Vikings,66.4,4043.0,35.0,8.0,6.8,7.0,8.2,114.55
6,Baltimore Ravens,66.7,4035.0,41.0,8.8,8.1,9.3,4.8,221.45
7,Seattle Seahawks,69.6,4020.0,21.0,7.4,6.2,5.7,8.3,60.67
8,Buffalo Bills,63.3,3875.0,30.0,7.6,7.3,7.9,2.6,205.26
9,Los Angeles Rams,65.7,3868.0,22.0,7.3,6.6,6.6,5.3,109.92
10,Dallas Cowboys,62.5,3862.0,23.0,6.4,5.7,5.5,5.6,10.52
11,Green Bay Packers,64.3,3807.0,28.0,8.2,7.6,7.7,4.4,127.15
12,Las Vegas Raiders,64.6,3797.0,19.0,6.5,5.5,5.0,7.3,10.13
13,Kansas City Chiefs,67.3,3780.0,26.0,6.7,5.9,5.9,6.4,116.94
14,Miami Dolphins,69.9,3737.0,22.0,6.8,5.9,5.9,6.8,79.47
15,New York Jets,63.4,3714.0,31.0,6.6,5.7,5.9,6.2,52.87
16,Washington Commanders,69.5,3665.0,29.0,7.5,6.4,6.7,8.7,171.29
17,Arizona Cardinals,68.9,3639.0,21.0,7.1,6.4,6.2,5.2,81.61
18,Los Angeles Chargers,65.9,3629.0,23.0,7.6,6.6,7.1,7.9,95.84
19,Denver Broncos,66.5,3610.0,30.0,6.7,6.1,6.2,4.0,63.8
20,Houston Texans,62.6,3526.0,20.0,6.9,5.7,5.4,8.7,46.5
21,Cleveland Browns,59.8,3506.0,19.0,5.9,4.8,3.9,9.1,-127.71
22,New Orleans Saints,61.7,3488.0,21.0,6.8,5.9,5.7,6.3,3.53
23,Jacksonville Jaguars,62.8,3477.0,19.0,6.8,6.0,5.5,5.5,22.01
24,Indianapolis Colts,56.3,3361.0,20.0,7.0,6.2,5.3,5.9,17.17
25,Tennessee Titans,63.4,3317.0,22.0,6.8,5.7,4.8,8.9,-28.43
26,Pittsburgh Steelers,64.3,3264.0,21.0,7.2,6.0,6.2,8.9,56.49
27,New York Giants,61.9,3228.0,15.0,6.0,5.1,4.6,7.5,-50.74
28,Philadelphia Eagles,67.6,3194.0,24.0,7.9,6.5,6.9,9.1,125.69
29,Carolina Panthers,62.3,3188.0,22.0,6.2,5.5,5.1,6.2,-12.71
30,Chicago Bears,62.4,3086.0,20.0,6.3,4.9,5.0,10.7,3.09
31,New England Patriots,64.7,2995.0,18.0,6.3,5.2,4.9,9.0,-18.01
33,League Total,65.3,118384.0,809.0,7.1,6.19,6.1,6.9,
