Tm,PA,Yds,Yds,Yds,Yds,Y/P,TO
Los Angeles Chargers,301,5514,3517,1997,869,5.3,21
Philadelphia Eagles,303,4732,2961,1771,694,4.7,26
Denver Broncos,311,5391,3752,1639,723,4.9,25
Kansas City Chiefs,326,5451,3720,1731,849,5.3,20
Minnesota Vikings,332,5702,4114,1588,1185,5.3,33
Green Bay Packers,338,5347,3658,1689,940,5.2,31
Detroit Lions,342,5820,4148,1672,862,5.7,24
Pittsburgh Steelers,347,5554,3876,1678,1039,5.4,33
Baltimore Ravens,361,5511,4150,1361,759,5.2,17
Miami Dolphins,364,5345,3582,1763,1030,5.3,16
Buffalo Bills,368,5806,3843,1963,1016,5.5,32
Seattle Seahawks,368,5656,3603,2053,958,5.3,18
Chicago Bears,370,6022,3705,2317,794,5.9,24
Houston Texans,372,5355,3417,1938,798,5.1,29
Arizona Cardinals,379,5823,3674,2149,803,5.6,17
Tampa Bay Buccaneers,385,5810,4147,1663,897,5.5,18
Los Angeles Rams,386,6003,3793,2210,948,5.7,20
Washington Commanders,391,5558,3221,2337,849,5.4,17
New Orleans Saints,398,6459,4055,2404,959,5.8,17
New York Jets,404,5334,3275,2059,989,5,17
New York Giants,415,5896,3580,2316,870,5.6,15
New England Patriots,417,5829,3596,2233,772,5.5,12
Atlanta Falcons,423,5868,3817,2051,964,5.5,18
Indianapolis Colts,427,6140,3899,2241,862,5.5,25
Cincinnati Bengals,434,5921,3799,2122,826,5.4,25
Las Vegas Raiders,434,5663,3676,1987,852,5.4,13
Cleveland Browns,435,5816,3611,2205,890,5.6,12
Jacksonville Jaguars,435,6629,4375,2254,808,5.9,9
San Francisco 49ers,436,5396,3278,2118,624,5.2,17
Tennessee Titans,460,5291,3014,2277,988,5.2,18
Dallas Cowboys,468,6039,3708,2331,1019,5.8,22
Carolina Panthers,534,6877,3820,3057,977,6,17
Avg Team,389.5,5736.2,3699.5,2036.7,887.9,5.4,20.6
League Total,12464,183558,118384,65174,28413,5.4,658
Avg Tm/G,22.9,337.4,217.6,119.8,52.2,5.4,1.2
