Tm,FG%,XP%,TB%,KOAvg
Detroit Lions,89.70%,95.50%,77.30%,64.1
Buffalo Bills,82.80%,92.20%,72.80%,63.2
Baltimore Ravens,73.30%,96.80%,72.40%,64.1
Washington Commanders,81.00%,95.70%,24.50%,61
Tampa Bay Buccaneers,93.80%,96.40%,75.50%,63.1
Minnesota Vikings,83.30%,97.80%,82.70%,63.5
Cincinnati Bengals,75.80%,96.20%,75.50%,62.5
Green Bay Packers,84.20%,100.00%,46.30%,63.2
Philadelphia Eagles,77.80%,97.90%,68.00%,63.6
San Francisco 49ers,76.70%,95.00%,58.40%,61
Denver Broncos,91.20%,100.00%,73.70%,63.4
Atlanta Falcons,70.70%,100.00%,68.90%,64.2
Pittsburgh Steelers,93.20%,100.00%,54.40%,63.5
Houston Texans,85.70%,94.40%,47.70%,61.7
Los Angeles Chargers,92.90%,91.70%,69.10%,63.4
Dallas Cowboys,85.10%,100.00%,48.90%,60.7
Kansas City Chiefs,86.50%,94.90%,69.00%,64
Arizona Cardinals,89.50%,97.30%,81.60%,64.6
Indianapolis Colts,83.80%,100.00%,83.00%,63.8
Los Angeles Rams,85.30%,88.90%,82.60%,63.8
Seattle Seahawks,86.70%,92.50%,53.50%,64.2
Miami Dolphins,90.20%,92.90%,75.90%,62.3
Las Vegas Raiders,85.00%,92.00%,63.80%,60.6
New Orleans Saints,87.10%,93.90%,26.60%,63
Carolina Panthers,84.60%,94.30%,42.10%,61.1
New England Patriots,78.80%,96.20%,65.70%,62.1
New York Jets,71.40%,90.30%,57.90%,63.4
Jacksonville Jaguars,93.10%,100.00%,84.40%,63.4
Tennessee Titans,92.60%,100.00%,55.70%,62.2
New York Giants,82.10%,95.70%,75.70%,64
Chicago Bears,84.00%,96.20%,52.80%,62.2
Cleveland Browns,66.70%,85.70%,59.40%,63.1
League Total,84.00%,95.80%,64.30%,63
